term,group_count,overall_count,exact_pval,sig,genes
cellular respiration,21,56,1.224174742666881e-9,TRUE,YBR010W YDL067C YDR031W YDR529C YEL024W YEL039C YFR033C YGL191W YGR183C YHR001W-A YHR051W YJL166W YJR048W YKL085W YKL141W YKL148C YKR046C YLR395C YMR256C YOR065W YPR191W
generation of precursor metabolites and energy,30,115,8.663208263359049e-9,TRUE,YBR010W YCL040W YDL067C YDR031W YDR529C YEL011W YEL024W YEL039C YER067W YFR033C YFR053C YGL191W YGR183C YGR248W YHR001W-A YHR051W YJL166W YJR048W YKL035W YKL085W YKL141W YKL148C YKR046C YLR258W YLR395C YMR105C YMR145C YMR256C YOR065W YPR191W
oligosaccharide metabolic process,8,16,1.549357676128082e-5,TRUE,YBR126C YDR001C YIL162W YKL035W YLL026W YML100W YMR105C YMR261C
protein lipidation,8,34,0.00572769270914966,FALSE,YCL052C YCR017C YDR182W YGR216C YJR013W YNL038W YOL110W YPL100W
cell wall organization or biogenesis,18,114,0.005934230214442691,FALSE,YBR023C YCR017C YDR055W YDR077W YDR351W YFL039C YGR282C YHR030C YJL158C YJL159W YJR013W YLR110C YLR425W YMR238W YNL084C YNL322C YPL053C YPR159W
sporulation,9,46,0.012247541055477922,FALSE,YBR010W YER115C YER132C YHR119W YJL048C YML052W YNL098C YOR275C YPL232W
carbohydrate metabolic process,16,106,0.013974093239364075,FALSE,YBR126C YCL040W YCR036W YDR001C YEL011W YFR053C YHR104W YIL162W YKL035W YLL026W YLR258W YML100W YMR105C YMR145C YMR261C YPR159W
anatomical structure formation involved in morphogenesis,12,73,0.01662756606744421,FALSE,YBR010W YBR023C YER115C YER132C YFL039C YHR119W YJL048C YML052W YNL084C YNL098C YOR275C YPL232W
nucleobase-containing small molecule metabolic process,22,172,0.02822319438636956,FALSE,YAR015W YBL098W YBL099W YCL040W YDR322C-A YDR454C YFR053C YGL037C YGR248W YKL035W YLR028C YML035C YMR105C YMR120C YMR145C YMR220W YMR300C YOR054C YOR128C YOR184W YOR317W YPR020W
intracellular monoatomic ion homeostasis,16,116,0.030569650094909476,FALSE,YBR010W YBR127C YDR270W YER053C YGL006W YGR020C YJL165C YJR040W YLR205C YLR220W YMR054W YMR058W YMR105C YMR216C YOR054C YOR147W
endocytosis,12,82,0.038075813356456455,FALSE,YBR164C YBR214W YCL034W YCR094W YFL039C YML052W YNL084C YNL243W YOR043W YOR322C YPL004C YPL032C
nucleus organization,8,48,0.04287642433765412,FALSE,YDL116W YER105C YER107C YGL092W YLL023C YML031W YPR028W YPR141C
mitochondrial translation,13,93,0.04387074600591491,FALSE,YBR122C YDR115W YDR116C YGL129C YGR021W YGR215W YMR158W YMR225C YNL081C YNL177C YNR037C YOR158W YPL183W-A
biosynthetic process,96,973,0.05077254807718763,FALSE,YAL005C YAL043C YAR015W YBL091C-A YBL098W YBL099W YBR010W YBR023C YBR061C YBR122C YBR126C YBR139W YBR166C YCL030C YCL052C YCR017C YDR007W YDR115W YDR116C YDR182W YDR266C YDR322C-A YDR380W YDR454C YEL011W YEL058W YER023W YER073W YER081W YER141W YGL001C YGL037C YGL043W YGL110C YGL129C YGR021W YGR104C YGR208W YGR215W YGR216C YGR227W YHR068W YIL074C YJL140W YJR013W YJR148W YKL035W YKL144C YKL182W YKR067W YLL027W YLR028C YLR226W YLR258W YLR274W YLR277C YML005W YML035C YML075C YML081W YML100W YMR096W YMR105C YMR120C YMR121C YMR158W YMR202W YMR220W YMR225C YMR236W YMR239C YMR261C YMR300C YNL038W YNL081C YNL139C YNL177C YNL219C YNL264C YNR003C YNR037C YNR043W YOL005C YOR017W YOR025W YOR054C YOR125C YOR158W YOR184W YOR194C YPL048W YPL183W-A YPR020W YPR035W YPR072W YPR159W
anatomical structure development,6,33,0.052170153945906406,FALSE,YER115C YER132C YHR119W YML052W YNL098C YPL232W
small molecule metabolic process,56,556,0.08221139651126481,FALSE,YAR015W YBL098W YBL099W YBR092C YBR166C YBR263W YCL030C YCL040W YCL064C YCR036W YDL174C YDR007W YDR019C YDR148C YDR322C-A YDR341C YDR380W YDR454C YER023W YER073W YER081W YFR053C YGL001C YGL037C YGR208W YGR227W YGR248W YHR104W YIL074C YJR148W YKL035W YKL182W YLL027W YLR028C YML035C YML075C YML081W YMR096W YMR105C YMR120C YMR145C YMR202W YMR220W YMR300C YNL219C YNR043W YOL032W YOR025W YOR054C YOR125C YOR128C YOR184W YOR317W YOR347C YPR020W YPR035W
DNA-templated transcription termination,6,38,0.0919922569424795,FALSE,YAL043C YGR104C YLR226W YLR277C YMR239C YOL005C
response to heat,5,30,0.09941250706119972,FALSE,YDL116W YDR258C YFL014W YLL026W YPL004C
protein maturation,10,78,0.11220696778392988,FALSE,YBL091C YBR139W YCL052C YHR028C YHR068W YJR117W YKL040C YLL027W YOR275C YPL059W
response to osmotic stress,7,54,0.15970701657589087,FALSE,YDL073W YDL235C YER118C YFL014W YHR104W YOL089C YPL059W
mitochondrion organization,17,160,0.1796662133439544,FALSE,YBR179C YCR065W YDR077W YDR258C YDR296W YDR322C-A YGL191W YHL021C YKL141W YMR072W YNL070W YNL131W YNL242W YOR043W YOR147W YPL100W YPR020W
cellular component assembly,50,534,0.2228807797651683,FALSE,YBR023C YBR060C YBR120C YBR127C YDR129C YDR322C-A YDR379C-A YDR397C YDR529C YEL013W YER105C YFL039C YGL191W YGR104C YGR174C YGR183C YHR195W YIL104C YIL105C YIL110W YJL140W YJR034W YKL010C YKL040C YLL027W YLR117C YLR274W YLR298C YML031W YMR031C YMR216C YMR236W YNL084C YNL118C YNL139C YNL153C YNL242W YNL243W YNR018W YOR122C YOR181W YOR194C YPL155C YPL189C-A YPL232W YPL241C YPR016C YPR020W YPR028W YPR149W
monoatomic ion transport,8,71,0.23766268661328382,FALSE,YDR270W YDR276C YER053C YGL006W YGR217W YLR220W YLR443W YMR058W
homeostatic process,18,184,0.27468468483493236,FALSE,YBR010W YBR127C YDR270W YER053C YGL006W YGR020C YHR209W YJL165C YJR040W YLR205C YLR220W YML072C YMR054W YMR058W YMR105C YMR216C YOR054C YOR147W
organelle inheritance,6,53,0.2782360653499112,FALSE,YDL204W YEL013W YFL039C YMR072W YOR147W YPR028W
response to oxidative stress,8,78,0.32419393076697217,FALSE,YBL055C YCR065W YDR296W YFL014W YHR104W YKR066C YLR205C YPL059W
regulation of transport,8,82,0.37603658288472364,FALSE,YER107C YGL092W YHR030C YJL165C YJR117W YMR216C YOR322C YPR149W
catabolic process,54,615,0.38967768786345075,FALSE,YAL005C YBL055C YBL091C-A YBR127C YBR133C YBR139W YBR164C YBR172C YCL011C YCL040W YCL052C YCL064C YCR036W YDL174C YDL192W YDR001C YDR002W YDR266C YDR380W YEL013W YFR036W YFR053C YGR158C YHR030C YHR104W YHR195W YIL038C YIL162W YJL048C YJL140W YJL151C YJR117W YJR148W YKL010C YKL113C YLR205C YMR080C YMR105C YMR119W YMR121C YNL084C YNL098C YNL118C YNL147W YNL153C YNL242W YNL314W YNR006W YOL011W YOR043W YOR173W YPL100W YPR072W YPR151C
response to stress,44,503,0.4105742115644327,FALSE,YBL055C YBR010W YBR126C YBR164C YCL052C YCR065W YDL073W YDL116W YDL204W YDL235C YDR001C YDR182W YDR258C YDR296W YER118C YFL014W YFL024C YFL031W YFL039C YGL092W YGR008C YGR130C YHR030C YHR104W YHR186C YJR117W YKL100C YKL112W YKL113C YKR066C YLL026W YLR151C YLR205C YLR274W YML023C YNL139C YOL089C YOR025W YOR039W YOR173W YPL004C YPL024W YPL059W YPR028W
vesicle-mediated transport,28,317,0.41185194238636536,FALSE,YBR164C YBR172C YBR214W YCL034W YCR094W YDL192W YDR141C YDR472W YER031C YER136W YFL039C YIL105C YJL151C YJL192C YML052W YNL084C YNL243W YNL264C YNR006W YOR043W YOR069W YOR322C YPL004C YPL032C YPL053C YPL070W YPL259C YPR028W
lipid metabolic process,22,249,0.426365253326032,FALSE,YBL091C-A YCL052C YCR017C YDR182W YGL001C YGR216C YGR227W YJR013W YKL182W YKR067W YLL012W YML075C YMR008C YMR202W YMR220W YNL038W YNL219C YNL264C YNR043W YOL011W YOR025W YOR317W
endosomal transport,7,75,0.43654566745436274,FALSE,YCR094W YDR141C YER031C YIL105C YJL151C YOR069W YPL070W
regulation of protein modification process,5,52,0.4393722817041741,FALSE,YAL040C YBL056W YDL073W YPL014W YPR149W
chromatin organization,19,216,0.4434401386892005,FALSE,YBR010W YBR060C YBR112C YDL116W YDR071C YDR110W YFR036W YGL037C YGL092W YHR119W YKL112W YLR095C YLR274W YMR080C YMR236W YMR239C YOR025W YOR038C YOR064C
membrane organization,13,146,0.4470497672364343,FALSE,YBL091C-A YCR094W YDR322C-A YFL014W YKL141W YLR324W YML072C YMR251W-A YNL070W YNL131W YPL232W YPR020W YPR149W
amino acid metabolic process,15,173,0.4801834294613315,FALSE,YBL098W YBR166C YCL030C YCL064C YDR007W YDR019C YDR341C YDR380W YER023W YER081W YGR208W YIL074C YJR148W YOR184W YPR035W
DNA-templated transcription,9,103,0.49408666044989735,FALSE,YBR010W YGL043W YJL140W YKL144C YMR236W YMR239C YNR003C YOL005C YOR025W
RNA catabolic process,11,128,0.5066043748505409,FALSE,YCL011C YDR266C YGR158C YIL038C YJL140W YKL113C YMR080C YNL118C YNL147W YOR173W YPR072W
nucleobase-containing compound catabolic process,14,165,0.5172237319712709,FALSE,YBL055C YCL011C YCL040W YDR266C YFR053C YGR158C YIL038C YJL140W YKL113C YMR080C YNL118C YNL147W YOR173W YPR072W
translation,16,189,0.5174795943761361,FALSE,YAL005C YBR061C YBR122C YDR115W YDR116C YGL129C YGR021W YGR215W YMR121C YMR158W YMR225C YNL081C YNL177C YNR037C YOR158W YPL183W-A
monocarboxylic acid metabolic process,9,105,0.5179703062244665,FALSE,YCL040W YDL174C YER073W YFR053C YKL182W YLL027W YML081W YOR025W YOR347C
protein glycosylation,5,58,0.5376067451260533,FALSE,YEL036C YGR227W YKL201C YNL219C YPL053C
organelle fusion,6,71,0.5490347719268964,FALSE,YAL040C YBR179C YEL013W YPL232W YPR141C YPR149W
protein-containing complex assembly,31,375,0.5629340748403602,FALSE,YBR060C YBR120C YDR322C-A YDR379C-A YDR397C YDR529C YER105C YGL191W YGR104C YGR174C YGR183C YIL104C YIL110W YJL140W YJR034W YKL010C YLR117C YLR274W YLR298C YMR216C YMR236W YNL153C YNR018W YOR181W YOR194C YPL155C YPL189C-A YPL241C YPR016C YPR020W YPR028W
response to chemical,23,281,0.5787533291644067,FALSE,YBL055C YBR126C YCL052C YCR065W YDL073W YDL116W YDL235C YDR001C YDR296W YER118C YFL014W YGR008C YHR104W YJR117W YKL109W YKR066C YMR058W YMR119W YMR216C YNL098C YNL264C YNL314W YPL059W
DNA-templated transcription elongation,5,61,0.5836894588431383,FALSE,YGL043W YLR226W YLR274W YNL139C YPR072W
protein modification by small protein conjugation or removal,8,99,0.5916373636427541,FALSE,YAL005C YDR266C YFR036W YIL038C YJL210W YKL010C YMR080C YPR072W
vacuole organization,5,63,0.6129966682733783,FALSE,YAL040C YEL013W YFL039C YNL242W YPR149W
cytoskeleton organization,10,127,0.6249673195042642,FALSE,YCL034W YER107C YIL105C YML064C YNL243W YNL289W YOR122C YOR373W YPL115C YPL155C
