term,group_count,overall_count,exact_pval,sig,genes
translation,35,189,5.4960721405108e-11,TRUE,YBL038W YBR084C-A YBR191W YBR282W YDL061C YDL191W YDR115W YER074W YER117W YHL033C YHR203C YIL051C YJL177W YJR145C YKL138C YKL170W YKR006C YLR029C YLR075W YLR185W YLR262C-A YLR441C YLR448W YML025C YMR024W YMR188C YMR242C YMR286W YNL081C YNL096C YNL306W YOR150W YPL118W YPR100W YPR163C
rRNA processing,37,233,1.4963837584119453e-9,TRUE,YBR142W YCL031C YCR016W YDL031W YDL191W YDR021W YDR324C YER074W YER082C YGL120C YGR090W YGR118W YHL033C YHR052W YHR148W YIL091C YJL177W YJR002W YJR055W YKL009W YKL099C YLR002C YLR051C YLR185W YLR186W YLR276C YLR441C YMR290C YNL061W YOL041C YOL077C YOL080C YOR001W YOR119C YPL126W YPR137W YPR143W
cellular nitrogen compound metabolic process,120,1386,3.706090751321731e-9,TRUE,YAR015W YBL038W YBR010W YBR034C YBR084C-A YBR142W YBR188C YBR191W YBR282W YCL031C YCR016W YCR028C-A YDL002C YDL004W YDL031W YDL061C YDL191W YDR021W YDR023W YDR045C YDR115W YDR224C YDR225W YDR324C YER074W YER082C YER112W YER117W YER148W YGL048C YGL120C YGR090W YGR118W YGR280C YHL033C YHR052W YHR128W YHR143W-A YHR148W YHR203C YIL051C YIL091C YJL125C YJL177W YJR002W YJR055W YJR145C YKL009W YKL016C YKL023W YKL099C YKL110C YKL138C YKL170W YKL216W YKR006C YLR002C YLR029C YLR051C YLR052W YLR075W YLR185W YLR186W YLR204W YLR262C-A YLR276C YLR295C YLR298C YLR420W YLR441C YLR448W YML025C YML060W YMR024W YMR039C YMR188C YMR242C YMR286W YMR290C YMR298W YMR300C YNL001W YNL031C YNL061W YNL081C YNL096C YNL107W YNL113W YNL220W YNL247W YNL248C YNL306W YNL317W YOL041C YOL077C YOL080C YOL097C YOR001W YOR119C YOR150W YOR210W YOR319W YOR340C YOR359W YPL030W YPL078C YPL118W YPL126W YPL157W YPL160W YPL178W YPL271W YPL273W YPR020W YPR100W YPR110C YPR137W YPR143W YPR163C YPR190C
cytoplasmic translation,19,96,5.758217638280927e-7,TRUE,YBR084C-A YBR191W YDL061C YDL191W YER074W YER117W YHL033C YHR203C YJL177W YJR145C YLR029C YLR075W YLR185W YLR262C-A YLR441C YLR448W YMR242C YNL096C YPR163C
mitochondrial translation,16,93,2.964673068145137e-5,TRUE,YBL038W YBR282W YDR115W YIL051C YKL138C YKL170W YKR006C YML025C YMR024W YMR188C YMR286W YNL081C YNL306W YOR150W YPL118W YPR100W
protein-RNA complex assembly,18,120,6.420822605567359e-5,TRUE,YCL031C YDL031W YDR312W YGL099W YIR012W YJR007W YJR055W YLL036C YLR075W YLR221C YLR298C YLR448W YNL061W YOL077C YOL080C YPL237W YPR041W YPR163C
protein-containing complex assembly,38,375,9.79141427252059e-5,TRUE,YBL093C YBR262C YCL031C YDL031W YDR079W YDR312W YDR529C YER148W YGL048C YGL099W YGL191W YIR012W YJR007W YJR055W YLL036C YLR002C YLR038C YLR075W YLR200W YLR221C YLR295C YLR298C YLR448W YMR039C YMR244C-A YNL061W YOL077C YOL080C YOR045W YOR265W YPL078C YPL144W YPL237W YPR020W YPR041W YPR103W YPR133W-A YPR163C
transcription by RNA polymerase I,7,27,4.292333168873224e-4,TRUE,YER148W YHR143W-A YNL113W YNL248C YOR210W YOR340C YPR110C
ribosomal large subunit biogenesis,9,46,6.403864540947607e-4,TRUE,YBR142W YCR016W YDL063C YGL120C YIR012W YKL009W YLR002C YMR290C YNL061W
biosynthetic process,72,973,0.0025403957687508815,FALSE,YAR015W YBL038W YBR010W YBR034C YBR084C-A YBR191W YBR282W YDL004W YDL049C YDL061C YDL191W YDR045C YDR072C YDR115W YER074W YER117W YER148W YGR202C YHL033C YHR128W YHR143W-A YHR203C YIL051C YIL053W YJL177W YJR145C YKL016C YKL138C YKL170W YKL216W YKR006C YLR029C YLR075W YLR099C YLR185W YLR262C-A YLR295C YLR372W YLR420W YLR441C YLR448W YML008C YML025C YML060W YMR024W YMR039C YMR188C YMR242C YMR286W YMR298W YMR300C YNL031C YNL081C YNL096C YNL111C YNL113W YNL220W YNL248C YNL306W YOR150W YOR210W YOR340C YPL078C YPL117C YPL118W YPL271W YPL273W YPR020W YPR100W YPR110C YPR163C YPR190C
cellular respiration,9,56,0.0027438229872044323,FALSE,YBR010W YDR031W YDR529C YGL191W YJL166W YMR002W YMR256C YNL031C YPR191W
transcription by RNA polymerase III,6,28,0.0032050246287552934,FALSE,YDR045C YHR143W-A YNL113W YOR210W YPR110C YPR190C
cellular component assembly,42,534,0.007732214975982109,FALSE,YBL093C YBR262C YCL031C YDL029W YDL031W YDR079W YDR312W YDR529C YER112W YER148W YGL048C YGL099W YGL191W YIR012W YJR007W YJR055W YLL036C YLR002C YLR038C YLR075W YLR200W YLR204W YLR221C YLR295C YLR298C YLR448W YMR039C YMR244C-A YNL061W YNL079C YOL077C YOL080C YOR045W YOR265W YPL078C YPL144W YPL237W YPR020W YPR041W YPR103W YPR133W-A YPR163C
translational initiation,6,36,0.011545854918818717,FALSE,YBR079C YJR007W YLR204W YMR146C YPL118W YPR163C
DNA-templated transcription,11,103,0.022178549313348613,FALSE,YBR010W YDR045C YER148W YHR143W-A YNL031C YNL113W YNL248C YOR210W YOR340C YPR110C YPR190C
tRNA metabolic process,15,179,0.05860009467363852,FALSE,YDR023W YDR045C YHR143W-A YJL125C YKL110C YNL113W YNL247W YOL097C YOR001W YOR210W YPL030W YPL157W YPL160W YPR110C YPR190C
intracellular monoatomic ion homeostasis,10,116,0.09466438940031865,FALSE,YBR010W YDR098C YDR184C YDR492W YEL051W YMR058W YMR244C-A YNL031C YOL002C YOL027C
generation of precursor metabolites and energy,9,115,0.16686426435859347,FALSE,YBR010W YDR031W YDR529C YGL191W YJL166W YMR002W YMR256C YNL031C YPR191W
nucleobase-containing small molecule metabolic process,12,172,0.21763911242294542,FALSE,YAR015W YDL004W YKL016C YKL216W YLR295C YLR420W YMR300C YNL220W YPL078C YPL271W YPL273W YPR020W
homeostatic process,12,184,0.2902304822578,FALSE,YBR010W YDR098C YDR184C YDR492W YEL051W YMR058W YMR244C-A YNL031C YOL002C YOL027C YOR020W-A YPR100W
nuclear transport,10,156,0.3333958491999757,FALSE,YBR034C YDL063C YDR101C YDR361C YER009W YGL099W YGL122C YGR090W YKL009W YOR185C
nucleocytoplasmic transport,10,156,0.3333958491999757,FALSE,YBR034C YDL063C YDR101C YDR361C YER009W YGL099W YGL122C YGR090W YKL009W YOR185C
transmembrane transport,12,195,0.36211870560205556,FALSE,YBR069C YER056C YER145C YGL255W YLR008C YLR237W YLR292C YMR058W YNL070W YOL027C YOR045W YPL094C
mitochondrion organization,10,160,0.3626855728265169,FALSE,YBR262C YCR028C-A YDL029W YGL191W YLR295C YMR072W YNL070W YOL027C YPR020W YPR100W
mRNA processing,7,113,0.4097128540921182,FALSE,YBR188C YER112W YLR204W YLR298C YNL317W YOR319W YPL178W
RNA modification,6,98,0.4359385127031449,FALSE,YJL125C YKL110C YLR186W YNL061W YPL030W YPL157W
RNA splicing,5,82,0.4559475372772066,FALSE,YBR188C YER112W YLR298C YOR319W YPL178W
regulation of DNA metabolic process,6,106,0.5126181108231718,FALSE,YCR028C-A YGR280C YNL201C YOR001W YOR359W YPL157W
membrane organization,8,146,0.5353083808836835,FALSE,YBR262C YDL212W YKL196C YLR295C YNL070W YOL027C YOR327C YPR020W
protein folding,5,91,0.5491690846977408,FALSE,YDL212W YER048C YJL179W YLR200W YOR281C
regulation of organelle organization,11,205,0.5546192847589568,FALSE,YCR028C-A YDL192W YER071C YGR280C YIL118W YKR083C YNL138W YNL201C YOR001W YOR119C YPL157W
Golgi vesicle transport,9,169,0.5668978822562356,FALSE,YAL007C YDL192W YJL192C YKL196C YKR068C YLR372W YML012W YOR327C YPL010W
chromatin organization,11,216,0.6258448292308504,FALSE,YBR009C YBR010W YDL002C YDR224C YDR225W YER030W YGL048C YLR052W YNL030W YNL031C YNL107W
RNA catabolic process,6,128,0.6972038869030615,FALSE,YGL048C YKL009W YKL023W YNL001W YOR001W YOR359W
nucleobase-containing compound transport,5,117,0.7653189312096983,FALSE,YBR034C YER056C YGL122C YGR090W YOR185C
proteolysis involved in protein catabolic process,8,186,0.7958562612120607,FALSE,YER100W YGL011C YGL048C YGR253C YIR011C YLR421C YOL038W YPR103W
DNA damage response,11,249,0.7989045034799853,FALSE,YBR010W YDL002C YDR224C YDR225W YGL048C YML060W YMR039C YNL031C YNL107W YNL201C YOR061W
DNA repair,9,208,0.8008254224233109,FALSE,YBR010W YDL002C YDR224C YDR225W YGL048C YML060W YMR039C YNL031C YNL107W
protein targeting,5,133,0.8532242653498548,FALSE,YDL029W YKL122C YKR068C YLR301W YPR133W-A
small molecule metabolic process,25,556,0.869588257480029,FALSE,YAR015W YBR034C YDL004W YDR023W YFR049W YIL051C YIL053W YKL016C YKL216W YLR295C YLR372W YLR420W YML008C YMR226C YMR300C YNL220W YNL247W YNL274C YOL097C YPL078C YPL117C YPL160W YPL271W YPL273W YPR020W
nucleobase-containing compound catabolic process,6,165,0.8890530206036289,FALSE,YGL048C YKL009W YKL023W YNL001W YOR001W YOR359W
amino acid metabolic process,6,173,0.9131411190558185,FALSE,YDR023W YIL051C YNL247W YOL097C YPL160W YPL273W
DNA metabolic process,12,321,0.9384500149506637,FALSE,YBR010W YCR028C-A YDL002C YDR224C YDR225W YGL048C YLR002C YLR052W YML060W YMR039C YNL031C YNL107W
lipid metabolic process,8,249,0.9646229185549126,FALSE,YDR072C YGR202C YLR099C YLR372W YML008C YMR298W YNL111C YPL117C
chromosome organization,5,181,0.9714420872664021,FALSE,YDL002C YLR052W YML060W YMR072W YOR001W
vesicle-mediated transport,9,317,0.9915343503390592,FALSE,YAL007C YDL192W YJL192C YKL196C YKR068C YLR372W YML012W YOR327C YPL010W
signal transduction,5,215,0.9923376987730619,FALSE,YJR086W YNL138W YNL201C YOR360C YPL187W
transport,31,874,0.9982337718453811,FALSE,YAL007C YBR034C YBR069C YDL063C YDL192W YDR101C YDR361C YER009W YER056C YER145C YGL099W YGL122C YGL255W YGR090W YJL192C YKL009W YKL196C YKR068C YLR008C YLR237W YLR292C YLR372W YML012W YMR058W YNL070W YOL027C YOR045W YOR185C YOR327C YPL010W YPL094C
catabolic process,19,615,0.9986740690432991,FALSE,YDL137W YDL192W YER100W YGL011C YGL048C YGR253C YHR052W YIR011C YKL009W YKL023W YKR068C YLR421C YMR174C YNL001W YNL274C YOL038W YOR001W YOR359W YPR103W
response to stress,14,503,0.9989745347000776,FALSE,YBR010W YDL002C YDR224C YDR225W YER100W YGL048C YIL053W YKR066C YML060W YMR039C YNL031C YNL107W YNL201C YOR061W
response to chemical,5,281,0.9995397608914578,FALSE,YER100W YGL035C YKR066C YMR058W YOL002C
