term,group_count,overall_count,exact_pval,sig,genes
chromatin organization,33,216,3.603505586166566e-7,TRUE,YAR003W YBL002W YBR009C YBR088C YBR112C YBR245C YBR275C YDR071C YDR224C YDR303C YDR440W YEL032W YER120W YGL207W YGR063C YGR116W YGR275W YIR033W YJL115W YKL112W YLL022C YLR033W YML069W YMR236W YMR307W YNL030W YNL031C YNL088W YOL090W YOR213C YOR295W YPR018W YPR052C
DNA replication,10,45,2.3726371759801485e-4,TRUE,YCR028C-A YDL102W YGL207W YIR008C YJL173C YKL112W YML069W YNL102W YNL262W YNL312W
cell wall organization or biogenesis,17,114,3.6152218653925905e-4,TRUE,YBR023C YBR078W YCR017C YDR261C YFL039C YGL027C YGR189C YIL123W YJL158C YKL096W YKL190W YLR110C YLR121C YLR300W YMR307W YOR247W YPL053C
Golgi vesicle transport,22,169,3.8557474285001855e-4,TRUE,YAL007C YBL040C YDL145C YDR170C YDR238C YDR372C YER083C YFR051C YGL200C YGL206C YGR172C YGR261C YHR142W YIL039W YJL117W YML012W YMR237W YOR016C YOR115C YOR299W YOR357C YPL053C
protein glycosylation,11,58,5.082791862693636e-4,TRUE,YBR110W YDL055C YER001W YER003C YGL027C YGL226C-A YJL002C YML019W YOR099W YOR320C YPL053C
biosynthetic process,79,973,0.0019543373664505804,FALSE,YAR015W YBR023C YBR070C YBR088C YBR110W YBR159W YBR245C YCL030C YCR017C YDL055C YDL102W YDL182W YDR303C YDR376W YDR400W YDR408C YER003C YER019W YER023W YER070W YER072W YER091C YER120W YFR025C YFR042W YGL027C YGL127C YGR037C YGR084C YGR157W YGR169C-A YGR275W YHR142W YHR190W YIL021W YIL094C YIL116W YIR008C YJL002C YJL012C YJL091C YJL134W YJL173C YJL196C YJR101W YJR137C YJR139C YKL008C YKL127W YKL165C YKL182W YLR033W YLR089C YLR303W YLR342W YLR359W YLR420W YLR430W YMR208W YMR236W YMR237W YNL031C YNL088W YNL102W YNL130C YNL185C YNL220W YNL262W YNL312W YNR016C YNR050C YOL064C YOR184W YOR295W YOR299W YPL231W YPR052C YPR056W YPR113W
DNA metabolic process,31,321,0.004778148688887443,FALSE,YAR003W YBR088C YBR275C YCR028C-A YDL003W YDL101C YDL102W YDL164C YDL182W YDR224C YDR440W YEL032W YFL039C YGL127C YGL207W YGL213C YIR008C YJL173C YKL112W YKL113C YKR038C YLR430W YML069W YNL031C YNL088W YNL102W YNL262W YNL312W YOL090W YOR217W YPR056W
small molecule metabolic process,48,556,0.005065163912242944,FALSE,YAR015W YBR070C YBR159W YCL030C YDL055C YDL182W YDR376W YDR400W YDR408C YER003C YER023W YER070W YER072W YER091C YFL004W YFR025C YGL224C YGR037C YHR043C YHR183W YHR190W YIL094C YIL116W YJL002C YJL012C YJL196C YJR137C YJR139C YKL127W YKL182W YLR058C YLR089C YLR303W YLR354C YLR359W YLR420W YML123C YMR189W YMR208W YNL217W YNL220W YNR016C YNR050C YOL064C YOR128C YOR184W YPL019C YPL231W
DNA repair,22,208,0.0058111410799195915,FALSE,YBR088C YDL003W YDL101C YDL102W YDL164C YDL182W YDR224C YDR440W YEL032W YFL039C YGL127C YJL173C YKL112W YKL113C YLR430W YNL031C YNL102W YNL262W YNL312W YOL090W YOR217W YPR056W
vesicle-mediated transport,30,317,0.00729840602839314,FALSE,YAL007C YBL040C YDL145C YDL231C YDR093W YDR170C YDR238C YDR372C YER083C YFL039C YFR051C YGL200C YGL206C YGR172C YGR198W YGR261C YHR142W YIL039W YJL117W YKR088C YML001W YML012W YMR237W YOR016C YOR115C YOR299W YOR326W YOR357C YPL053C YPR173C
