term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,87,556,5.148838519458559e-8,TRUE,YAL044C YBR035C YBR115C YBR196C YBR242W YBR248C YCL030C YDL078C YDL125C YDL131W YDL182W YDR035W YDR050C YDR234W YDR300C YDR368W YDR377W YDR487C YER044C YER052C YER055C YER072W YER073W YER090W YER178W YFL004W YGL009C YGL026C YGL055W YGL202W YGR037C YGR185C YGR204W YGR240C YHR007C YHR018C YHR037W YHR046C YHR174W YHR183W YHR208W YIL053W YIL074C YIL083C YIL094C YIL116W YJL097W YJL167W YJR009C YJR016C YJR057W YJR109C YJR139C YJR148W YKL060C YKL152C YLR027C YLR056W YLR180W YLR290C YLR354C YMR062C YMR083W YMR205C YMR246W YNL071W YNL104C YNL280C YNL316C YNR027W YNR050C YOL059W YOL064C YOL086C YOL143C YOL147C YOR074C YOR126C YOR142W YOR202W YOR209C YOR221C YOR270C YOR323C YPL111W YPL252C YPR128C
amino acid metabolic process,37,173,2.7633296055705993e-7,TRUE,YAL044C YBR115C YBR248C YCL030C YDL131W YDL182W YDR234W YDR300C YER052C YER055C YER090W YGL009C YGL026C YGL202W YGR185C YHR018C YHR037W YHR208W YIL074C YIL094C YIL116W YJR016C YJR109C YJR139C YJR148W YLR027C YLR180W YMR062C YMR083W YNL104C YNL316C YNR050C YOL064C YOL086C YOR202W YOR323C YPL111W
tRNA metabolic process,31,179,2.0133133480210245e-4,TRUE,YCL017C YCR035C YDL006W YDL036C YDL111C YDL150W YGL043W YGL232W YGR030C YGR158C YGR185C YHR111W YHR187W YIL003W YIL079C YKL144C YKL186C YKR038C YKR095W-A YML014W YNR003C YNR046W YOL064C YOL093W YOL124C YOL125W YOL142W YOR210W YPL101W YPL157W YPL204W
biosynthetic process,118,973,2.018829837413134e-4,TRUE,YBL006C YBR035C YBR089C-A YBR109C YBR111W-A YBR115C YBR146W YBR196C YBR248C YBR261C YBR268W YCL017C YCL030C YCR003W YCR020W-B YDL131W YDL150W YDL182W YDR026C YDR035W YDR044W YDR047W YDR099W YDR232W YDR234W YDR266C YDR300C YDR377W YDR487C YER022W YER026C YER044C YER052C YER055C YER063W YER072W YER073W YER090W YER139C YER171W YER177W YER178W YGL009C YGL026C YGL043W YGL055W YGL068W YGL070C YGL112C YGL202W YGR037C YGR165W YGR202C YGR204W YGR267C YHR007C YHR018C YHR037W YHR208W YIL053W YIL074C YIL083C YIL094C YIL116W YJL097W YJL101C YJL167W YJR009C YJR016C YJR017C YJR057W YJR101W YJR109C YJR139C YJR148W YKL008C YKL045W YKL060C YKL144C YKL152C YLR027C YLR056W YLR069C YLR180W YLR192C YLR290C YML061C YMR062C YMR083W YMR296C YMR298W YNL048W YNL071W YNL104C YNL111C YNL256W YNL280C YNL284C YNL312W YNL316C YNR003C YNR027W YNR050C YOL049W YOL064C YOL086C YOL143C YOR074C YOR187W YOR202W YOR209C YOR210W YOR295W YOR323C YPL129W YPL252C YPR056W YPR113W
monocarboxylic acid metabolic process,19,105,0.001970159165399444,FALSE,YBR196C YDL078C YDR050C YER073W YER178W YGL055W YGR037C YGR240C YHR174W YJL097W YJR009C YKL060C YKL152C YMR205C YNL071W YOL147C YOR126C YOR221C YPR128C
tRNA processing,18,104,0.0042222297318437775,FALSE,YCL017C YDL006W YDL036C YGL232W YGR030C YHR111W YHR187W YIL003W YKL186C YKR038C YML014W YNR046W YOL093W YOL124C YOL125W YPL101W YPL157W YPL204W
nucleobase-containing small molecule metabolic process,26,172,0.004747111967597517,FALSE,YBR196C YBR242W YDL078C YDL125C YDR050C YDR377W YER178W YGR204W YGR240C YHR174W YHR183W YIL083C YJR009C YJR057W YKL060C YKL152C YLR354C YMR083W YMR205C YMR246W YNL071W YOL059W YOL086C YOR074C YOR142W YOR209C
response to oxidative stress,14,78,0.007940207510780553,FALSE,YBR014C YDL010W YDR368W YGR029W YGR234W YHR111W YHR183W YJL101C YKL143W YKR066C YNL036W YNL099C YPL091W YPL239W
sulfur compound metabolic process,14,81,0.011064509110477483,FALSE,YCL017C YER052C YER178W YHR122W YIL003W YJR139C YKR071C YLR180W YMR246W YMR301C YNL071W YOL064C YOR142W YPL252C
RNA modification,16,98,0.011851312221380708,FALSE,YCL017C YDL036C YGL232W YHR111W YHR187W YIL003W YKR038C YML014W YNL022C YNR046W YOL093W YOL124C YOL125W YPL101W YPL157W YPL204W
reproduction,8,37,0.01396940256340704,FALSE,YBR109C YCR009C YER149C YGR152C YHR111W YLR229C YLR330W YOR127W
DNA-templated transcription initiation,5,18,0.017410562649274805,FALSE,YER022W YGL043W YGL070C YKL144C YPL129W
cellular nitrogen compound metabolic process,146,1386,0.019088188086352643,FALSE,YBL006C YBL026W YBR035C YBR073W YBR089C-A YBR111W-A YBR146W YBR196C YBR242W YBR261C YBR268W YCL017C YCL031C YCR003W YCR020W-B YCR035C YDL006W YDL036C YDL078C YDL111C YDL125C YDL126C YDL150W YDL164C YDL182W YDR026C YDR044W YDR047W YDR050C YDR099W YDR110W YDR232W YDR266C YDR377W YDR440W YDR487C YER022W YER063W YER090W YER127W YER139C YER146W YER171W YER178W YGL026C YGL043W YGL068W YGL070C YGL112C YGL207W YGL232W YGR030C YGR158C YGR165W YGR185C YGR204W YGR240C YGR267C YGR280C YHR037W YHR085W YHR088W YHR111W YHR121W YHR174W YHR183W YHR187W YHR196W YIL003W YIL079C YIL083C YIR001C YIR009W YJL101C YJR009C YJR017C YJR057W YJR101W YKL008C YKL045W YKL060C YKL144C YKL152C YKL186C YKR038C YKR084C YKR095W-A YLR015W YLR069C YLR105C YLR154C YLR192C YLR276C YLR354C YLR438C-A YML014W YML021C YML061C YML069W YMR076C YMR083W YMR173W YMR178W YMR205C YMR246W YMR285C YMR298W YNL022C YNL071W YNL072W YNL216W YNL256W YNL261W YNL284C YNL312W YNR003C YNR027W YNR046W YNR054C YOL049W YOL059W YOL064C YOL086C YOL093W YOL124C YOL125W YOL142W YOL143C YOL144W YOR014W YOR056C YOR074C YOR142W YOR145C YOR187W YOR189W YOR209C YOR210W YOR295W YPL101W YPL129W YPL157W YPL204W YPL252C YPR056W YPR182W
nucleobase-containing compound catabolic process,23,165,0.019406442179453143,FALSE,YBR111W-A YBR196C YBR242W YCR035C YDL111C YDL126C YDR050C YDR266C YER146W YGR030C YGR158C YGR240C YHR174W YIL079C YJR009C YKL060C YKL152C YKR084C YLR154C YMR205C YNL072W YOL064C YOL142W
growth,14,89,0.024134187321466525,FALSE,YBR171W YDR099W YER149C YER177W YER178W YHR111W YHR143W YLR229C YMR200W YMR238W YNL079C YNL142W YOR127W YPR165W
organelle fusion,11,71,0.04691115991987931,FALSE,YBR109C YDL126C YER072W YFL004W YGR172C YHR005C YJL073W YKL212W YLR093C YPL192C YPL232W
cytoskeleton organization,17,127,0.056044773557076044,FALSE,YBR109C YCR009C YCR088W YDL126C YDL225W YDR098C YER016W YHR107C YIL138C YJR125C YLR206W YLR229C YMR200W YNL079C YOR014W YOR127W YPR165W
pseudohyphal growth,8,48,0.058252882577961566,FALSE,YDR099W YER149C YER177W YER178W YHR143W YMR238W YNL079C YNL142W
Golgi vesicle transport,21,169,0.07148806180461499,FALSE,YAL007C YAR002C-A YDR517W YER083C YER122C YGL200C YGR172C YIL076W YJL085W YJL192C YJR125C YLL050C YLR114C YLR170C YLR330W YML012W YML077W YML097C YOR216C YPL010W YPR176C
membrane fusion,6,34,0.07546125130134469,FALSE,YDL126C YGR172C YKL212W YLR093C YPL192C YPL232W
cell budding,5,27,0.08523800880716627,FALSE,YBR109C YER149C YGR152C YHR111W YOR127W
cell division,5,27,0.08523800880716627,FALSE,YBR109C YER149C YGR152C YHR111W YOR127W
intracellular monoatomic ion homeostasis,15,116,0.08812350903017577,FALSE,YBR127C YCL017C YDL198C YDR098C YDR492W YEL027W YGR029W YGR240C YJR104C YLR034C YMR058W YMR205C YOL002C YOR270C YPR036W
transcription by RNA polymerase III,5,28,0.09659478376503154,FALSE,YDL150W YGL043W YKL144C YNR003C YOR210W
transmembrane transport,23,195,0.09702371058233841,FALSE,YBL042C YBR043C YBR104W YBR127C YBR171W YCL025C YDL198C YDR086C YER145C YGR029W YHR162W YJL143W YKL073W YKR065C YLR130C YLR292C YMR058W YMR301C YNL070W YNL142W YOR045W YPL063W YPL112C
vesicle organization,9,63,0.10237747382306792,FALSE,YER122C YGL200C YGR172C YIL076W YKL061W YKL212W YLR093C YPL218W YPL232W
transcription by RNA polymerase II,8,55,0.11024003794749375,FALSE,YBR089C-A YER139C YER171W YGL070C YGL112C YOR210W YPL129W YPR056W
DNA-templated transcription,13,103,0.12303217539096639,FALSE,YBR089C-A YDL150W YER139C YER171W YGL043W YGL070C YGL112C YKL144C YNR003C YOR210W YOR295W YPL129W YPR056W
nucleus organization,7,48,0.12877444873929744,FALSE,YBL079W YBR109C YHR005C YIL016W YJL073W YPL157W YPL192C
transport,88,874,0.1309381478942224,FALSE,YAL007C YAR002C-A YBL042C YBL069W YBL102W YBR043C YBR104W YBR109C YBR111W-A YBR127C YBR171W YBR201W YCL025C YCR009C YDL126C YDL198C YDR086C YDR137W YDR517W YEL027W YER016W YER063W YER072W YER083C YER122C YER145C YFL004W YGL077C YGL200C YGR029W YGR172C YHR005C YHR005C-A YHR088W YHR110W YHR162W YHR196W YIL076W YJL054W YJL079C YJL085W YJL097W YJL143W YJL192C YJR044C YJR072C YJR125C YKL073W YKL120W YKL143W YKL186C YKR065C YLL050C YLR034C YLR093C YLR099W-A YLR114C YLR130C YLR170C YLR206W YLR292C YLR330W YLR443W YML012W YML077W YML097C YMR058W YMR246W YMR301C YNL024C-A YNL070W YNL142W YNL253W YNL268W YOL020W YOL112W YOR045W YOR086C YOR145C YOR216C YOR222W YPL010W YPL063W YPL092W YPL112C YPL239W YPR128C YPR176C
regulation of organelle organization,23,205,0.14423981331125682,FALSE,YCR088W YDL126C YDL135C YDR232W YDR440W YER016W YER149C YGL207W YGR280C YHR174W YJR017C YKL138C-A YLR180W YLR229C YLR429W YML061C YNL138W YNR026C YOR014W YPL157W YPL204W YPL218W YPR165W
carbohydrate metabolic process,13,106,0.14434915763987818,FALSE,YBR196C YDL236W YDR050C YDR368W YGR240C YHR174W YIL053W YJR009C YKL060C YKL152C YMR205C YOL059W YOL086C
organelle inheritance,7,53,0.18642067281230407,FALSE,YBR130C YDL006W YDL029W YDR320C YGL055W YML097C YMR072W
response to osmotic stress,7,54,0.19906387881563417,FALSE,YCR009C YDL235C YIL053W YKL143W YOL064C YOR270C YPL239W
generation of precursor metabolites and energy,13,115,0.21901270785883906,FALSE,YBR196C YDR050C YDR487C YGR240C YHR174W YHR183W YJR009C YKL060C YKL152C YKR046C YLR354C YMR205C YOL086C
membrane organization,16,146,0.22340757151118862,FALSE,YBL069W YCR009C YDL126C YGR172C YHR005C-A YJL054W YKL212W YLR093C YLR099W-A YLR229C YNL070W YOR086C YPL063W YPL192C YPL218W YPL232W
response to chemical,29,281,0.22508446279445923,FALSE,YBR014C YBR201W YDL010W YDL126C YDL235C YDR368W YEL009C YGL035C YGR029W YGR234W YHR111W YHR183W YIL036W YJL073W YJL101C YJL110C YKL073W YKL143W YKR066C YMR058W YMR264W YMR276W YNL036W YNL099C YOL002C YOR270C YOR271C YPL091W YPL239W
RNA catabolic process,14,128,0.2447757168822332,FALSE,YBR111W-A YCR035C YDL111C YDL126C YDR266C YER146W YGR030C YGR158C YIL079C YKR084C YLR154C YNL072W YOL064C YOL142W
vesicle-mediated transport,32,317,0.25146678763391456,FALSE,YAL007C YAR002C-A YBL102W YBR109C YCR009C YDL126C YDR137W YDR517W YEL027W YER083C YER122C YGL200C YGR172C YHR110W YIL076W YJL085W YJL192C YJR044C YJR125C YLL050C YLR093C YLR114C YLR170C YLR206W YLR330W YML012W YML077W YML097C YOL112W YOR216C YPL010W YPR176C
