term,group_count,overall_count,exact_pval,sig,genes
protein folding,8,91,4.279554686990043e-6,TRUE,YAL005C YDR214W YGR142W YML078W YNL007C YNL281W YOR288C YPL240C
cell wall organization or biogenesis,7,114,1.8252842481799483e-4,TRUE,YDR077W YGR189C YGR282C YHR030C YKL096W YKL096W-A YNL090W
mitochondrial translation,5,93,0.0029487169754124987,FALSE,YBR122C YDR115W YNL081C YNR022C YNR036C
translation,7,189,0.0036656469745090852,FALSE,YAL005C YBR122C YDR115W YMR121C YNL081C YNR022C YNR036C
protein-containing complex assembly,10,375,0.005633580941962786,FALSE,YBL022C YBR037C YBR120C YBR262C YDR078C YEL003W YGL048C YGR135W YNL005C YPL240C
cellular component assembly,12,534,0.009284539730872822,FALSE,YBL022C YBR037C YBR120C YBR262C YDR078C YEL003W YGL048C YGR135W YKL096W YNL005C YPL240C YPL252C
catabolic process,12,615,0.026414964595902635,FALSE,YAL005C YDR050C YDR380W YFR044C YGL048C YGR135W YHR030C YKL060C YMR121C YNL007C YNL141W YPL111W
small molecule metabolic process,11,556,0.03071476908415875,FALSE,YDR050C YDR380W YDR399W YIL145C YKL060C YLL018C YLR438W YNL141W YOL151W YPL111W YPL252C
proteolysis involved in protein catabolic process,5,186,0.047391907923764305,FALSE,YAL005C YBL022C YGL048C YGR135W YNL007C
transmembrane transport,5,195,0.05602682373448764,FALSE,YAL005C YBR008C YDR046C YNL070W YPL098C
biosynthetic process,14,973,0.14346030831369683,FALSE,YAL005C YBR122C YDR115W YDR380W YDR399W YEL058W YIL145C YKL060C YMR121C YNL081C YNL141W YNR022C YNR036C YPL252C
cellular nitrogen compound metabolic process,18,1386,0.20695486176288752,FALSE,YAL005C YBR122C YDR050C YDR078C YDR115W YDR380W YDR399W YGL048C YIL145C YKL060C YKR091W YLL018C YMR121C YNL081C YNL141W YNR022C YNR036C YPL252C
response to stress,6,503,0.4551685174986333,FALSE,YBR037C YDR078C YGL048C YHR030C YNL007C YPL240C
transport,8,874,0.7433030917783006,FALSE,YAL005C YBR008C YDR046C YDR214W YGR142W YNL007C YNL070W YPL098C
