term,group_count,overall_count,exact_pval,sig,genes
RNA binding,94,365,4.576858277516593e-6,TRUE,YAL033W YAL043C YBL024W YBL076C YBR167C YCR016W YCR057C YDL160C YDL189W YDR060W YDR312W YDR341C YDR365C YDR449C YDR496C YEL015W YEL055C YER007C-A YER025W YER063W YER112W YER151C YER176W YFL023W YGL014W YGL044C YGL092W YGL099W YGL105W YGL232W YGR103W YGR128C YGR178C YHR040W YHR052W YHR089C YIL078W YIR034C YJL010C YJL050W YJL109C YJL124C YJR093C YKL014C YKL025C YKL059C YKL130C YKL173W YKL204W YKR081C YLL013C YLR115W YLR116W YLR129W YLR197W YLR276C YLR384C YLR432W YMR093W YMR125W YMR229C YMR288W YMR290C YNL002C YNL004W YNL075W YNL110C YNL112W YNL124W YNL132W YNL197C YNL247W YNL262W YNR051C YNR053C YNR054C YOL021C YOL142W YOR004W YOR078W YOR145C YOR204W YOR206W YPL101W YPL126W YPL146C YPL190C YPL212C YPL226W YPR033C YPR057W YPR137W YPR163C YPR182W
methyltransferase activity,29,81,1.9937139005995078e-5,TRUE,YAR003W YBL024W YBR034C YBR133C YBR261C YCL054W YCR047C YDL112W YDR083W YDR410C YDR440W YHL039W YHR070W YIL096C YKL018W YKR056W YLR015W YLR285W YML014W YMR310C YNL022C YNL061W YNL062C YNR046W YOL093W YOR201C YPL030W YPL266W YPL273W
helicase activity,23,62,7.455783555691428e-5,TRUE,YBL023C YBR202W YDL160C YDR190C YER013W YER176W YGL078C YGL150C YGL171W YHR169W YJL033W YJL050W YKL078W YLL008W YLR247C YLR276C YMR128W YMR190C YMR290C YNL112W YNR038W YOR046C YOR204W
transferase activity,151,719,0.001567295938407337,FALSE,YAR003W YAR018C YBL009W YBL011W YBL024W YBL082C YBR004C YBR034C YBR038W YBR110W YBR133C YBR248C YBR249C YBR261C YCL054W YCR047C YCR048W YDL025C YDL074C YDL112W YDL131W YDL140C YDL182W YDL205C YDR035W YDR045C YDR062W YDR072C YDR083W YDR127W YDR156W YDR226W YDR236C YDR245W YDR266C YDR300C YDR302W YDR354W YDR409W YDR410C YDR440W YDR466W YDR507C YDR531W YEL053C YEL056W YER052C YER055C YER069W YFR007W YGL017W YGL065C YGL115W YGL119W YGL169W YGL202W YGL253W YGR040W YGR227W YGR274C YGR277C YHL011C YHL039W YHR068W YHR070W YHR134W YIL021W YIL030C YIL035C YIL096C YIL116W YJL011C YJL062W YJL088W YJL091C YJL130C YJL196C YJR057W YJR075W YJR090C YJR133W YJR148W YKL018W YKL059C YKL101W YKL106W YKR002W YKR056W YLL031C YLL036C YLR015W YLR027C YLR058C YLR089C YLR207W YLR240W YLR247C YLR285W YLR305C YLR368W YML014W YML115C YML126C YMR062C YMR108W YMR300C YMR310C YNL022C YNL048W YNL061W YNL062C YNL104C YNL132W YNL154C YNL207W YNL219C YNL262W YNL298W YNL307C YNR030W YNR033W YNR046W YOL045W YOL093W YOL140W YOL143C YOR067C YOR171C YOR184W YOR196C YOR201C YOR207C YOR213C YOR221C YOR233W YOR311C YOR341W YPL030W YPL086C YPL155C YPL172C YPL175W YPL188W YPL227C YPL266W YPL273W YPR106W YPR110C YPR139C YPR183W YPR187W
lyase activity,24,80,0.0019144350865335088,FALSE,YBR213W YCR053W YDR047W YDR127W YDR234W YDR294C YDR487C YER010C YER086W YER090W YGL009C YGL026C YGL148W YHR018C YJL200C YJR016C YKL027W YKL184W YKL211C YKL218C YKR072C YLR359W YOR128C YOR202W
mRNA binding,46,189,0.0037633627472430696,FALSE,YBL076C YCR057C YDL160C YDL189W YDR060W YDR341C YDR496C YEL015W YER151C YER176W YFL023W YGL014W YGL044C YGL099W YGR103W YGR178C YIL078W YIR034C YJL010C YJL050W YJL124C YKL014C YKL130C YKL204W YLL013C YLR197W YLR276C YLR432W YMR125W YMR229C YMR288W YNL002C YNL004W YNL112W YNL197C YNL247W YNL262W YNR051C YOR204W YOR206W YPL126W YPL190C YPL212C YPL226W YPR033C YPR163C
structural constituent of nuclear pore,10,26,0.006098063959532406,FALSE,YAR002W YFR002W YGL092W YGL100W YGL172W YJL039C YJR042W YKL068W YML031W YMR129W
rRNA binding,14,44,0.009123524384461184,FALSE,YDR312W YDR496C YEL055C YGR103W YHR052W YKR081C YMR229C YNL002C YNL075W YNL110C YNR053C YOR004W YOR145C YPL146C
chromatin binding,26,110,0.03444761209903838,FALSE,YBL023C YBR202W YDL042C YDL160C YDR121W YDR325W YEL009C YER063W YER148W YER164W YFR013W YFR031C YGR116W YGR274C YHR154W YIL131C YJL081C YJL124C YKR038C YLR399C YML015C YNL004W YNL021W YNL068C YOR341W YPL128C
glycosyltransferase activity,21,92,0.07298096327844988,FALSE,YBL082C YBR004C YBR038W YBR110W YBR248C YDR245W YDR354W YER055C YGL065C YGR227W YJR075W YJR133W YML115C YMR300C YNL048W YNL219C YNR030W YOR067C YPL175W YPL227C YPR183W
protein transporter activity,9,33,0.08214625645636667,FALSE,YBR171W YEL020W-A YER087C-B YGR181W YHR117W YNL121C YNL131W YOR132W YOR297C
histone binding,10,40,0.11228904576546127,FALSE,YBR135W YEL056W YER164W YGR116W YIL126W YJL081C YLR399C YML102W YNL206C YPR023C
guanyl-nucleotide exchange factor activity,11,45,0.11232936398236291,FALSE,YAL041W YDR211W YER087C-B YGR083C YGR166W YKR026C YKR068C YLR039C YLR347C YML097C YMR218C
ligase activity,22,103,0.1203305724948464,FALSE,YAR015W YBL076C YDL141W YDR341C YER183C YGL062W YGL234W YGR061C YGR204W YHR074W YIL078W YJL130C YJR109C YKL194C YKL210W YNL247W YOL049W YOL058W YOR241W YPL104W YPR033C YPR145W
transcription factor binding,15,67,0.131450433192189,FALSE,YDR098C YEL009C YER148W YGR246C YGR274C YIR017C YKL028W YLR055C YLR071C YLR399C YMR043W YNL068C YNL167C YNL236W YNR009W
isomerase activity,12,56,0.2058377964138161,FALSE,YDL036C YDR518W YER003C YIL005W YKL127W YML074C YMR202W YNL088W YNL292W YOR243C YPL212C YPR060C
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,11,52,0.23237701840158242,FALSE,YBR248C YDL042C YGR204W YGR267C YHR074W YJL035C YKL215C YMR281W YNL021W YOR025W YPR062W
transmembrane transporter activity,51,278,0.24523218368492947,FALSE,YAL022C YBR036C YBR068C YBR069C YBR104W YBR171W YDL198C YDR011W YDR046C YDR205W YDR345C YER056C YER087C-B YER145C YFL040W YGL008C YGL077C YGL104C YGL139W YGL167C YGL186C YGR065C YHR026W YHR094C YHR117W YHR162W YJL212C YJR040W YKL064W YKL146W YLL048C YLR034C YLR130C YLR138W YML116W YNL121C YNL131W YNL142W YNL268W YNR013C YOL092W YOR130C YOR153W YOR270C YOR297C YOR306C YOR316C YPL092W YPL244C YPL265W YPR058W
