term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,7,270,0.0012603785753934162,FALSE,YDL078C YDL174C YDL215C YKL148C YLR174W YMR303C YOL126C
acyltransferase activity,5,185,0.005755147909144864,FALSE,YAR035W YCR005C YER024W YML042W YNL117W
transmembrane transporter activity,5,278,0.029553410163752857,FALSE,YCR010C YDR384C YJR095W YKL217W YOR100C
lyase activity,2,80,0.09154790816353663,FALSE,YER065C YKR097W
transferase activity,7,719,0.16432219550426397,FALSE,YAR035W YBL015W YCR005C YER024W YJL164C YML042W YNL117W
isomerase activity,1,56,0.3024952874136223,FALSE,YJL153C
ion binding,5,576,0.30343138974848594,FALSE,YDL174C YJL089W YKL148C YMR303C YPR024W
transcription factor binding,1,67,0.35046802321831017,FALSE,YKL109W
peptidase activity,1,85,0.4221612184204929,FALSE,YPR024W
phosphatase activity,1,96,0.46213733933332024,FALSE,YLR377C
ligase activity,1,103,0.48616879736804774,FALSE,YAL054C
DNA-binding transcription factor activity,1,106,0.4961468627909763,FALSE,YJL089W
hydrolase activity,4,567,0.49694594077405974,FALSE,YBL015W YBR067C YLR377C YPR024W
kinase activity,1,182,0.6946937776094748,FALSE,YJL164C
mRNA binding,1,189,0.7085805723941982,FALSE,YDL078C
enzyme regulator activity,1,249,0.8050281944103633,FALSE,YBR050C
structural molecule activity,1,261,0.8202001738772666,FALSE,YBR067C
DNA binding,1,324,0.8828999158854949,FALSE,YJL089W
RNA binding,1,365,0.9117001590586632,FALSE,YDL078C
