term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,35,270,2.833185750504265e-7,TRUE,YAL060W YAL062W YBL045C YBR145W YCL035C YCL043C YDL120W YDL215C YDR513W YEL024W YEL071W YFL018C YFR033C YFR049W YGL125W YGL187C YHR001W-A YHR042W YIL074C YJL052W YJR009C YJR048W YKL029C YKL085W YLR109W YLR174W YLR401C YLR405W YML054C YMR058W YMR083W YNL037C YNL241C YOR065W YPL171C
transferase activity,57,719,5.251135278034399e-4,TRUE,YAL017W YBL015W YBL068W YBR015C YBR082C YBR248C YBR249C YCL035C YCL040W YCR005C YCR012W YDL074C YDL079C YDL112W YDR054C YDR072C YDR208W YDR502C YDR513W YER052C YER055C YER100W YFL024C YFR015C YFR019W YFR053C YGR024C YGR032W YGR046W YGR203W YGR240C YHR099W YIL107C YJL100W YJL149W YJL167W YJL186W YJR059W YKL139W YLR258W YLR438W YMR216C YMR271C YMR291W YNL277W YNR001C YOL005C YOL034W YOL076W YOL100W YOR023C YOR064C YOR245C YOR347C YPL026C YPL204W YPL236C
kinase activity,19,182,0.0025163504957702223,FALSE,YAL017W YCL040W YCR012W YDL079C YDR208W YER052C YFR019W YFR053C YGR240C YIL107C YJL100W YJR059W YKL139W YMR216C YMR291W YOL100W YPL026C YPL204W YPL236C
transmembrane transporter activity,23,278,0.016453550762079355,FALSE,YBL045C YBR039W YBR091C YCR010C YCR011C YCR037C YEL024W YFR033C YGL187C YHR001W-A YIL088C YJR121W YKL016C YMR058W YMR301C YOR065W YOR087W YOR153W YOR270C YOR316C YOR328W YPL094C YPL221W
ligase activity,11,103,0.016633970866836045,FALSE,YAL054C YBR039W YBR222C YDR023W YGL062W YIL145C YJR121W YKL016C YLL018C YMR217W YOR317W
lyase activity,9,80,0.0213389010950938,FALSE,YAL012W YGR155W YHR112C YJR016C YKL060C YKL088W YNL036W YOR054C YPL262W
lipid binding,11,117,0.03847042458205757,FALSE,YBL085W YBR091C YDL113C YDR208W YFR019W YHR001W YJR048W YKR031C YNL231C YOR086C YOR270C
transferase activity, transferring alkyl or aryl (other than methyl) groups,5,40,0.05317695707543022,FALSE,YBR249C YCL035C YDR502C YDR513W YJL167W
acyltransferase activity,15,185,0.054678639480450736,FALSE,YBR082C YCR005C YDL074C YDR054C YER100W YFL024C YHR099W YJL149W YNL277W YNR001C YOL034W YOL076W YOR023C YOR064C YOR245C
glycosyltransferase activity,8,92,0.10152428216873337,FALSE,YBR015C YBR248C YER055C YFR015C YGR032W YJL186W YLR258W YMR271C
structural constituent of ribosome,13,179,0.134310851956826,FALSE,YDL083C YDR041W YDR115W YDR382W YFR049W YHL004W YJR113C YKR057W YLR048W YLR448W YMR193W YNL096C YPR102C
DNA-binding transcription factor activity,8,106,0.18087594279104544,FALSE,YDL020C YDR169C YDR207C YFL031W YIR018W YML007W YMR037C YOR162C
RNA binding,22,365,0.2575472131330146,FALSE,YAL005C YAL043C YBR222C YCR057C YDL051W YDR023W YFL023W YGR155W YGR279C YHL038C YHR089C YJL109C YKL085W YLL011W YLL018C YLR384C YLR401C YLR448W YNL175C YNL221C YNL239W YOR001W
unfolded protein binding,5,67,0.2637897613789094,FALSE,YAL005C YCL043C YHR133C YMR131C YNL064C
peptidase activity,6,85,0.2750397790961586,FALSE,YER017C YHR113W YKR098C YLR163C YNL239W YPR024W
isomerase activity,4,56,0.327848149526612,FALSE,YBR196C YCL043C YDR007W YJL167W
structural molecule activity,15,261,0.37503613645918077,FALSE,YDL083C YDL097C YDR041W YDR115W YDR382W YFR049W YGR193C YHL004W YJR113C YKR057W YLR048W YLR448W YMR193W YNL096C YPR102C
mRNA binding,11,189,0.3876105724521624,FALSE,YBR222C YCR057C YDR023W YFL023W YGR155W YGR279C YKL085W YLL011W YLL018C YLR401C YNL239W
ATP hydrolysis activity,5,83,0.4291766756206099,FALSE,YAL005C YER017C YJR121W YLR249W YOL034W
transcription factor binding,4,67,0.45820232473087796,FALSE,YDR207C YDR397C YER177W YIR017C
protein transporter activity,2,33,0.5144837664348108,FALSE,YBR091C YPL094C
ion binding,30,576,0.5239682650669284,FALSE,YAL060W YBR091C YBR145W YDL074C YDL120W YDR207C YDR379W YEL071W YER017C YFR019W YGL062W YGL187C YHR113W YJR048W YKL060C YKR098C YLR163C YLR401C YMR037C YMR083W YNL036W YNL064C YOR001W YOR064C YOR162C YOR270C YOR316C YPL054W YPL093W YPR024W
cytoskeletal protein binding,4,77,0.5687325782434258,FALSE,YCR088W YGR078C YGR200C YPR171W
DNA binding,16,324,0.6183406913834695,FALSE,YAL001C YBL003C YBR049C YBR089C-A YDL020C YDL074C YDR169C YDR207C YDR397C YER095W YER177W YLR150W YMR037C YNL239W YOL034W YOR162C
histone binding,2,40,0.6199284222761308,FALSE,YOR064C YPR023C
helicase activity,3,62,0.6287573902218169,FALSE,YDR190C YLL008W YPL235W
ubiquitin-like protein binding,2,43,0.6594252664891757,FALSE,YBR082C YIL046W
protein-macromolecule adaptor activity,5,116,0.7243570619350753,FALSE,YBR082C YDL073W YJL149W YMR197C YPR171W
nucleotidyltransferase activity,3,72,0.7274392842290928,FALSE,YGR024C YGR046W YOL005C
hydrolase activity, acting on glycosyl bonds,1,39,0.8745115176862814,FALSE,YGR279C
translation factor activity, RNA binding,1,39,0.8745115176862814,FALSE,YLR249W
rRNA binding,1,44,0.9039495952553788,FALSE,YOR001W
guanyl-nucleotide exchange factor activity,1,45,0.9089534664863668,FALSE,YAL003W
nuclease activity,2,76,0.9103299605884136,FALSE,YNL221C YOR001W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,1,52,0.9374144511188606,FALSE,YBR248C
hydrolase activity,22,567,0.9488625869945159,FALSE,YAL005C YBL015W YBR248C YDR530C YER017C YER043C YFL038C YGR203W YGR279C YHR113W YJR121W YKR031C YKR098C YLR163C YLR249W YNL221C YNL223W YNL239W YOL034W YOR001W YPL206C YPR024W
GTPase activity,1,59,0.9570026996558816,FALSE,YFL038C
chromatin binding,2,110,0.9804562344510734,FALSE,YDR397C YJR009C
methyltransferase activity,1,81,0.9868338569005168,FALSE,YDL112W
enzyme binding,1,86,0.9899467727794347,FALSE,YJL151C
phosphatase activity,1,96,0.9941437330821983,FALSE,YGR203W
enzyme regulator activity,5,249,0.99709067720295,FALSE,YAL003W YDR379W YDR382W YIL033C YOR054C
