term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,37,270,3.194136893282162e-7,TRUE,YAL060W YAL062W YBR145W YBR213W YCL035C YCL043C YDL120W YDL215C YDR368W YDR513W YEL024W YEL071W YFL018C YFR030W YFR033C YFR049W YGL125W YGL187C YHR001W-A YHR176W YIL074C YIR034C YJR009C YJR137C YJR139C YKL029C YKL085W YLR109W YLR174W YLR401C YLR405W YML054C YMR083W YNL037C YNL241C YOR065W YPR167C
transferase activity,64,719,1.1775480750482844e-4,TRUE,YAL017W YAL038W YBL015W YBL068W YBR082C YBR133C YBR248C YBR249C YCL035C YCL040W YCR005C YCR012W YDL052C YDL095W YDL112W YDL159W YDR017C YDR054C YDR072C YDR208W YDR502C YDR513W YER052C YER055C YER091C YER099C YER129W YFL009W YFL024C YFR019W YFR053C YGL115W YGR032W YGR046W YGR199W YGR203W YHR099W YIL107C YJL012C YJL060W YJL100W YJL167W YJL186W YJR010W YJR059W YKL001C YKL139W YKR069W YLR258W YLR303W YLR354C YLR410W YMR271C YNL277W YNR001C YNR033W YOL034W YOL100W YOL136C YOR023C YOR184W YPL026C YPL053C YPL236C
kinase activity,22,182,5.49246995493476e-4,TRUE,YAL017W YCL040W YCR012W YDL159W YDR017C YDR208W YER052C YER129W YFR019W YFR053C YGL115W YIL107C YJL012C YJL100W YJR059W YKL001C YKL139W YLR410W YOL100W YOL136C YPL026C YPL236C
lyase activity,11,80,0.0050293774895027975,FALSE,YAL012W YBR213W YEL046C YGR087C YGR155W YHR112C YKL088W YKR072C YNL036W YOR054C YPL262W
DNA-binding transcription factor activity,13,106,0.006467761444648757,FALSE,YDL020C YDR169C YDR207C YDR213W YDR253C YFL031W YGL035C YIR018W YKL015W YKR034W YLR403W YML007W YMR037C
transferase activity, transferring alkyl or aryl (other than methyl) groups,6,40,0.023565660196592807,FALSE,YBR249C YCL035C YDR502C YDR513W YJL167W YLR303W
transmembrane transporter activity,23,278,0.042129911789126354,FALSE,YBR039W YBR091C YCR011C YEL024W YFR033C YGL187C YHL036W YHR001W-A YIL088C YJL143W YJR001W YJR121W YKL016C YLR092W YML123C YMR301C YNL065W YNR013C YOR065W YOR153W YOR270C YOR316C YPL094C
ligase activity,10,103,0.06522898744776746,FALSE,YBR039W YBR222C YDR023W YGL062W YJL101C YJR121W YKL016C YMR217W YNL220W YOR317W
lipid binding,11,117,0.0661781611896501,FALSE,YBL085W YBR091C YDL113C YDR208W YDR309C YER114C YFR019W YGR223C YHR001W YKR031C YOR270C
glycosyltransferase activity,9,92,0.07490567078206363,FALSE,YBR248C YDL095W YER055C YGR032W YGR199W YJL186W YLR258W YMR271C YPL053C
isomerase activity,5,56,0.20875249146465152,FALSE,YBR196C YCL043C YDR007W YJL167W YPL152W
ubiquitin-like protein binding,4,43,0.22413951186338923,FALSE,YBR082C YBR135W YFL009W YIL046W
ion binding,37,576,0.2372101834141428,FALSE,YAL060W YBL036C YBR091C YBR145W YDL120W YDR207C YDR213W YDR253C YDR309C YDR379W YDR481C YEL071W YER091C YFR019W YGL035C YGL062W YGL187C YGR223C YHR113W YHR132C YIL118W YJL012C YKL015W YKR034W YKR098C YLR401C YLR403W YML123C YMR037C YMR083W YNL036W YNL064C YOR025W YOR270C YOR316C YPL093W YPR024W
cytoskeletal protein binding,6,77,0.26911453465185997,FALSE,YCR088W YGR078C YGR113W YGR200C YOR367W YPR171W
protein transporter activity,3,33,0.2861373149649609,FALSE,YBR091C YJL143W YPL094C
transcription factor binding,5,67,0.3291215181310941,FALSE,YDR207C YDR253C YDR397C YER177W YIR017C
enzyme regulator activity,16,249,0.338115543849892,FALSE,YAL003W YBR135W YDR379W YDR382W YER094C YGL115W YGR233C YHR071W YIL033C YJR138W YKR068C YKR072C YNL224C YOR054C YPL052W YPL152W
mRNA binding,12,189,0.38477198032147136,FALSE,YBR222C YCR057C YDL160C YDR023W YER072W YGR155W YGR279C YIR034C YKL085W YLR401C YNL239W YPL190C
phosphatase activity,6,96,0.46282960445391086,FALSE,YDR481C YDR503C YER062C YGR203W YNL094W YOL064C
DNA binding,19,324,0.4767383917618402,FALSE,YAL001C YBR089C-A YCR092C YDL020C YDR169C YDR207C YDR213W YDR253C YDR397C YER177W YGL035C YKL015W YKR034W YLR150W YMR037C YNL220W YNL239W YOL034W YOR038C
acyltransferase activity,11,185,0.4802536467698092,FALSE,YBR082C YCR005C YDL052C YDR054C YFL009W YFL024C YHR099W YNL277W YNR001C YOL034W YOR023C
unfolded protein binding,4,67,0.5306772072354169,FALSE,YCL043C YHR133C YMR131C YNL064C
peptidase activity,5,85,0.5314130219486234,FALSE,YHR113W YKR098C YNL239W YPR024W YPR103W
hydrolase activity, acting on glycosyl bonds,2,39,0.6566468364626632,FALSE,YGR279C YLR300W
GTPase activity,3,59,0.6575432437654771,FALSE,YFL037W YFL038C YIL118W
histone binding,2,40,0.6703473661806916,FALSE,YBR135W YPR023C
methyltransferase activity,4,81,0.6814511028519964,FALSE,YBR133C YDL112W YER091C YKR069W
helicase activity,3,62,0.6905190966224726,FALSE,YDL160C YDR190C YLL008W
structural constituent of ribosome,9,179,0.6940847464911302,FALSE,YDL083C YDR041W YDR382W YFR049W YKR057W YLR048W YLR448W YNL096C YPR102C
hydrolase activity,30,567,0.6974676132458668,FALSE,YBL015W YBR248C YDL160C YDR481C YDR503C YDR530C YER019W YER062C YFL037W YFL038C YGR203W YGR279C YHR113W YIL118W YJR121W YKR031C YKR098C YLR249W YLR300W YLR410W YNL094W YNL223W YNL239W YOL034W YOL064C YOR025W YOR163W YPL206C YPR024W YPR103W
ATP hydrolysis activity,4,83,0.6999839527710208,FALSE,YDL160C YJR121W YLR249W YOL034W
structural molecule activity,13,261,0.7291392273112053,FALSE,YDL083C YDL097C YDR041W YDR254W YDR382W YFL037W YFR049W YJL158C YKR057W YLR048W YLR448W YNL096C YPR102C
guanyl-nucleotide exchange factor activity,2,45,0.7323186614165416,FALSE,YAL003W YKR068C
RNA binding,18,365,0.7716192615241315,FALSE,YBR222C YCR057C YDL051W YDL160C YDR023W YER072W YGR155W YGR279C YHR089C YIR034C YJL109C YKL085W YLR384C YLR401C YLR448W YNL175C YNL239W YPL190C
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.8022709018968122,FALSE,YBR248C YOR025W
chromatin binding,4,110,0.8780439090120492,FALSE,YDL160C YDR397C YJR009C YOR038C
translation factor activity, RNA binding,1,39,0.8977065681626346,FALSE,YLR249W
protein-macromolecule adaptor activity,4,116,0.902092629953783,FALSE,YBR082C YMR197C YOR367W YPR171W
nucleotidyltransferase activity,2,72,0.9212247269651924,FALSE,YGR046W YJR010W
enzyme binding,2,86,0.9600709907889535,FALSE,YDR309C YJL151C
nuclease activity,1,76,0.9884436481404977,FALSE,YOR163W
