term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,3,270,0.05548602886813363,FALSE,YBL045C YOR246C YPL061W
kinase activity,2,182,0.1187436023594643,FALSE,YFR053C YPL026C
translation factor activity, RNA binding,1,39,0.12107856236218895,FALSE,YEL034W
lyase activity,1,80,0.23346115112182209,FALSE,YKR097W
ligase activity,1,103,0.2904557033253141,FALSE,YOR317W
lipid binding,1,117,0.3231766640286817,FALSE,YFL014W
structural constituent of ribosome,1,179,0.45180300564441234,FALSE,YJR145C
structural molecule activity,1,261,0.5869647871961634,FALSE,YJR145C
transmembrane transporter activity,1,278,0.6107550487404235,FALSE,YBL045C
DNA binding,1,324,0.6688493552497257,FALSE,YGR140W
transferase activity,2,719,0.7087683932707494,FALSE,YFR053C YPL026C
RNA binding,1,365,0.7136778164331593,FALSE,YEL034W
hydrolase activity,1,567,0.8629266084018493,FALSE,YHR049W
ion binding,1,576,0.8674585876435236,FALSE,YPL135W
