term,group_count,overall_count,exact_pval,sig,genes
transmembrane transporter activity,7,278,0.014613892240727722,FALSE,YDL210W YEL063C YJL212C YJR152W YKR039W YNL101W YNL142W
DNA-binding transcription factor activity,4,106,0.017296310935898545,FALSE,YDR253C YFL021W YJL110C YKR034W
DNA binding,6,324,0.08292750639657953,FALSE,YAL019W YDR253C YFL021W YJL110C YKR034W YOR110W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.0862370225421739,FALSE,YDL238C YIR029W
ion binding,8,576,0.17198023492461192,FALSE,YDL238C YDR253C YFL021W YJL110C YJL210W YKR034W YKR098C YPL217C
structural molecule activity,4,261,0.2324037709400334,FALSE,YDR041W YDR254W YLR048W YLR110C
mRNA binding,3,189,0.2649088332117294,FALSE,YGR072W YNL002C YPL217C
rRNA binding,1,44,0.3430458410138546,FALSE,YNL002C
guanyl-nucleotide exchange factor activity,1,45,0.34931813061812256,FALSE,YDR246W
GTPase activity,1,59,0.4312148666372141,FALSE,YPL217C
helicase activity,1,62,0.44740454729407964,FALSE,YMR128W
hydrolase activity,6,567,0.4527872423377539,FALSE,YDL238C YIR029W YKR098C YNL001W YOR110W YPL217C
transcription factor binding,1,67,0.473391036941576,FALSE,YDR253C
oxidoreductase activity,3,270,0.4749972410160588,FALSE,YDL215C YHR183W YLR142W
structural constituent of ribosome,2,179,0.5099012927342117,FALSE,YDR041W YLR048W
nuclease activity,1,76,0.5171873406739906,FALSE,YNL001W
acyltransferase activity,2,185,0.5278061918830108,FALSE,YEL012W YJL210W
lyase activity,1,80,0.5354890544390769,FALSE,YAL012W
peptidase activity,1,85,0.5574139358353951,FALSE,YKR098C
glycosyltransferase activity,1,92,0.5864165970510392,FALSE,YNL038W
phosphatase activity,1,96,0.6021459166163391,FALSE,YOR110W
ligase activity,1,103,0.6282757638559282,FALSE,YJR109C
chromatin binding,1,110,0.6527243757196978,FALSE,YAL019W
RNA binding,3,365,0.6826773828294106,FALSE,YGR072W YNL002C YPL217C
enzyme regulator activity,1,249,0.9119501722872425,FALSE,YDR246W
transferase activity,4,719,0.9252667394990017,FALSE,YEL012W YJL088W YJL210W YNL038W
