term,group_count,overall_count,exact_pval,sig,genes
lyase activity,11,80,9.556397373091675e-7,TRUE,YDR127W YDR487C YER086W YER090W YFR055W YGL026C YHR018C YJL200C YKL211C YNL036W YOR202W
oxidoreductase activity,18,270,1.7189665201204223e-5,TRUE,YBR046C YBR115C YBR145W YDL066W YDL171C YDR127W YDR158W YDR453C YER069W YFR030W YGL012W YGR029W YGR088W YIR034C YJR025C YKL029C YLR355C YNR050C
transferase activity, transferring alkyl or aryl (other than methyl) groups,6,40,1.9690536026047142e-4,TRUE,YBR249C YBR256C YDL205C YDR035W YDR127W YLR303W
ligase activity,9,103,3.6515365049288455e-4,TRUE,YBR218C YGL062W YGR124W YHR019C YHR020W YJR109C YOL058W YOR303W YPR145W
transferase activity,27,719,0.002704986963802815,FALSE,YBL015W YBR248C YBR249C YBR256C YCL009C YCL017C YDL131W YDL182W YDL205C YDR035W YDR127W YDR354W YER052C YER069W YER091C YGL202W YIL116W YJL088W YLR058C YLR303W YMR062C YNL104C YNL277W YOL140W YOR298W YPL188W YPL273W
transmembrane transporter activity,13,278,0.007072380367732935,FALSE,YBR043C YDL198C YDR508C YEL063C YGR065C YKL120W YML116W YML123C YNL142W YOR130C YPL092W YPR058W YPR156C
ion binding,17,576,0.1204156937690833,FALSE,YBR145W YBR218C YDL131W YDL182W YDR127W YDR481C YER091C YGL062W YHR020W YKL103C YLR388W YML123C YNL036W YNL104C YPL111W YPL135W YPL273W
acyltransferase activity,6,185,0.21598227198852274,FALSE,YDL131W YDL182W YMR062C YNL104C YNL277W YOR298W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.3141195347857888,FALSE,YBR248C YPL111W
methyltransferase activity,2,81,0.5315258180339122,FALSE,YER091C YPL273W
structural constituent of ribosome,4,179,0.5530891173378649,FALSE,YFL034C-A YLR029C YLR388W YNL178W
kinase activity,4,182,0.5664358342468634,FALSE,YDR127W YER052C YER069W YPL188W
histone binding,1,40,0.5874142195814132,FALSE,YDL070W
glycosyltransferase activity,2,92,0.6012206477673077,FALSE,YBR248C YDR354W
phosphatase activity,2,96,0.6245801042060535,FALSE,YDR481C YGL224C
structural molecule activity,5,261,0.6816772473138044,FALSE,YFL034C-A YLR029C YLR194C YLR388W YNL178W
transcription factor binding,1,67,0.7739736873091339,FALSE,YDL070W
mRNA binding,3,189,0.7882176882948055,FALSE,YBR046C YHR019C YIR034C
enzyme regulator activity,4,249,0.8009977019094092,FALSE,YCL009C YHR071W YMR199W YPL111W
nuclease activity,1,76,0.8151966696121606,FALSE,YNL221C
ATP hydrolysis activity,1,83,0.8420285136044858,FALSE,YFL028C
peptidase activity,1,85,0.848959246423725,FALSE,YKL103C
RNA binding,5,365,0.9095363564295849,FALSE,YBR046C YHR019C YIR034C YLR029C YNL221C
hydrolase activity,8,567,0.9396285641695605,FALSE,YBL015W YBR248C YDR481C YFL028C YGL224C YKL103C YNL221C YPL111W
DNA binding,3,324,0.9764363073721041,FALSE,YDL070W YLR355C YML027W
