term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,39,270,2.050989208370865e-8,TRUE,YBL045C YBR035C YBR046C YBR145W YDL066W YDL067C YDL085W YDL171C YDR127W YDR158W YDR353W YEL071W YER069W YER073W YFL018C YFR049W YGL125W YGL148W YGR029W YGR183C YGR192C YGR204W YIL074C YJR025C YJR104C YKL029C YKL148C YKR066C YLR355C YMR041C YMR083W YNL037C YNL052W YOL059W YOL126C YOR236W YOR374W YOR375C YPL061W
ligase activity,22,103,2.884302234259004e-8,TRUE,YAL054C YBL076C YDR341C YGL062W YGR061C YGR094W YGR124W YGR204W YHR019C YHR020W YIL078W YJL130C YJR109C YKL016C YLL018C YLR153C YOL058W YOR303W YOR317W YPL160W YPR035W YPR145W
transmembrane transporter activity,38,278,1.429190741633414e-7,TRUE,YAL053W YBL045C YBR043C YBR104W YBR147W YBR296C YCR010C YDL067C YDR011W YDR384C YEL063C YER056C YGL186C YGL255W YGR082W YGR121C YGR183C YGR243W YHR096C YHR162W YIL023C YJL212C YJR095W YKL016C YKL120W YKL146W YKL217W YLL048C YMR243C YNL052W YNL142W YNL268W YOL020W YOR100C YOR222W YOR316C YPL092W YPL274W
lyase activity,18,80,2.3692554263046978e-7,TRUE,YCR053W YDR127W YDR533C YER065C YER090W YGL009C YGL026C YGL040C YGL148W YGR155W YHR018C YJL200C YJR016C YKL060C YKR097W YMR096W YNL036W YOR202W
ion binding,45,576,0.011439059188023055,FALSE,YAL044C YBR035C YBR145W YDR034C YDR127W YDR216W YDR353W YEL071W YER040W YFL021W YGL040C YGL062W YGL255W YHL027W YHR006W YHR020W YHR047C YIL023C YIL078W YJL079C YJL089W YJL210W YJR104C YKL060C YKL103C YKL114C YKL148C YKR098C YLL027W YLR032W YLR074C YLR228C YML099C YMR083W YMR108W YMR243C YNL036W YNL104C YOR108W YOR316C YOR363C YPL111W YPL135W YPL273W YPR008W
transferase activity, transferring alkyl or aryl (other than methyl) groups,6,40,0.021736177920877855,FALSE,YBR249C YBR256C YDL205C YDR127W YJR130C YKR076W
DNA-binding transcription factor activity,11,106,0.032515391458061864,FALSE,YBL103C YDR216W YER040W YFL021W YHL027W YHR006W YIR018W YJL089W YLR228C YOR363C YPR008W
mRNA binding,17,189,0.033075882175299165,FALSE,YBL076C YBR046C YDR341C YGL014W YGR094W YGR155W YGR192C YHR019C YHR086W YIL078W YLL018C YMR229C YNL118C YNL239W YNL251C YOR236W YPL160W
transferase activity,44,719,0.28174743096281635,FALSE,YAR035W YBL015W YBR248C YBR249C YBR256C YCL009C YCR005C YDL025C YDL205C YDR059C YDR127W YDR490C YER024W YER052C YER055C YER069W YER170W YFL030W YGL059W YGR043C YHR025W YHR208W YJL011C YJL088W YJL130C YJL210W YJR105W YJR130C YKL024C YKR058W YKR067W YKR076W YLR027C YML042W YMR108W YMR120C YNL104C YNL117W YNL154C YOR108W YPL026C YPL057C YPL273W YPR001W
kinase activity,12,182,0.31302529638215115,FALSE,YDL025C YDR127W YDR490C YER052C YER069W YER170W YGL059W YHR025W YJR105W YKL024C YNL154C YPL026C
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,4,52,0.32703714574893333,FALSE,YBR248C YGR204W YMR120C YPL111W
RNA binding,22,365,0.3826418824928148,FALSE,YAL005C YBL076C YBR046C YDR341C YGL014W YGR094W YGR155W YGR192C YHR019C YHR086W YIL078W YLL018C YMR229C YNL075W YNL118C YNL221C YNL239W YNL251C YOL021C YOR236W YOR319W YPL160W
acyltransferase activity,11,185,0.45540143051047066,FALSE,YAR035W YCR005C YDR059C YER024W YJL210W YKR067W YML042W YNL104C YNL117W YOR108W YPR001W
transcription factor binding,4,67,0.5159252250273906,FALSE,YBL103C YDR216W YIR017C YPL177C
nuclease activity,4,76,0.6170439100266791,FALSE,YKL114C YML091C YNL221C YOL021C
peptidase activity,4,85,0.7039836458095292,FALSE,YHR047C YKL103C YKR098C YNL239W
rRNA binding,2,44,0.7110940519685726,FALSE,YMR229C YNL075W
guanyl-nucleotide exchange factor activity,2,45,0.7227611773052371,FALSE,YAL003W YLR310C
DNA binding,16,324,0.7322114410756755,FALSE,YBL103C YDR034C YDR099W YDR216W YER040W YFL021W YGR081C YHR006W YJL089W YLR032W YLR228C YLR355C YNL075W YNL239W YOR363C YPL177C
glycosyltransferase activity,4,92,0.7611147013309325,FALSE,YBR248C YER055C YKR058W YPL057C
GTPase activity,2,59,0.8482120989018503,FALSE,YKR014C YOR101W
