term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,6,270,0.010053252471446693,FALSE,YBL045C YCL030C YDR127W YGL125W YJR025C YLR355C
transmembrane transporter activity,6,278,0.011524147298585717,FALSE,YBL045C YDL198C YEL063C YJL212C YJR152W YOR222W
lyase activity,3,80,0.017813177411431385,FALSE,YDR127W YGL184C YHR018C
transferase activity,10,719,0.021747767157944117,FALSE,YCL009C YDR127W YER052C YER055C YGL180W YIL116W YJL088W YJL210W YLR027C YMR062C
ligase activity,3,103,0.03439726418679149,FALSE,YBR218C YJR109C YOL058W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.05065122052116581,FALSE,YCL030C YIR027C
ion binding,7,576,0.09996414429334871,FALSE,YBR218C YCL030C YDL170W YDR127W YIR027C YJL210W YOR337W
kinase activity,3,182,0.1329483767327288,FALSE,YDR127W YER052C YGL180W
phosphatase activity,2,96,0.14437945513792105,FALSE,YJR110W YOL064C
transferase activity, transferring alkyl or aryl (other than methyl) groups,1,40,0.24560476050043267,FALSE,YDR127W
acyltransferase activity,2,185,0.37337125887666733,FALSE,YJL210W YMR062C
DNA binding,3,324,0.3976930126127839,FALSE,YDL170W YLR355C YOR337W
glycosyltransferase activity,1,92,0.4788707755909669,FALSE,YER055C
enzyme regulator activity,2,249,0.5262822951003479,FALSE,YCL009C YHR071W
DNA-binding transcription factor activity,1,106,0.5285971099575529,FALSE,YDL170W
protein-macromolecule adaptor activity,1,116,0.561263282538538,FALSE,YDL170W
hydrolase activity,4,567,0.572662085172358,FALSE,YCL030C YIR027C YJR110W YOL064C
mRNA binding,1,189,0.7414694844192506,FALSE,YJR110W
RNA binding,1,365,0.9302437837243609,FALSE,YJR110W
