term,group_count,overall_count,exact_pval,sig,genes
isomerase activity,5,56,1.3630505813623704e-5,TRUE,YBR196C YCL043C YDR050C YDR155C YKL152C
oxidoreductase activity,7,270,6.551513989209838e-4,TRUE,YCL043C YDL022W YGR192C YJL052W YJR009C YLR043C YOL086C
lyase activity,4,80,0.0010329633562362703,FALSE,YGR254W YHR174W YKL060C YLR044C
kinase activity,5,182,0.003401736978123967,FALSE,YCL040W YCR012W YFR053C YGR240C YMR205C
mRNA binding,3,189,0.0931424194788942,FALSE,YDR155C YGR192C YMR205C
RNA binding,4,365,0.15458527626558985,FALSE,YDR155C YDR365C YGR192C YMR205C
transferase activity,6,719,0.22553633909089219,FALSE,YAL038W YCL040W YCR012W YFR053C YGR240C YMR205C
transcription factor binding,1,67,0.32268794031589176,FALSE,YER177W
unfolded protein binding,1,67,0.32268794031589176,FALSE,YCL043C
phosphatase activity,1,96,0.4287691843607032,FALSE,YIL053W
ligase activity,1,103,0.4518651217079126,FALSE,YOR303W
DNA-binding transcription factor activity,1,106,0.4614853204612077,FALSE,YPL075W
chromatin binding,1,110,0.4740592906550023,FALSE,YJR009C
lipid binding,1,117,0.4953856454921657,FALSE,YDR276C
DNA binding,2,324,0.565915346377649,FALSE,YER177W YPL075W
ion binding,3,576,0.6616069287067176,FALSE,YDR276C YKL060C YOL086C
transmembrane transporter activity,1,278,0.8085855773246278,FALSE,YNL055C
hydrolase activity,1,567,0.9692620719522029,FALSE,YIL053W
