term,group_count,overall_count,exact_pval,sig,genes
lyase activity,4,80,8.103820634810189e-5,TRUE,YEL021W YGR254W YHR174W YLR044C
oxidoreductase activity,4,270,0.007818007943989617,FALSE,YDL022W YGR192C YJR009C YOL086C
isomerase activity,2,56,0.012433452342818625,FALSE,YBR196C YKL152C
transcription factor binding,1,67,0.1881542160512618,FALSE,YER177W
phosphatase activity,1,96,0.2588656314938055,FALSE,YIL053W
chromatin binding,1,110,0.2909046836775888,FALSE,YJR009C
kinase activity,1,182,0.4362351471750824,FALSE,YCR012W
mRNA binding,1,189,0.4487707050315406,FALSE,YGR192C
DNA binding,1,324,0.6451277525747117,FALSE,YER177W
transferase activity,2,719,0.6738176313119181,FALSE,YAL038W YCR012W
RNA binding,1,365,0.6903606372716474,FALSE,YGR192C
hydrolase activity,1,567,0.8447675866644309,FALSE,YIL053W
ion binding,1,576,0.8495836512077168,FALSE,YOL086C
