term,group_count,overall_count,exact_pval,sig,genes
ligase activity,4,103,0.0038587821327579954,FALSE,YGL062W YJR109C YOL058W YPR145W
structural constituent of ribosome,4,179,0.025763262208532627,FALSE,YHL033C YJR145C YLR048W YNL067W
oxidoreductase activity,5,270,0.026446540353356154,FALSE,YBR006W YDL066W YDL171C YJR009C YLR355C
transmembrane transporter activity,5,278,0.029553410163752857,FALSE,YDL198C YDR508C YML123C YMR088C YNL142W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.042840082420929904,FALSE,YNL141W YPL111W
structural molecule activity,4,261,0.08197347502663749,FALSE,YHL033C YJR145C YLR048W YNL067W
lyase activity,2,80,0.09154790816353663,FALSE,YHR018C YOR202W
ion binding,6,576,0.1535589493222907,FALSE,YGL062W YGR173W YKL103C YML123C YNL141W YPL111W
peptidase activity,1,85,0.4221612184204929,FALSE,YKL103C
chromatin binding,1,110,0.509159671365215,FALSE,YJR009C
mRNA binding,1,189,0.7085805723941982,FALSE,YHL015W
hydrolase activity,3,567,0.7186356812350906,FALSE,YKL103C YNL141W YPL111W
enzyme regulator activity,1,249,0.8050281944103633,FALSE,YPL111W
DNA binding,1,324,0.8828999158854949,FALSE,YLR355C
RNA binding,1,365,0.9117001590586632,FALSE,YHL015W
transferase activity,1,719,0.9931093838889438,FALSE,YJL088W
