term,group_count,overall_count,exact_pval,sig,genes
transmembrane transporter activity,18,278,1.2331122194526923e-15,TRUE,YBL045C YBL099W YBR039W YDL004W YDR377W YDR529C YEL024W YGL187C YGR183C YHR001W-A YHR051W YJR121W YLR038C YLR395C YML081C-A YML120C YMR256C YOR065W
oxidoreductase activity,15,270,7.667528238664783e-12,TRUE,YBL045C YDR529C YEL024W YGL187C YGR183C YHR001W-A YHR051W YIL125W YKL148C YLR038C YLR395C YML120C YMR256C YOR065W YOR375C
ligase activity,7,103,2.1463672835835463e-6,TRUE,YBL099W YBR039W YDL004W YDR377W YJR121W YML081C-A YPR145W
ATP hydrolysis activity,4,83,0.0015467693214840064,FALSE,YBL099W YDL004W YDR377W YJR121W
lyase activity,3,80,0.012666363017168837,FALSE,YER065C YKL060C YPL262W
hydrolase activity,6,567,0.129293354890339,FALSE,YBL015W YBL099W YDL004W YDR377W YJR121W YML091C
acyltransferase activity,2,185,0.31731209381626035,FALSE,YDR148C YNR001C
nuclease activity,1,76,0.3775382842621219,FALSE,YML091C
transferase activity,4,719,0.6679959046417596,FALSE,YBL015W YDR148C YFL030W YNR001C
ion binding,3,576,0.7078196535818042,FALSE,YGL187C YKL060C YKL148C
