term,group_count,overall_count,exact_pval,sig,genes
unfolded protein binding,15,67,6.75823040513666e-14,TRUE,YAL005C YBL075C YBR072W YDR171W YER103W YFL016C YJL034W YLL024C YLL026W YLR216C YLR259C YMR186W YNL064C YOR020C YPL240C
ATP hydrolysis activity,11,83,6.581381854490732e-8,TRUE,YAL005C YBL075C YDR258C YER036C YJL034W YJR045C YLL024C YLL026W YLR259C YMR186W YPL240C
hydrolase activity,18,567,0.0036891218018072734,FALSE,YAL005C YBL033C YBL075C YBR067C YCL050C YDR258C YER036C YER037W YGL037C YHR049W YJL034W YJR045C YLL024C YLL026W YLR259C YML100W YMR186W YPL240C
mRNA binding,8,189,0.011134959906625651,FALSE,YBR072W YDR155C YER035W YGR192C YGR250C YHR082C YHR104W YOR027W
RNA binding,10,365,0.07036109431324741,FALSE,YAL005C YBR072W YDR155C YER035W YGR192C YGR250C YHR082C YHR104W YLL024C YOR027W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.20668723547383777,FALSE,YBL033C YGL037C
isomerase activity,2,56,0.23070376021625202,FALSE,YDR155C YLR216C
oxidoreductase activity,6,270,0.2747012239547923,FALSE,YDL022W YGR192C YHR104W YJR048W YLR109W YML130C
lipid binding,3,117,0.29615991641350675,FALSE,YDR313C YFL014W YJR048W
nucleotidyltransferase activity,2,72,0.32746848870390444,FALSE,YCL050C YKL035W
ion binding,11,576,0.33377005404221793,FALSE,YBL033C YBR170C YDR313C YFL016C YGL037C YJR048W YKL038W YLL024C YLL026W YNL064C YPL106C
glycosyltransferase activity,2,92,0.44346151156781566,FALSE,YML100W YPR160W
phosphatase activity,2,96,0.46540653360686934,FALSE,YER037W YML100W
ubiquitin-like protein binding,1,43,0.5071290633514747,FALSE,YBR082C
transferase activity,12,719,0.5120155006065535,FALSE,YAL038W YBR082C YBR117C YCL050C YCR012W YDR313C YHR082C YKL035W YML100W YNL063W YOR267C YPR160W
protein-macromolecule adaptor activity,2,116,0.5671382006937882,FALSE,YBR082C YOL082W
kinase activity,3,182,0.5733408674226328,FALSE,YCR012W YHR082C YOR267C
enzyme regulator activity,4,249,0.5828742667518861,FALSE,YJL144W YJR045C YML100W YNL006W
methyltransferase activity,1,81,0.7376473130490502,FALSE,YNL063W
acyltransferase activity,2,185,0.8099900734310979,FALSE,YBR082C YDR313C
DNA-binding transcription factor activity,1,106,0.8272082107095808,FALSE,YKL038W
DNA binding,2,324,0.9723172419514471,FALSE,YKL038W YLR259C
structural molecule activity,1,261,0.9876644543318248,FALSE,YBR067C
transmembrane transporter activity,1,278,0.9908152978816239,FALSE,YGL008C
