term,group_count,overall_count,exact_pval,sig,genes
transferase activity, transferring alkyl or aryl (other than methyl) groups,2,40,0.048231919932882554,FALSE,YDR502C YJL167W
isomerase activity,2,56,0.08721709688395483,FALSE,YJL153C YJL167W
transferase activity,10,719,0.09343533132732114,FALSE,YBL015W YBR177C YCR005C YDR147W YDR502C YEL040W YER026C YJL167W YJR073C YJR105W
transmembrane transporter activity,5,278,0.09672661105445331,FALSE,YDR497C YEL069C YOR153W YPL270W YPL274W
ion binding,8,576,0.12984853250371584,FALSE,YBR066C YDL125C YDR034C YER017C YFL021W YGL062W YHL020C YNL036W
lyase activity,2,80,0.15713147756407458,FALSE,YHR018C YNL036W
ATP hydrolysis activity,2,83,0.16650933015977906,FALSE,YER017C YMR186W
structural constituent of ribosome,3,179,0.20985534932381772,FALSE,YDL075W YLR312W-A YNL306W
hydrolase activity,7,567,0.23072344845308293,FALSE,YBL015W YBR177C YDL047W YDL125C YER017C YER043C YMR186W
ligase activity,2,103,0.2310427295709983,FALSE,YGL062W YOR317W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,1,52,0.3714814505377806,FALSE,YDL125C
structural molecule activity,3,261,0.4089557237163153,FALSE,YDL075W YLR312W-A YNL306W
unfolded protein binding,1,67,0.45079618808255284,FALSE,YMR186W
kinase activity,2,182,0.4828603009557648,FALSE,YDR147W YJR105W
acyltransferase activity,2,185,0.49157587957708604,FALSE,YBR177C YCR005C
cytoskeletal protein binding,1,77,0.4981489723549307,FALSE,YDR129C
methyltransferase activity,1,81,0.5159521367017081,FALSE,YJR073C
peptidase activity,1,85,0.5331379106411305,FALSE,YER017C
enzyme binding,1,86,0.5373403535639758,FALSE,YJL151C
DNA binding,3,324,0.5541473965774921,FALSE,YBR066C YDR034C YFL021W
glycosyltransferase activity,1,92,0.5617899454125571,FALSE,YEL040W
phosphatase activity,1,96,0.5773836845474931,FALSE,YDL047W
DNA-binding transcription factor activity,1,106,0.6140349749368139,FALSE,YFL021W
protein-macromolecule adaptor activity,1,116,0.6475752916240219,FALSE,YDR129C
lipid binding,1,117,0.650768351560846,FALSE,YHL020C
oxidoreductase activity,1,270,0.9152252536389379,FALSE,YOL059W
