term,group_count,overall_count,exact_pval,sig,genes
transferase activity,15,719,0.002329824674309141,FALSE,YBR177C YDR147W YDR502C YEL040W YER026C YER091C YGR157W YHR123W YJL167W YJR073C YJR105W YKL182W YLR133W YNL129W YNL130C
ligase activity,5,103,0.0029405712572426507,FALSE,YGL062W YJR103W YLR153C YNR016C YOR317W
lyase activity,4,80,0.007104330035639712,FALSE,YHR018C YIR032C YKL182W YNL169C
DNA-binding transcription factor activity,4,106,0.018595646998661865,FALSE,YFL021W YMR070W YOL108C YOR344C
methyltransferase activity,3,81,0.042792863809590756,FALSE,YER091C YGR157W YJR073C
transferase activity, transferring alkyl or aryl (other than methyl) groups,2,40,0.056571086495034194,FALSE,YDR502C YJL167W
DNA binding,6,324,0.09001828775674789,FALSE,YBR066C YDR034C YFL021W YMR070W YOL108C YOR344C
kinase activity,4,182,0.09773159692127634,FALSE,YDR147W YJR105W YLR133W YNL129W
isomerase activity,2,56,0.1014549174046242,FALSE,YJL153C YJL167W
ion binding,7,576,0.32073027408450056,FALSE,YBR066C YDR034C YER091C YFL021W YGL062W YHL020C YMR070W
transcription factor binding,1,67,0.4807171998412677,FALSE,YMR070W
unfolded protein binding,1,67,0.4807171998412677,FALSE,YMR186W
transmembrane transporter activity,3,278,0.5093104753165574,FALSE,YDR497C YGL077C YOR273C
cytoskeletal protein binding,1,77,0.5294730246637549,FALSE,YDR129C
acyltransferase activity,2,185,0.5394915752278207,FALSE,YBR177C YKL182W
ATP hydrolysis activity,1,83,0.556544856225999,FALSE,YMR186W
enzyme binding,1,86,0.5695030248140234,FALSE,YJR074W
glycosyltransferase activity,1,92,0.5943172766754794,FALSE,YEL040W
protein-macromolecule adaptor activity,1,116,0.6803128240460294,FALSE,YDR129C
lipid binding,1,117,0.6834787105335633,FALSE,YHL020C
enzyme regulator activity,2,249,0.7026491998653335,FALSE,YGR280C YIL119C
oxidoreductase activity,1,270,0.9326914195986167,FALSE,YKL182W
hydrolase activity,2,567,0.9792363673750643,FALSE,YBR177C YMR186W
