term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,6,270,5.580359590253745e-4,TRUE,YER073W YGL125W YKL029C YLR355C YNL241C YOR375C
lyase activity,2,80,0.04196380948790376,FALSE,YGL009C YJR016C
transferase activity,5,719,0.1629574834181974,FALSE,YHR208W YMR108W YMR291W YNL071W YNL104C
acyltransferase activity,2,185,0.17539045581875437,FALSE,YNL071W YNL104C
ligase activity,1,103,0.3489015070505801,FALSE,YPL160W
DNA-binding transcription factor activity,1,106,0.3570776166199887,FALSE,YMR037C
DNA binding,2,324,0.3890368107491786,FALSE,YLR355C YMR037C
ion binding,3,576,0.42869453837301863,FALSE,YMR037C YMR108W YNL104C
kinase activity,1,182,0.5344609030182919,FALSE,YMR291W
mRNA binding,1,189,0.5482187178388498,FALSE,YPL160W
transmembrane transporter activity,1,278,0.6927011115253665,FALSE,YKL120W
RNA binding,1,365,0.7906961040375261,FALSE,YPL160W
