term,group_count,overall_count,exact_pval,sig,genes
DNA binding,3,324,0.03243179305662691,FALSE,YBL003C YKL185W YLR103C
guanyl-nucleotide exchange factor activity,1,45,0.09732243623447256,FALSE,YAL003W
enzyme regulator activity,2,249,0.1059879483092871,FALSE,YAL003W YER094C
unfolded protein binding,1,67,0.14169531947916192,FALSE,YHR142W
nuclease activity,1,76,0.1592690993246214,FALSE,YDR263C
methyltransferase activity,1,81,0.16889034699652672,FALSE,YOR074C
DNA-binding transcription factor activity,1,106,0.21551227821785945,FALSE,YKL185W
chromatin binding,1,110,0.22274707831074825,FALSE,YLR103C
kinase activity,1,182,0.343025446048682,FALSE,YDL101C
ion binding,2,576,0.381078021909249,FALSE,YKL185W YMR214W
oxidoreductase activity,1,270,0.4669513098059733,FALSE,YGR180C
transferase activity,2,719,0.49999179394850335,FALSE,YDL101C YOR074C
hydrolase activity,1,567,0.7447411604721116,FALSE,YDR263C
