term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,8,270,8.907975524521441e-6,TRUE,YDL022W YDR453C YGR088W YJL052W YML028W YMR169C YOR120W YOR374W
unfolded protein binding,3,67,0.0027889618213871184,FALSE,YBR072W YER103W YML028W
glycosyltransferase activity,3,92,0.006820716973868314,FALSE,YFR015C YPR160W YPR184W
lyase activity,2,80,0.04589568936938378,FALSE,YDR533C YML004C
phosphatase activity,2,96,0.06356290514125701,FALSE,YDR074W YER062C
hydrolase activity, acting on glycosyl bonds,1,39,0.1558952511570817,FALSE,YPR184W
mRNA binding,2,189,0.19558856248475198,FALSE,YBR072W YOR120W
transferase activity,4,719,0.3783413392611443,FALSE,YFR015C YJL196C YPR160W YPR184W
hydrolase activity,3,567,0.45065445546428484,FALSE,YDR074W YER062C YPR184W
RNA binding,2,365,0.4752516701294901,FALSE,YBR072W YOR120W
acyltransferase activity,1,185,0.5579650504406755,FALSE,YJL196C
enzyme regulator activity,1,249,0.6692323349578023,FALSE,YML028W
ion binding,1,576,0.9296194026026557,FALSE,YML004C
