term,group_count,overall_count,exact_pval,sig,genes
unfolded protein binding,2,67,0.045801135367148325,FALSE,YAL005C YNL077W
lyase activity,2,80,0.06287220469829545,FALSE,YDR380W YNL036W
DNA-binding transcription factor activity,2,106,0.10218836746487142,FALSE,YDR259C YPR065W
structural molecule activity,3,261,0.14796119414522307,FALSE,YBR067C YKL096W-A YNL178W
DNA binding,3,324,0.23053159305906712,FALSE,YDR259C YPL177C YPR065W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,1,52,0.23623040728230082,FALSE,YPL111W
transcription factor binding,1,67,0.2937381980055729,FALSE,YPL177C
hydrolase activity,4,567,0.3326357678894677,FALSE,YAL005C YBR067C YJR019C YPL111W
ion binding,4,576,0.34367917406676807,FALSE,YNL036W YNL077W YPL111W YPL135W
ATP hydrolysis activity,1,83,0.3504913914296861,FALSE,YAL005C
oxidoreductase activity,2,270,0.4083561806470316,FALSE,YLR056W YLR109W
ligase activity,1,103,0.415295008325426,FALSE,YOR303W
transmembrane transporter activity,2,278,0.42304436091553754,FALSE,YCL025C YPL265W
protein-macromolecule adaptor activity,1,116,0.45403817172118277,FALSE,YDR259C
structural constituent of ribosome,1,179,0.609426944093506,FALSE,YNL178W
kinase activity,1,182,0.6156501063583129,FALSE,YLL019C
enzyme regulator activity,1,249,0.7322305463529462,FALSE,YPL111W
RNA binding,1,365,0.8585784194663472,FALSE,YAL005C
transferase activity,1,719,0.9818936100952266,FALSE,YLL019C
