term,group_count,overall_count,exact_pval,sig,genes
unfolded protein binding,7,67,3.450080454116917e-5,TRUE,YBL075C YBR072W YDR171W YER103W YFL016C YLL026W YPL240C
oxidoreductase activity,10,270,0.003971501224577232,FALSE,YBL064C YDL022W YGR088W YHR104W YKL085W YKR080W YML054C YMR189W YMR315W YOR374W
ATP hydrolysis activity,4,83,0.02820392182599205,FALSE,YBL075C YDR258C YLL026W YPL240C
phosphatase activity,3,96,0.15025752363007538,FALSE,YDR074W YER062C YML100W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.16415628730231724,FALSE,YGL037C YMR120C
hydrolase activity,11,567,0.16445297825526095,FALSE,YBL075C YDR001C YDR074W YDR258C YER062C YGL037C YLL026W YML100W YMR120C YPL123C YPL240C
kinase activity,4,182,0.24984647099793306,FALSE,YCL040W YFR053C YIL107C YJL164C
mRNA binding,4,189,0.2716052990103572,FALSE,YBR072W YHR104W YKL085W YOR027W
enzyme binding,2,86,0.3395953564590093,FALSE,YDL130W-A YOR018W
hydrolase activity, acting on glycosyl bonds,1,39,0.4239024130385616,FALSE,YDR001C
ubiquitin-like protein binding,1,43,0.4557212691904674,FALSE,YGR048W
enzyme regulator activity,4,249,0.46348021441136267,FALSE,YML100W YMR174C YNL006W YNL015W
lipid binding,2,117,0.4907064270372651,FALSE,YFL014W YMR175W
nuclease activity,1,76,0.6600111771962097,FALSE,YPL123C
lyase activity,1,80,0.6789314565687812,FALSE,YGL184C
methyltransferase activity,1,81,0.6834970485707308,FALSE,YNL063W
transferase activity,9,719,0.6955002788572056,FALSE,YCL040W YFR053C YHR137W YIL107C YJL164C YML100W YMR120C YNL063W YNL277W
glycosyltransferase activity,1,92,0.7296843249299231,FALSE,YML100W
RNA binding,4,365,0.7627909027395292,FALSE,YBR072W YHR104W YKL085W YOR027W
ligase activity,1,103,0.7692161538128787,FALSE,YOR317W
DNA-binding transcription factor activity,1,106,0.7789703065260747,FALSE,YFL031W
acyltransferase activity,1,185,0.9298159005158899,FALSE,YNL277W
transmembrane transporter activity,1,278,0.9822680165455746,FALSE,YHR096C
ion binding,3,576,0.9906953183382641,FALSE,YFL016C YGL037C YLL026W
