term,group_count,overall_count,exact_pval,sig,genes
phosphatase activity,4,96,0.00631551080734488,FALSE,YDR074W YGR203W YIL053W YML100W
hydrolase activity,10,567,0.00988435359785858,FALSE,YDR001C YDR074W YGL126W YGR203W YIL053W YLL024C YLL026W YML100W YMR173W YOR084W
transcription factor binding,3,67,0.014976504346319088,FALSE,YKR062W YLR055C YPL016W
ATP hydrolysis activity,3,83,0.026375419445341906,FALSE,YLL024C YLL026W YMR173W
enzyme regulator activity,5,249,0.042791986641786066,FALSE,YBR135W YDR382W YIL119C YML100W YOR173W
lipid binding,3,117,0.06236462344698932,FALSE,YFL014W YJL079C YPL004C
unfolded protein binding,2,67,0.09585660517504957,FALSE,YLL024C YLL026W
oxidoreductase activity,4,270,0.15788483203048392,FALSE,YBL064C YGR209C YKL029C YNL241C
glycosyltransferase activity,2,92,0.1611269783138706,FALSE,YDR354W YML100W
DNA-binding transcription factor activity,2,106,0.20055187765846685,FALSE,YFL031W YMR037C
hydrolase activity, acting on glycosyl bonds,1,39,0.264509158597767,FALSE,YDR001C
histone binding,1,40,0.2703040273461157,FALSE,YBR135W
ubiquitin-like protein binding,1,43,0.2874231694263729,FALSE,YBR135W
isomerase activity,1,56,0.3571948389194002,FALSE,YGL063W
GTPase activity,1,59,0.3723252843283066,FALSE,YMR173W
structural constituent of ribosome,2,179,0.4110044430573774,FALSE,YDR382W YOR369C
acyltransferase activity,2,185,0.4275089022634805,FALSE,YMR296C YOL076W
DNA binding,3,324,0.4698675711746352,FALSE,YHL025W YKR062W YMR037C
ion binding,5,576,0.47526463025100774,FALSE,YJL079C YLL024C YLL026W YMR037C YPL016W
enzyme binding,1,86,0.49378013149786226,FALSE,YKR062W
transferase activity,6,719,0.5012368918940777,FALSE,YAL038W YDR354W YGR203W YML100W YMR296C YOL076W
structural molecule activity,2,261,0.6134644311821184,FALSE,YDR382W YOR369C
transmembrane transporter activity,1,278,0.8941969157839342,FALSE,YLL055W
RNA binding,1,365,0.9490695803354101,FALSE,YLL024C
