term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,7,270,0.002663011024883071,FALSE,YDR256C YGL205W YKL085W YKR009C YMR272C YNL009W YOL126C
lyase activity,3,80,0.019256387921779073,FALSE,YER065C YKR009C YKR097W
DNA-binding transcription factor activity,3,106,0.039840804974453733,FALSE,YHL027W YML007W YOR363C
acyltransferase activity,4,185,0.04243156142292915,FALSE,YAR035W YIL160C YNL117W YPL095C
transmembrane transporter activity,5,278,0.04696311191295528,FALSE,YCR010C YDR384C YOR100C YOR153W YOR348C
protein-macromolecule adaptor activity,3,116,0.049866412114423546,FALSE,YDL110C YDR244W YOL111C
isomerase activity,1,56,0.3342883287070897,FALSE,YJL153C
mRNA binding,2,189,0.3974693873515779,FALSE,YIL160C YKL085W
peptidase activity,1,85,0.4617800312401418,FALSE,YEL060C
ligase activity,1,103,0.5286207742668787,FALSE,YER015W
structural molecule activity,2,261,0.5681700240553228,FALSE,YKL096W-A YML063W
hydrolase activity,4,567,0.5964398776309969,FALSE,YEL060C YJR019C YOR084W YPL095C
transferase activity,5,719,0.6073047288251697,FALSE,YAR035W YDR072C YIL160C YNL117W YPL095C
structural constituent of ribosome,1,179,0.7322183735447927,FALSE,YML063W
RNA binding,2,365,0.7510460675834645,FALSE,YIL160C YKL085W
DNA binding,1,324,0.9113006382958407,FALSE,YOR363C
ion binding,2,576,0.9316411707287989,FALSE,YHL027W YOR363C
