term,group_count,overall_count,exact_pval,sig,genes
DNA-binding transcription factor activity,3,106,0.022241196019881074,FALSE,YDR207C YHL027W YOR363C
protein-macromolecule adaptor activity,3,116,0.028125492316883736,FALSE,YDL110C YDR244W YOL111C
transcription factor binding,2,67,0.05621567991908195,FALSE,YDL070W YDR207C
transmembrane transporter activity,4,278,0.07276126468966479,FALSE,YKR093W YOR273C YOR348C YPR128C
oxidoreductase activity,3,270,0.2014673461458491,FALSE,YBR159W YMR272C YOL126C
histone binding,1,40,0.20702062758959305,FALSE,YDL070W
isomerase activity,1,56,0.27767639384832676,FALSE,YJL153C
DNA binding,3,324,0.2857519696366446,FALSE,YDL070W YDR207C YOR363C
acyltransferase activity,2,185,0.28882385550862877,FALSE,YJL196C YPL095C
peptidase activity,1,85,0.39056843926824336,FALSE,YEL060C
hydrolase activity,4,567,0.41606410717565323,FALSE,YEL060C YJR019C YOR084W YPL095C
ligase activity,1,103,0.4518651217079126,FALSE,YER015W
ion binding,3,576,0.6616069287067176,FALSE,YDR207C YHL027W YOR363C
enzyme regulator activity,1,249,0.7714988583688971,FALSE,YKL201C
transferase activity,3,719,0.8057773873109765,FALSE,YDR072C YJL196C YPL095C
