term,group_count,overall_count,exact_pval,sig,genes
structural constituent of ribosome,4,179,0.0029079875484419333,FALSE,YDL061C YER131W YFR032C-A YOR063W
structural molecule activity,4,261,0.011111390459692665,FALSE,YDL061C YER131W YFR032C-A YOR063W
DNA-binding transcription factor activity,2,106,0.05177968095967183,FALSE,YKL043W YPL048W
lipid binding,2,117,0.061743605253734776,FALSE,YDR309C YPL048W
hydrolase activity, acting on glycosyl bonds,1,39,0.12815201181903435,FALSE,YGR279C
ion binding,4,576,0.13338694958747288,FALSE,YDL061C YDR309C YER131W YPL048W
guanyl-nucleotide exchange factor activity,1,45,0.14643811149581543,FALSE,YPL048W
oxidoreductase activity,2,270,0.24296922413381672,FALSE,YHR007C YOL126C
enzyme binding,1,86,0.2620619000877602,FALSE,YDR309C
DNA binding,2,324,0.31469000475665476,FALSE,YKL043W YPL048W
RNA binding,2,365,0.36872390541712063,FALSE,YGL031C YGR279C
mRNA binding,1,189,0.49092521957623103,FALSE,YGR279C
enzyme regulator activity,1,249,0.5914857170047911,FALSE,YPL048W
hydrolase activity,1,567,0.8789647043647366,FALSE,YGR279C
transferase activity,1,719,0.9344781440189193,FALSE,YHR208W
