term,group_count,overall_count,exact_pval,sig,genes
phosphatase activity,3,96,0.007674664464662074,FALSE,YBR093C YDR481C YER037W
hydrolase activity,6,567,0.028792527487585148,FALSE,YBR093C YDR481C YER037W YOL155C YOR163W YPL110C
transmembrane transporter activity,3,278,0.1151181932106998,FALSE,YBR296C YCR098C YML123C
hydrolase activity, acting on glycosyl bonds,1,39,0.1558952511570817,FALSE,YOL155C
kinase activity,2,182,0.18454805407716507,FALSE,YDR017C YJL012C
ion binding,4,576,0.23242895651679357,FALSE,YDR481C YJL012C YML123C YPL054W
unfolded protein binding,1,67,0.25323501183895847,FALSE,YJL117W
nuclease activity,1,76,0.28218287249101814,FALSE,YOR163W
enzyme regulator activity,2,249,0.2927463852570825,FALSE,YGR233C YHR136C
glycosyltransferase activity,1,92,0.331026223636701,FALSE,YPL057C
mRNA binding,1,189,0.5658533032020172,FALSE,YER072W
transferase activity,3,719,0.6199990596105761,FALSE,YDR017C YJL012C YPL057C
RNA binding,1,365,0.8064738657116903,FALSE,YER072W
