term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,7,270,1.258858226280764e-4,TRUE,YDL078C YDR256C YGL205W YKR009C YNL009W YNL202W YOL126C
DNA-binding transcription factor activity,3,106,0.01148792053921373,FALSE,YHL027W YMR037C YOR363C
ligase activity,2,103,0.0780516277795776,FALSE,YER015W YLR153C
acyltransferase activity,2,185,0.2032865372908449,FALSE,YIL160C YPL095C
mRNA binding,2,189,0.20997370531668055,FALSE,YDL078C YIL160C
isomerase activity,1,56,0.22540851322277067,FALSE,YOR180C
lyase activity,1,80,0.30635803865090006,FALSE,YKR009C
peptidase activity,1,85,0.32217425176628,FALSE,YEL060C
DNA binding,2,324,0.436596683807126,FALSE,YMR037C YOR363C
hydrolase activity,3,567,0.4823118555560525,FALSE,YEL060C YOR084W YPL095C
ion binding,3,576,0.4933160428586445,FALSE,YHL027W YMR037C YOR363C
RNA binding,2,365,0.5001668936164407,FALSE,YDL078C YIL160C
transferase activity,3,719,0.6525306619631328,FALSE,YDR072C YIL160C YPL095C
transmembrane transporter activity,1,278,0.726978262506786,FALSE,YOR100C
