term,group_count,overall_count,exact_pval,sig,genes
ligase activity,2,103,0.0390170605278612,FALSE,YER015W YOR317W
DNA-binding transcription factor activity,2,106,0.041115461334541865,FALSE,YHL027W YOR363C
oxidoreductase activity,3,270,0.04695163654290753,FALSE,YDL078C YML056C YOL126C
mRNA binding,2,189,0.1133868336339178,FALSE,YDL078C YML056C
structural molecule activity,2,261,0.19093061943867184,FALSE,YJL158C YJL159W
transmembrane transporter activity,2,278,0.2103513175865511,FALSE,YOR273C YPR128C
ATP hydrolysis activity,1,83,0.22791001203129468,FALSE,YJL159W
hydrolase activity,3,567,0.25122009081800556,FALSE,YJL159W YOR084W YPL095C
RNA binding,2,365,0.3122925655434624,FALSE,YDL078C YML056C
acyltransferase activity,1,185,0.44163975851054127,FALSE,YPL095C
ion binding,2,576,0.545488693154323,FALSE,YHL027W YOR363C
DNA binding,1,324,0.6451277525747117,FALSE,YOR363C
transferase activity,2,719,0.6738176313119181,FALSE,YDR072C YPL095C
