term,group_count,overall_count,exact_pval,sig,genes
structural constituent of ribosome,10,179,2.11666337818446e-5,TRUE,YBR191W YDR471W YER117W YGR118W YIL018W YJL177W YLR441C YNL067W YNL096C YPL079W
structural molecule activity,11,261,1.0696861173476623e-4,TRUE,YBR191W YDR471W YER117W YGR118W YIL018W YJL158C YJL177W YLR441C YNL067W YNL096C YPL079W
methyltransferase activity,3,81,0.06030897778431622,FALSE,YER091C YHR070W YJR073C
enzyme regulator activity,5,249,0.14117267558441138,FALSE,YBR036C YGR108W YKL081W YMR116C YPR119W
transmembrane transporter activity,5,278,0.19440206869518137,FALSE,YBR036C YDR135C YER056C YGR055W YGR260W
cytoskeletal protein binding,2,77,0.21047382930194458,FALSE,YMR092C YOR367W
transferase activity,10,719,0.27196241972952195,FALSE,YBL011W YBL082C YDR062W YER091C YGL084C YHR070W YJL088W YJR073C YLR303W YNL154C
DNA-binding transcription factor activity,2,106,0.33025677997509295,FALSE,YBR083W YFR034C
acyltransferase activity,3,185,0.33864285079436396,FALSE,YBL011W YDR062W YGL084C
translation factor activity, RNA binding,1,39,0.35422189743322896,FALSE,YKL081W
transferase activity, transferring alkyl or aryl (other than methyl) groups,1,40,0.36145225562078975,FALSE,YLR303W
guanyl-nucleotide exchange factor activity,1,45,0.3964289903340815,FALSE,YKL081W
isomerase activity,1,56,0.4668918061405022,FALSE,YCR069W
DNA binding,4,324,0.4899972271273261,FALSE,YBL002W YBR083W YFR034C YPL127C
helicase activity,1,62,0.5018548162696541,FALSE,YKL017C
unfolded protein binding,1,67,0.529263236356903,FALSE,YBL075C
lyase activity,1,80,0.5937859135548071,FALSE,YEL046C
ATP hydrolysis activity,1,83,0.6073952452736617,FALSE,YBL075C
glycosyltransferase activity,1,92,0.6455939211670481,FALSE,YBL082C
phosphatase activity,1,96,0.6613769058927075,FALSE,YMR027W
chromatin binding,1,110,0.7113717901898442,FALSE,YOL012C
protein-macromolecule adaptor activity,1,116,0.7305101026064129,FALSE,YOR367W
lipid binding,1,117,0.7335763593403476,FALSE,YER120W
kinase activity,1,182,0.8740320278169256,FALSE,YNL154C
hydrolase activity,2,567,0.9902456521992953,FALSE,YBL075C YMR027W
ion binding,1,576,0.9989395370202889,FALSE,YER091C
