term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,4,270,0.03087309363065356,FALSE,YDR096W YKL029C YLR056W YOL126C
transmembrane transporter activity,4,278,0.03389900816719704,FALSE,YBL030C YDR384C YJR121W YML081C-A
DNA binding,4,324,0.05466905779620878,FALSE,YDR096W YHR081W YJL089W YKL032C
ligase activity,2,103,0.0780516277795776,FALSE,YJR121W YML081C-A
DNA-binding transcription factor activity,2,106,0.08202313678650053,FALSE,YDR096W YJL089W
hydrolase activity,4,567,0.25027736775162224,FALSE,YBR067C YEL060C YJR121W YOR084W
lyase activity,1,80,0.30635803865090006,FALSE,YKR097W
ATP hydrolysis activity,1,83,0.31588952439417073,FALSE,YJR121W
peptidase activity,1,85,0.32217425176628,FALSE,YEL060C
structural molecule activity,2,261,0.33244782613327695,FALSE,YBR067C YDR077W
protein-macromolecule adaptor activity,1,116,0.4128145170260701,FALSE,YOL111C
lipid binding,1,117,0.4155364050634547,FALSE,YNL231C
enzyme regulator activity,1,249,0.6862455860620178,FALSE,YHR081W
ion binding,2,576,0.7538696479537041,FALSE,YDR096W YJL089W
RNA binding,1,365,0.8210652805051696,FALSE,YHR081W
transferase activity,1,719,0.970663581425993,FALSE,YJR148W
