term,group_count,overall_count,exact_pval,sig,genes
acyltransferase activity,4,185,0.0025830928350279005,FALSE,YAR035W YCR005C YER024W YNR001C
ligase activity,3,103,0.004235671405565725,FALSE,YAL054C YGL062W YOR303W
transmembrane transporter activity,3,278,0.05961557319023642,FALSE,YCR010C YDR384C YOR100C
transferase activity,5,719,0.07507735552296453,FALSE,YAR035W YBL015W YCR005C YER024W YNR001C
oxidoreductase activity,2,270,0.22199281828335904,FALSE,YEL071W YMR083W
lyase activity,1,80,0.23346115112182209,FALSE,YLR304C
ion binding,3,576,0.29297271375811057,FALSE,YEL071W YGL062W YMR083W
mRNA binding,1,189,0.4702648945815795,FALSE,YLR304C
DNA binding,1,324,0.6688493552497257,FALSE,YLR304C
RNA binding,1,365,0.7136778164331593,FALSE,YLR304C
hydrolase activity,1,567,0.8629266084018493,FALSE,YBL015W
