term,group_count,overall_count,exact_pval,sig,genes
structural constituent of ribosome,24,179,1.0543398906007797e-19,TRUE,YDL081C YDL130W YDR382W YDR450W YER102W YER131W YGL123W YGL147C YGR118W YGR214W YIL018W YIL133C YJL189W YJL190C YKL156W YLR388W YMR142C YNL162W YNL178W YOL039W YOL040C YOR063W YPL079W YPR132W
structural molecule activity,26,261,4.3152337706490844e-18,TRUE,YBR067C YDL081C YDL130W YDR382W YDR450W YER102W YER131W YGL123W YGL147C YGR118W YGR214W YIL018W YIL133C YJL189W YJL190C YKL156W YLR110C YLR388W YMR142C YNL162W YNL178W YOL039W YOL040C YOR063W YPL079W YPR132W
unfolded protein binding,5,67,0.0013041604315274442,FALSE,YJL034W YLL024C YLL026W YMR186W YNL064C
ATP hydrolysis activity,5,83,0.003372843458485459,FALSE,YBR025C YJL034W YLL024C YLL026W YMR186W
ion binding,15,576,0.003528882641197252,FALSE,YDL182W YDR151C YDR216W YDR309C YER131W YGR211W YKL156W YLL024C YLL026W YLR388W YML123C YNL064C YNL162W YOR108W YPL106C
DNA-binding transcription factor activity,4,106,0.04106163297601678,FALSE,YDL020C YDR216W YEL009C YPR065W
transcription factor binding,3,67,0.04909438658399608,FALSE,YDR216W YEL009C YKL109W
enzyme regulator activity,6,249,0.08510094759759962,FALSE,YAL003W YDL081C YDL130W YDR382W YMR116C YOL039W
DNA binding,5,324,0.37133431595124633,FALSE,YDL020C YDR216W YEL009C YLR355C YPR065W
translation factor activity, RNA binding,1,39,0.3850364055168045,FALSE,YEL034W
rRNA binding,1,44,0.42236346506608613,FALSE,YGL123W
guanyl-nucleotide exchange factor activity,1,45,0.4295569461985136,FALSE,YAL003W
oxidoreductase activity,4,270,0.42963346408191316,FALSE,YGL055W YLR109W YLR355C YNL241C
RNA binding,5,365,0.4736951411555419,FALSE,YDR151C YEL034W YGL123W YIL133C YLL024C
lyase activity,1,80,0.6327091668095676,FALSE,YEL046C
enzyme binding,1,86,0.6595202933965538,FALSE,YDR309C
acyltransferase activity,2,185,0.6729353251786171,FALSE,YDL182W YOR108W
transmembrane transporter activity,3,278,0.676102917548509,FALSE,YLL028W YML123C YNR013C
hydrolase activity,6,567,0.7173156698832104,FALSE,YBR025C YBR067C YJL034W YLL024C YLL026W YMR186W
chromatin binding,1,110,0.7488123125210209,FALSE,YEL009C
lipid binding,1,117,0.770202773448569,FALSE,YDR309C
mRNA binding,1,189,0.9087145979905047,FALSE,YDR151C
transferase activity,2,719,0.9992679408588413,FALSE,YDL182W YOR108W
