term,group_count,overall_count,exact_pval,sig,genes
lyase activity,2,80,0.008934435812158203,FALSE,YER065C YKR097W
phosphatase activity,1,96,0.16442218079748172,FALSE,YLR377C
ligase activity,1,103,0.1754118809176035,FALSE,YAL054C
DNA-binding transcription factor activity,1,106,0.18008228721384867,FALSE,YJL089W
acyltransferase activity,1,185,0.2949102676902101,FALSE,YNL117W
transferase activity,2,719,0.39334548010403136,FALSE,YJR148W YNL117W
transmembrane transporter activity,1,278,0.4116013891114877,FALSE,YJR095W
DNA binding,1,324,0.46270108178409475,FALSE,YJL089W
hydrolase activity,1,567,0.672727976995665,FALSE,YLR377C
ion binding,1,576,0.6788542241945938,FALSE,YJL089W
