term,group_count,overall_count,exact_pval,sig,genes
DNA-binding transcription factor activity,4,106,0.02439115918762146,FALSE,YKL043W YMR070W YMR136W YOR344C
DNA binding,7,324,0.050714155396374416,FALSE,YDL048C YER088C YJR127C YKL032C YKL043W YMR070W YOR344C
oxidoreductase activity,6,270,0.061651551270623696,FALSE,YAL061W YAL062W YER073W YFR033C YGL125W YHR007C
enzyme regulator activity,5,249,0.118220118767745,FALSE,YER094C YFR017C YIL119C YOR107W YOR178C
protein-macromolecule adaptor activity,3,116,0.12124653662613359,FALSE,YER044C YLR312C YOR327C
ion binding,9,576,0.14373139918704667,FALSE,YAL061W YDL048C YDR309C YJR127C YMR070W YMR136W YNL008C YOR052C YPL135W
transcription factor binding,2,67,0.15552200609469435,FALSE,YKL109W YMR070W
transmembrane transporter activity,5,278,0.16491730533890916,FALSE,YBL030C YBR068C YFR033C YHL016C YHR094C
hydrolase activity, acting on glycosyl bonds,1,39,0.33825557015819074,FALSE,YGR279C
lyase activity,1,80,0.5728240567447238,FALSE,YFR055W
acyltransferase activity,2,185,0.5842189719435043,FALSE,YNL008C YOR023C
mRNA binding,2,189,0.5960599471471661,FALSE,YER035W YGR279C
enzyme binding,1,86,0.5994540470575137,FALSE,YDR309C
glycosyltransferase activity,1,92,0.6244544825329256,FALSE,YER055C
chromatin binding,1,110,0.6906284081856557,FALSE,YGL096W
lipid binding,1,117,0.7131490278653758,FALSE,YDR309C
kinase activity,1,182,0.858578539510537,FALSE,YFR053C
transferase activity,5,719,0.892138066279447,FALSE,YBL015W YER055C YFR053C YNL008C YOR023C
RNA binding,2,365,0.905217425011472,FALSE,YER035W YGR279C
structural molecule activity,1,261,0.9409262806547152,FALSE,YLR110C
hydrolase activity,2,567,0.9864899743908122,FALSE,YBL015W YGR279C
