term,group_count,overall_count,exact_pval,sig,genes
hydrolase activity, acting on glycosyl bonds,1,39,0.1761362842997113,FALSE,YPR184W
kinase activity,2,182,0.22610510533406955,FALSE,YDR122W YKL001C
mRNA binding,2,189,0.23902234732239241,FALSE,YOR027W YPL012W
unfolded protein binding,1,67,0.28382003813686096,FALSE,YFL016C
enzyme regulator activity,2,249,0.35025345916108475,FALSE,YLR073C YLR270W
glycosyltransferase activity,1,92,0.36845378154262765,FALSE,YPR184W
oxidoreductase activity,2,270,0.38840676372457716,FALSE,YGR175C YMR110C
transmembrane transporter activity,2,278,0.40272660229947144,FALSE,YGL255W YNL065W
protein-macromolecule adaptor activity,1,116,0.44062614883250406,FALSE,YOL082W
RNA binding,2,365,0.5476577354557364,FALSE,YOR027W YPL012W
ion binding,3,576,0.554100647191446,FALSE,YFL016C YGL255W YOR052C
transferase activity,3,719,0.7114690026698811,FALSE,YDR122W YKL001C YPR184W
hydrolase activity,2,567,0.788251449373279,FALSE,YLR270W YPR184W
