term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,13,270,8.572718797634766e-5,TRUE,YDR158W YJR048W YKL216W YMR145C YMR272C YMR315W YMR318C YNL274C YOL126C YOR120W YOR374W YOR375C YPL061W
lyase activity,5,80,0.005268689607864259,FALSE,YGL196W YGR254W YHR112C YHR174W YLR044C
transmembrane transporter activity,10,278,0.005435831072735259,FALSE,YBL042C YBR069C YDR011W YDR384C YJR095W YKL064W YKL120W YML081C-A YNL055C YOR153W
DNA-binding transcription factor activity,3,106,0.19005779368737716,FALSE,YDR216W YGL209W YHR178W
DNA binding,6,324,0.3116542029468637,FALSE,YDR216W YEL055C YGL209W YHR178W YKL032C YLR375W
translation factor activity, RNA binding,1,39,0.42858906424663334,FALSE,YEL034W
ligase activity,2,103,0.43214662633952394,FALSE,YML081C-A YPR035W
transferase activity, transferring alkyl or aryl (other than methyl) groups,1,40,0.4367639252391653,FALSE,YOL143C
rRNA binding,1,44,0.46832645964726494,FALSE,YEL055C
lipid binding,2,117,0.4984690239316255,FALSE,YJR048W YNL231C
ion binding,8,576,0.5841171694536869,FALSE,YDR216W YGL196W YGL209W YHR178W YJR048W YLR375W YMR318C YPL054W
RNA binding,5,365,0.6004421383342032,FALSE,YEL034W YEL055C YOR078W YOR120W YOR354C
transcription factor binding,1,67,0.6187355992943078,FALSE,YDR216W
unfolded protein binding,1,67,0.6187355992943078,FALSE,YDR231C
transferase activity,9,719,0.712452755713439,FALSE,YAL038W YDR072C YDR232W YFL030W YGR043C YJR148W YNR019W YOL143C YPR074C
acyltransferase activity,2,185,0.7457491663172883,FALSE,YDR232W YNR019W
phosphatase activity,1,96,0.7498875606878885,FALSE,YLR377C
mRNA binding,2,189,0.75646977347429,FALSE,YOR120W YOR354C
structural constituent of ribosome,1,179,0.9262354605491975,FALSE,YOR369C
enzyme regulator activity,1,249,0.9741056579819386,FALSE,YBR050C
structural molecule activity,1,261,0.9783942778961239,FALSE,YOR369C
hydrolase activity,2,567,0.9981528341635597,FALSE,YHR163W YLR377C
