term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,9,270,3.9214508039763884e-4,TRUE,YBR159W YDR158W YGR256W YHR183W YMR272C YMR315W YNL274C YOR120W YOR374W
DNA binding,6,324,0.05782170754413024,FALSE,YDR216W YER177W YGL209W YHR178W YKL032C YLR375W
DNA-binding transcription factor activity,3,106,0.06270889050105784,FALSE,YDR216W YGL209W YHR178W
transmembrane transporter activity,5,278,0.0894354409345564,FALSE,YDL198C YDR011W YDR384C YKL064W YNL055C
transcription factor binding,2,67,0.11342433678934082,FALSE,YDR216W YER177W
mRNA binding,3,189,0.22286810357659123,FALSE,YGR279C YOR120W YOR354C
hydrolase activity, acting on glycosyl bonds,1,39,0.2880140291532165,FALSE,YGR279C
translation factor activity, RNA binding,1,39,0.2880140291532165,FALSE,YEL034W
histone binding,1,40,0.29421419725928455,FALSE,YPR031W
ion binding,6,576,0.380113825008077,FALSE,YDR216W YGL196W YGL209W YHR178W YLR375W YPR031W
RNA binding,4,365,0.38879116077955334,FALSE,YEL034W YGR279C YOR120W YOR354C
transferase activity,7,719,0.4314193186837305,FALSE,YDR072C YDR248C YFL030W YJR148W YKL001C YLR354C YPR074C
unfolded protein binding,1,67,0.4430544133300872,FALSE,YDR231C
kinase activity,2,182,0.47048220650393324,FALSE,YDR248C YKL001C
lyase activity,1,80,0.503316346509326,FALSE,YGL196W
ligase activity,1,103,0.5947179807208287,FALSE,YPR035W
structural constituent of ribosome,1,179,0.79449154753123,FALSE,YOR369C
structural molecule activity,1,261,0.9024612346313106,FALSE,YOR369C
hydrolase activity,2,567,0.9647620405625734,FALSE,YGR279C YHR163W
