term,group_count,overall_count,exact_pval,sig,genes
transcription factor binding,3,67,0.011964506447117457,FALSE,YGL162W YKL109W YLR399C
DNA binding,6,324,0.02635333098296468,FALSE,YBR066C YDR034C YKL043W YKR034W YLR399C YOR344C
DNA-binding transcription factor activity,3,106,0.039840804974453733,FALSE,YKL043W YKR034W YOR344C
enzyme regulator activity,4,249,0.1017958834033032,FALSE,YDL127W YIL119C YMR199W YNL289W
chromatin binding,2,110,0.1871591773267515,FALSE,YGL096W YLR399C
lipid binding,2,117,0.20556536188045893,FALSE,YDR309C YKR031C
histone binding,1,40,0.2518549281847704,FALSE,YLR399C
ubiquitin-like protein binding,1,43,0.2680313047441688,FALSE,YBR082C
transmembrane transporter activity,3,278,0.3237622739496028,FALSE,YDL128W YDR384C YHL016C
GTPase activity,1,59,0.3487299121817574,FALSE,YMR173W
unfolded protein binding,1,67,0.38576889118748103,FALSE,YHR142W
nucleotidyltransferase activity,1,72,0.4078702925265585,FALSE,YDL055C
ATP hydrolysis activity,1,83,0.45380819767141256,FALSE,YMR173W
enzyme binding,1,86,0.46572344738135907,FALSE,YDR309C
protein-macromolecule adaptor activity,1,116,0.5718045955512823,FALSE,YBR082C
oxidoreductase activity,2,270,0.5870637709371928,FALSE,YGR180C YHR007C
ion binding,4,576,0.6095202448876271,FALSE,YBR066C YDR034C YDR309C YKR034W
acyltransferase activity,1,185,0.744010553434649,FALSE,YBR082C
structural molecule activity,1,261,0.8560289747687261,FALSE,YLR110C
transferase activity,3,719,0.9086250827545219,FALSE,YBR082C YDL055C YKL104C
hydrolase activity,2,567,0.927486770295507,FALSE,YKR031C YMR173W
RNA binding,1,365,0.9355173999092425,FALSE,YIR021W
