term,group_count,overall_count,exact_pval,sig,genes
enzyme regulator activity,8,249,0.00399479557184652,FALSE,YDL127W YDR379W YGR233C YIL119C YMR199W YNL289W YOR178C YPL024W
transmembrane transporter activity,8,278,0.0077303930249636365,FALSE,YER145C YGR121C YGR183C YHL016C YHR092C YIR028W YKR039W YMR088C
DNA-binding transcription factor activity,4,106,0.02439115918762146,FALSE,YDR169C YIR018W YKL043W YKR034W
DNA binding,7,324,0.050714155396374416,FALSE,YDL048C YDR034C YDR169C YKL032C YKL043W YKR034W YPL024W
transcription factor binding,2,67,0.15552200609469435,FALSE,YGL162W YIR017C
acyltransferase activity,3,185,0.3069664425841341,FALSE,YIR031C YNL132W YNR019W
lipid binding,2,117,0.3486751468473883,FALSE,YDR309C YKR031C
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,1,52,0.42376935681505057,FALSE,YIR027C
isomerase activity,1,56,0.4478296849280333,FALSE,YLR449W
GTPase activity,1,59,0.4652258441898045,FALSE,YNL180C
RNA binding,4,365,0.5402990556487922,FALSE,YDR365C YGL178W YNL124W YNL132W
lyase activity,1,80,0.5728240567447238,FALSE,YEL021W
ion binding,6,576,0.5734821614388645,FALSE,YDL048C YDR034C YDR309C YDR379W YIR027C YKR034W
kinase activity,2,182,0.5751775951009401,FALSE,YFR053C YPL026C
enzyme binding,1,86,0.5994540470575137,FALSE,YDR309C
glycosyltransferase activity,1,92,0.6244544825329256,FALSE,YJL186W
ligase activity,1,103,0.6663770140183534,FALSE,YOL058W
chromatin binding,1,110,0.6906284081856557,FALSE,YGL096W
protein-macromolecule adaptor activity,1,116,0.7100330748134341,FALSE,YGL178W
transferase activity,6,719,0.7871828708421365,FALSE,YFR053C YIR031C YJL186W YNL132W YNR019W YPL026C
mRNA binding,1,189,0.8690265940325035,FALSE,YGL178W
oxidoreductase activity,1,270,0.9465695723531846,FALSE,YGR183C
hydrolase activity,3,567,0.9472726454345981,FALSE,YIR027C YKR031C YNL180C
