term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,11,270,1.9125271822778598e-5,TRUE,YBR145W YGR192C YIL155C YJL052W YJR009C YMR083W YMR303C YNL241C YOL086C YOR375C YPL061W
lyase activity,4,80,0.005611875378325739,FALSE,YGR254W YHR174W YKL060C YLR044C
DNA binding,6,324,0.06971906403795115,FALSE,YBL003C YKL032C YMR037C YNL239W YPL075W YPL089C
DNA-binding transcription factor activity,3,106,0.0701515818911985,FALSE,YMR037C YPL075W YPL089C
mRNA binding,4,189,0.09011097159699463,FALSE,YFL023W YGR192C YMR205C YNL239W
ion binding,8,576,0.14324870872611953,FALSE,YBR145W YDR276C YKL060C YMR037C YMR083W YMR303C YOL086C YPR024W
peptidase activity,2,85,0.1791003687650122,FALSE,YNL239W YPR024W
phosphatase activity,2,96,0.21543253725991335,FALSE,YDL047W YIL053W
kinase activity,3,182,0.22676384694420865,FALSE,YCL040W YCR012W YMR205C
RNA binding,5,365,0.23267698656850913,FALSE,YER146W YFL023W YGR192C YMR205C YNL239W
isomerase activity,1,56,0.40070981100388514,FALSE,YBR196C
unfolded protein binding,1,67,0.4584319331330755,FALSE,YPL037C
transferase activity,7,719,0.4825240240706338,FALSE,YAL038W YCL040W YCR012W YDR232W YLR438W YMR205C YNL277W
acyltransferase activity,2,185,0.5038453586370375,FALSE,YDR232W YNL277W
hydrolase activity,5,567,0.5958823153103381,FALSE,YBR067C YDL047W YIL053W YNL239W YPR024W
chromatin binding,1,110,0.6363052012486381,FALSE,YJR009C
lipid binding,1,117,0.6592473104459635,FALSE,YDR276C
enzyme regulator activity,1,249,0.9020905301046075,FALSE,YOR178C
structural molecule activity,1,261,0.9127395993754981,FALSE,YBR067C
transmembrane transporter activity,1,278,0.9259118970063378,FALSE,YNL055C
