term,group_count,overall_count,exact_pval,sig,genes
rRNA binding,1,44,0.07862341969547126,FALSE,YDR312W
methyltransferase activity,1,81,0.1404333473717616,FALSE,YMR310C
RNA binding,2,365,0.14260583596139373,FALSE,YDR312W YNL004W
ATP hydrolysis activity,1,83,0.14366682411299148,FALSE,YIL003W
chromatin binding,1,110,0.1862729137514767,FALSE,YNL004W
hydrolase activity,2,567,0.28324667695302674,FALSE,YBR011C YIL003W
structural constituent of ribosome,1,179,0.2867204555000116,FALSE,YCR003W
mRNA binding,1,189,0.30032359984437407,FALSE,YNL004W
structural molecule activity,1,261,0.39165089275129783,FALSE,YCR003W
transmembrane transporter activity,1,278,0.4116013891114877,FALSE,YDR456W
ion binding,1,576,0.6788542241945938,FALSE,YCR003W
transferase activity,1,719,0.7634401506611537,FALSE,YMR310C
