term,group_count,overall_count,exact_pval,sig,genes
ATP hydrolysis activity,6,83,0.0027441162481465454,FALSE,YAL005C YDR258C YIL003W YJL159W YLL024C YLL026W
DNA-binding transcription factor activity,6,106,0.009089125227568967,FALSE,YFL021W YFR034C YGL209W YMR016C YOR344C YPR065W
unfolded protein binding,3,67,0.10583490618287984,FALSE,YAL005C YLL024C YLL026W
enzyme regulator activity,7,249,0.13176269788691114,FALSE,YDR367W YER155C YFR017C YML112W YNL289W YOR173W YPL137C
cytoskeletal protein binding,3,77,0.14366358924728337,FALSE,YBR118W YOR269W YPR171W
lyase activity,3,80,0.15579427436515883,FALSE,YDR047W YEL046C YHR174W
oxidoreductase activity,7,270,0.17691480699811843,FALSE,YAL061W YER073W YFR033C YGL001C YNL240C YOL151W YOR236W
ion binding,12,576,0.2771014321603237,FALSE,YAL061W YBL029C-A YBR118W YCR087C-A YFL021W YGL209W YGR211W YKL091C YLL024C YLL026W YLL027W YPL106C
DNA binding,7,324,0.3165535144698441,FALSE,YDR296W YFL021W YFR034C YGL209W YJR144W YOR344C YPR065W
transmembrane transporter activity,6,278,0.3385497762331799,FALSE,YCL025C YDR011W YFR033C YGR281W YHR175W YOR153W
structural constituent of nuclear pore,1,26,0.3616365670574172,FALSE,YAR002W
structural molecule activity,5,261,0.46323275845190104,FALSE,YAR002W YDR296W YJL158C YJL159W YLR110C
translation factor activity, RNA binding,1,39,0.4904283542859408,FALSE,YBR118W
phosphatase activity,2,96,0.49137345381218567,FALSE,YIL053W YNL010W
hydrolase activity,10,567,0.5099326826705286,FALSE,YAL005C YDR258C YIL003W YIL053W YJL159W YLL001W YLL012W YLL024C YLL026W YNL010W
ligase activity,2,103,0.5291689749480606,FALSE,YLR060W YPR035W
lipid binding,2,117,0.5989746875267412,FALSE,YAR002W YKL091C
RNA binding,6,365,0.6007316334958368,FALSE,YAL005C YER155C YLL024C YLR060W YOR078W YOR236W
isomerase activity,1,56,0.6208346211271243,FALSE,YOR095C
mRNA binding,3,189,0.6330497095926414,FALSE,YER155C YLR060W YOR236W
GTPase activity,1,59,0.6401459066810381,FALSE,YLL001W
enzyme binding,1,86,0.7755289243530068,FALSE,YPL137C
glycosyltransferase activity,1,92,0.7979524158114104,FALSE,YEL036C
kinase activity,2,182,0.8243816786594387,FALSE,YGL253W YKL198C
acyltransferase activity,2,185,0.8313765380108546,FALSE,YLR207W YOL110W
chromatin binding,1,110,0.8527739336294945,FALSE,YHR197W
protein-macromolecule adaptor activity,1,116,0.8675521321161472,FALSE,YPR171W
structural constituent of ribosome,1,179,0.9567377210335435,FALSE,YDR296W
transferase activity,6,719,0.9889740096499708,FALSE,YAL038W YEL036C YGL253W YKL198C YLR207W YOL110W
