term,group_count,overall_count,exact_pval,sig,genes
structural molecule activity,2,261,0.037317982745728354,FALSE,YDR077W YJL159W
DNA binding,2,324,0.055547522763097074,FALSE,YKR095W YPL089C
ATP hydrolysis activity,1,83,0.09820220705789107,FALSE,YJL159W
DNA-binding transcription factor activity,1,106,0.12394481685856074,FALSE,YPL089C
chromatin binding,1,110,0.12835864781364315,FALSE,YKR095W
kinase activity,1,182,0.20469585579869953,FALSE,YHR030C
mRNA binding,1,189,0.21181035227509248,FALSE,YKR095W
RNA binding,1,365,0.37405127000722005,FALSE,YKR095W
hydrolase activity,1,567,0.5249796023193933,FALSE,YJL159W
transferase activity,1,719,0.6173804519699326,FALSE,YHR030C
