term,group_count,overall_count,exact_pval,sig,genes
unfolded protein binding,5,67,0.002286735386394651,FALSE,YAL005C YDL143W YML048W YMR186W YNL156C
guanyl-nucleotide exchange factor activity,3,45,0.024462892737856495,FALSE,YEL022W YOR260W YPL070W
enzyme regulator activity,7,249,0.05791507436928068,FALSE,YDR028C YEL022W YGL195W YKL201C YOR260W YPL014W YPL070W
translation factor activity, RNA binding,2,39,0.10269918195299048,FALSE,YBR118W YOR260W
acyltransferase activity,5,185,0.11577835416080215,FALSE,YFL024C YKL010C YKL196C YMR275C YOR023C
glycosyltransferase activity,3,92,0.1371974997422814,FALSE,YEL036C YGL047W YLR342W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.16415628730231724,FALSE,YOR025W YPL015C
helicase activity,2,62,0.2148803196501878,FALSE,YBL023C YER176W
hydrolase activity,10,567,0.26699280686287363,FALSE,YAL005C YDR287W YDR370C YDR371W YFR010W YHR028C YMR186W YOR025W YOR262W YPL015C
ATP hydrolysis activity,2,83,0.3241289522848665,FALSE,YAL005C YMR186W
peptidase activity,2,85,0.3344503646532764,FALSE,YFR010W YHR028C
transmembrane transporter activity,5,278,0.3490092253758366,FALSE,YDR011W YDR270W YJL094C YOR153W YOR297C
protein transporter activity,1,33,0.372708385363793,FALSE,YOR297C
RNA binding,6,365,0.4040837392443938,FALSE,YAL005C YDL148C YER007C-A YER176W YMR012W YNL251C
hydrolase activity, acting on glycosyl bonds,1,39,0.4239024130385616,FALSE,YDR371W
transferase activity,11,719,0.4270157309643263,FALSE,YCR008W YDL140C YEL036C YFL024C YGL047W YKL010C YKL196C YLR342W YMR275C YOR023C YPL208W
DNA-binding transcription factor activity,2,106,0.43930503552077294,FALSE,YCL055W YIL056W
lipid binding,2,117,0.4907064270372651,FALSE,YDR372C YHR001W
mRNA binding,3,189,0.49692722240970477,FALSE,YER176W YMR012W YNL251C
structural molecule activity,4,261,0.5006182865857502,FALSE,YDR334W YJL002C YLR110C YOR158W
GTPase activity,1,59,0.566573053867565,FALSE,YOR262W
nucleotidyltransferase activity,1,72,0.6399932859973698,FALSE,YDL140C
nuclease activity,1,76,0.6600111771962097,FALSE,YDR370C
cytoskeletal protein binding,1,77,0.664841774762164,FALSE,YBR118W
methyltransferase activity,1,81,0.6834970485707308,FALSE,YPL208W
enzyme binding,1,86,0.7053827780741807,FALSE,YDR372C
ion binding,7,576,0.7120667346932683,FALSE,YBL023C YBR118W YDL140C YDR270W YNL155W YOR025W YPL015C
phosphatase activity,1,96,0.7447767062447292,FALSE,YDR287W
chromatin binding,1,110,0.7913464882530769,FALSE,YBL023C
protein-macromolecule adaptor activity,1,116,0.8086411696120978,FALSE,YKL196C
DNA binding,3,324,0.8415852763843016,FALSE,YBL023C YDL140C YIL056W
oxidoreductase activity,2,270,0.8990099901120898,FALSE,YGL001C YNL240C
structural constituent of ribosome,1,179,0.9233743874047351,FALSE,YOR158W
kinase activity,1,182,0.926664796499663,FALSE,YCR008W
