term,group_count,overall_count,exact_pval,sig,genes
ATP hydrolysis activity,12,83,2.2907271058369187e-5,TRUE,YAL005C YBR025C YDL166C YDR258C YHR169W YIL003W YJL159W YJR121W YLL024C YLL026W YLR295C YPL240C
oxidoreductase activity,20,270,9.397387320775453e-4,TRUE,YBL045C YBL098W YBR010W YCL026C-B YDR297W YER073W YER141W YFR033C YGL001C YHR051W YHR179W YJR048W YKR066C YLL056C YMR189W YNL240C YOL151W YOL152W YOR236W YPR167C
DNA-binding transcription factor activity,8,106,0.029569098760408995,FALSE,YEL009C YFL021W YFR034C YIL056W YMR016C YOR344C YPL202C YPR065W
lyase activity,6,80,0.05739163336345387,FALSE,YEL046C YGR155W YHR174W YMR096W YOL115W YOR128C
rRNA binding,4,44,0.06412739813531984,FALSE,YDR496C YGR103W YHR170W YNL110C
glycosyltransferase activity,6,92,0.09777691497297573,FALSE,YEL036C YEL040W YJR013W YKR061W YLR258W YML115C
unfolded protein binding,4,67,0.20048320204594064,FALSE,YAL005C YLL024C YLL026W YPL240C
transmembrane transporter activity,12,278,0.2544471438050419,FALSE,YBL045C YBR068C YBR069C YDR011W YFR033C YHR051W YJR121W YKR052C YLR220W YLR295C YOR153W YPL274W
hydrolase activity,22,567,0.3198060233195511,FALSE,YAL005C YBR025C YBR177C YBR179C YDL125C YDL166C YDR258C YER078C YGR248W YHR047C YHR169W YIL003W YJL159W YJR121W YLL024C YLL026W YLR107W YLR151C YLR295C YML064C YMR120C YPL240C
chromatin binding,5,110,0.33170997939603125,FALSE,YEL009C YER148W YLR002C YLR113W YMR039C
lipid binding,5,117,0.3803295321542175,FALSE,YAL044C YFL014W YJR048W YLR178C YNL087W
RNA binding,14,365,0.38560892679501657,FALSE,YAL005C YDR496C YGR103W YGR155W YHL038C YHR170W YLL024C YLR222C YLR298C YLR438C-A YNL110C YOL115W YOR091W YOR236W
transcription factor binding,3,67,0.4101973168197043,FALSE,YEL009C YER148W YKL109W
ligase activity,4,103,0.47985648329639596,FALSE,YAR015W YDL141W YJR121W YLR295C
mRNA binding,7,189,0.48264718882964974,FALSE,YDR496C YGR103W YGR155W YLR298C YOL115W YOR091W YOR236W
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,2,52,0.541741096510898,FALSE,YDL125C YMR120C
DNA binding,11,324,0.5733249272782682,FALSE,YBR010W YEL009C YER148W YFL021W YFR034C YIL056W YMR039C YOL116W YOR344C YPL202C YPR065W
protein-macromolecule adaptor activity,4,116,0.574428736649014,FALSE,YDR003W YHR170W YML088W YPR171W
kinase activity,6,182,0.6077093166377541,FALSE,YDL025C YDL166C YGL115W YGL253W YLR113W YOL016C
GTPase activity,2,59,0.6109751160034943,FALSE,YBR179C YML064C
transferase activity,24,719,0.6182242769477978,FALSE,YAL038W YBR177C YDL025C YDL166C YDR459C YEL036C YEL040W YEL053C YGL115W YGL136C YGL253W YJR013W YKR061W YKR067W YLR113W YLR258W YML088W YML115C YMR120C YNL130C YOL016C YOL110W YOL115W YOR184W
acyltransferase activity,6,185,0.623792794140205,FALSE,YBR177C YDR459C YEL053C YKR067W YML088W YOL110W
helicase activity,2,62,0.6381274050870276,FALSE,YHR169W YOL115W
translation factor activity, RNA binding,1,39,0.7476430010237645,FALSE,YBR118W
cytoskeletal protein binding,2,77,0.7520569234849177,FALSE,YBR118W YPR171W
peptidase activity,2,85,0.7992446215139275,FALSE,YER078C YHR047C
enzyme binding,2,86,0.80455149315395,FALSE,YOR018W YOR043W
structural molecule activity,7,261,0.8081776389370079,FALSE,YDR041W YDR077W YGR193C YJL159W YLR110C YLR212C YLR439W
ion binding,15,576,0.9117616052292838,FALSE,YAL044C YBR118W YDL125C YDR459C YFL021W YGR211W YHR047C YJR048W YKR054C YLL024C YLL026W YLR298C YOR091W YPL202C YPR067W
nucleotidyltransferase activity,1,72,0.9219861800560227,FALSE,YOL115W
nuclease activity,1,76,0.9323715441395843,FALSE,YLR107W
enzyme regulator activity,5,249,0.9385619767967817,FALSE,YFR017C YGL115W YLR178C YMR258C YOR173W
methyltransferase activity,1,81,0.9434408843559388,FALSE,YGL136C
structural constituent of ribosome,2,179,0.9874755140474443,FALSE,YDR041W YLR439W
