term,group_count,overall_count,exact_pval,sig,genes
oxidoreductase activity,7,270,0.014105245441592036,FALSE,YER081W YFR033C YJR048W YMR145C YOR065W YOR236W YPR191W
transmembrane transporter activity,7,278,0.016357923544063672,FALSE,YDR011W YER053C YFR033C YOR065W YOR153W YOR273C YPR191W
DNA-binding transcription factor activity,3,106,0.08202381830208506,FALSE,YFL031W YGL209W YOR344C
RNA binding,6,365,0.13778726779030745,FALSE,YAL005C YNL251C YOL041C YOL123W YOR078W YOR236W
ATP hydrolysis activity,2,83,0.1911032877853669,FALSE,YAL005C YDR258C
mRNA binding,3,189,0.2755799430024261,FALSE,YNL251C YOL123W YOR236W
lipid binding,2,117,0.31315650113385374,FALSE,YFL014W YJR048W
translation factor activity, RNA binding,1,39,0.3163676447222631,FALSE,YBR118W
ubiquitin-like protein binding,1,43,0.34263660877196145,FALSE,YOL087C
rRNA binding,1,44,0.34904791389495726,FALSE,YOL041C
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,1,52,0.39818210024370515,FALSE,YBR208C
structural molecule activity,3,261,0.46663155529221445,FALSE,YDR077W YJL158C YLR110C
transcription factor binding,1,67,0.4807171998412677,FALSE,YKL109W
unfolded protein binding,1,67,0.4807171998412677,FALSE,YAL005C
ion binding,6,576,0.49023202377582553,FALSE,YBR037C YBR118W YDR339C YGL209W YJR048W YJR127C
nucleotidyltransferase activity,1,72,0.5056830977982112,FALSE,YDL055C
nuclease activity,1,76,0.5248064773244845,FALSE,YDR339C
cytoskeletal protein binding,1,77,0.5294730246637549,FALSE,YBR118W
lyase activity,1,80,0.5432051831028797,FALSE,YJR016C
DNA binding,3,324,0.6155311782835835,FALSE,YGL209W YJR127C YOR344C
ligase activity,1,103,0.6362258461488767,FALSE,YBR208C
hydrolase activity,4,567,0.8152154067975264,FALSE,YAL005C YBR208C YDR258C YDR339C
kinase activity,1,182,0.8350043278464353,FALSE,YGL253W
transferase activity,3,719,0.9779312612756124,FALSE,YAL038W YDL055C YGL253W
