term,group_count,overall_count,exact_pval,sig,genes
transmembrane transporter activity,5,278,3.360861347173486e-4,TRUE,YBR008C YGR281W YKR093W YLL028W YPL058C
nuclease activity,2,76,0.014386852075624876,FALSE,YBR257W YOR163W
rRNA binding,1,44,0.10346309993355784,FALSE,YBR257W
unfolded protein binding,1,67,0.15354986773620105,FALSE,YFL016C
DNA-binding transcription factor activity,1,106,0.23265424863816608,FALSE,YOR344C
chromatin binding,1,110,0.24037186111549325,FALSE,YIL076W
hydrolase activity,2,567,0.41665823237565147,FALSE,YBR257W YOR163W
oxidoreductase activity,1,270,0.49662006807280235,FALSE,YLL056C
DNA binding,1,324,0.5633104077333991,FALSE,YOR344C
RNA binding,1,365,0.6084241415843246,FALSE,YBR257W
ion binding,1,576,0.7801872287351329,FALSE,YFL016C
