term,group_count,overall_count,exact_pval,sig,genes
monoatomic ion transport,8,71,2.2272110009758854e-13,TRUE,YBR207W YER145C YHL040C YLL051C YMR319C YOR316C YOR382W YOR383C
transport,8,874,1.0564036147884445e-4,TRUE,YBR207W YER145C YHL040C YLL051C YMR319C YOR316C YOR382W YOR383C
transmembrane transport,4,195,6.648086118705502e-4,TRUE,YBR207W YER145C YMR319C YOR316C
protein maturation,2,78,0.012729408810102342,FALSE,YMR319C YNL169C
cellular respiration,1,56,0.11976303264060717,FALSE,YNL169C
organelle assembly,1,76,0.1592690993246214,FALSE,YNL169C
endocytosis,1,82,0.17080254239143078,FALSE,YBR207W
generation of precursor metabolites and energy,1,115,0.23170526304355687,FALSE,YNL169C
intracellular monoatomic ion homeostasis,1,116,0.23348559632911037,FALSE,YOR316C
protein targeting,1,133,0.26318309348825475,FALSE,YKL103C
homeostatic process,1,184,0.3461104877531932,FALSE,YOR316C
proteolysis involved in protein catabolic process,1,186,0.3491823539808808,FALSE,YEL012W
regulation of organelle organization,1,205,0.37771757249592475,FALSE,YNL169C
lipid metabolic process,1,249,0.43948411631192963,FALSE,YNL169C
vesicle-mediated transport,1,317,0.5240458730565961,FALSE,YBR207W
cellular component assembly,1,534,0.7222921302458358,FALSE,YNL169C
catabolic process,1,615,0.7744577789346367,FALSE,YEL012W
biosynthetic process,1,973,0.9144890513391493,FALSE,YNL169C
