term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,15,556,3.3782048502714534e-7,TRUE,YAL054C YBL015W YCR005C YDL078C YDL174C YER024W YER065C YJL153C YKR097W YLR174W YLR377C YMR303C YNL117W YOL126C YOR100C
monocarboxylic acid metabolic process,7,105,3.1024067239283092e-6,TRUE,YAL054C YBL015W YDL078C YDL174C YER065C YNL117W YOR100C
carbohydrate metabolic process,5,106,4.865240666429859e-4,TRUE,YER065C YKR097W YLR377C YNL117W YOL126C
transmembrane transport,5,195,0.007178786903936817,FALSE,YCR010C YDR384C YKL217W YOL126C YPR024W
nucleobase-containing small molecule metabolic process,3,172,0.09508298704596,FALSE,YAL054C YDL078C YMR303C
protein phosphorylation,1,18,0.10893459091954072,FALSE,YJL164C
generation of precursor metabolites and energy,2,115,0.16600481078479798,FALSE,YAL054C YKL148C
peroxisome organization,1,40,0.22654724361486844,FALSE,YOL126C
peptidyl-amino acid modification,1,49,0.27020065273720106,FALSE,YJL164C
regulation of protein modification process,1,52,0.28421458406371036,FALSE,YBR050C
cellular respiration,1,56,0.3024952874136223,FALSE,YKL148C
transport,7,874,0.3186669429931595,FALSE,YCR010C YDR384C YJL164C YJR095W YKL217W YOL126C YPR024W
homeostatic process,2,184,0.32909283327152705,FALSE,YCR010C YDR384C
protein maturation,1,78,0.3952405991637369,FALSE,YPR024W
sulfur compound metabolic process,1,81,0.4069234109535489,FALSE,YAL054C
protein folding,1,91,0.4443098132977722,FALSE,YPR024W
lipid metabolic process,2,249,0.4767530632551912,FALSE,YDL078C YOR100C
cell wall organization or biogenesis,1,114,0.5218469728893669,FALSE,YBR067C
response to chemical,2,281,0.5425532963042835,FALSE,YJL089W YKL109W
protein targeting,1,133,0.5779032573175633,FALSE,YBR230C
biosynthetic process,6,973,0.6092571065916379,FALSE,YAL054C YJL153C YKR097W YLR377C YMR303C YOL126C
nuclear transport,1,156,0.6372868842373021,FALSE,YJL164C
nucleocytoplasmic transport,1,156,0.6372868842373021,FALSE,YJL164C
amino acid metabolic process,1,173,0.6758958365262004,FALSE,YMR303C
proteolysis involved in protein catabolic process,1,186,0.7027056103690552,FALSE,YPR024W
regulation of organelle organization,1,205,0.7380649964671717,FALSE,YJL164C
DNA repair,1,208,0.7432621883925801,FALSE,YJL164C
signal transduction,1,215,0.7550038365343295,FALSE,YJL164C
catabolic process,3,615,0.770874968235764,FALSE,YDL078C YDL174C YMR303C
DNA damage response,1,249,0.8050281944103633,FALSE,YJL164C
cellular nitrogen compound metabolic process,7,1386,0.8246929236147297,FALSE,YAL054C YAR035W YDL078C YER024W YJL164C YML042W YMR303C
DNA metabolic process,1,321,0.8804680347266503,FALSE,YJL164C
response to stress,1,503,0.9665100046863668,FALSE,YJL164C
