term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,61,556,4.854478285455404e-9,TRUE,YAL012W YAL054C YAL060W YAL062W YBL015W YBR039W YBR145W YBR196C YBR222C YBR248C YBR249C YCL040W YCR005C YCR012W YCR037C YDR007W YDR023W YDR502C YDR530C YEL071W YER043C YER052C YER055C YFL018C YFR049W YFR053C YGL062W YGL125W YGR155W YGR193C YGR240C YHR042W YIL074C YIL145C YJL052W YJL167W YJR009C YJR016C YJR121W YKL016C YKL029C YKL060C YKL088W YKL192C YLL018C YLR174W YLR438W YML054C YMR083W YMR217W YMR271C YNL037C YNL239W YNL241C YNL277W YNR001C YOR054C YOR270C YOR317W YOR347C YPL262W
generation of precursor metabolites and energy,21,115,2.909724528684489e-7,TRUE,YAL054C YBL045C YBR145W YBR196C YCL040W YCR012W YEL024W YFR015C YFR033C YFR053C YGL187C YGR240C YHR001W-A YJL052W YJR009C YJR048W YKL060C YKL085W YLR258W YNL241C YOR065W
sulfur compound metabolic process,16,81,2.685124338716779e-6,TRUE,YAL012W YAL054C YDL120W YDR502C YER043C YER052C YGL125W YGR155W YGR193C YHR112C YKL192C YMR301C YNL239W YNL277W YNR001C YOR317W
monocarboxylic acid metabolic process,18,105,5.413298698728926e-6,TRUE,YAL054C YBL015W YBR196C YCL040W YCR012W YEL071W YFL018C YFR053C YGR193C YGR240C YIL145C YJL052W YJR009C YKL029C YKL060C YKL192C YML054C YOR347C
nucleobase-containing small molecule metabolic process,24,172,6.574780259876639e-6,TRUE,YAL054C YBR039W YBR145W YBR196C YCL040W YCR012W YDR530C YER043C YFR053C YGR193C YGR240C YJL052W YJR009C YJR121W YKL016C YKL060C YKL088W YMR083W YMR217W YMR271C YNL241C YNR001C YOR054C YOR317W
biosynthetic process,78,973,2.373286879945871e-5,TRUE,YAL001C YAL003W YAL005C YAL012W YAL043C YAL054C YAL060W YAL062W YBL068W YBR039W YBR049C YBR089C-A YBR145W YBR196C YBR248C YBR249C YCR012W YCR093W YDL074C YDR007W YDR041W YDR072C YDR115W YDR208W YDR382W YDR502C YEL071W YER043C YER052C YER055C YER177W YFL018C YFL023W YFR015C YFR019W YGL062W YGL125W YGR032W YGR046W YGR155W YGR193C YHL004W YHL038C YHR042W YHR133C YIL074C YIL145C YJL052W YJL100W YJL167W YJR009C YJR016C YJR113C YJR121W YKL016C YKL056C YKL060C YKL088W YKL192C YLR048W YLR150W YLR249W YLR258W YLR448W YMR083W YMR193W YMR217W YMR271C YNL037C YNL096C YNL231C YNL277W YOL005C YOR054C YOR245C YPL221W YPR023C YPR102C
amino acid metabolic process,22,173,6.974209304277925e-5,TRUE,YAL012W YAL062W YBR145W YBR248C YDR007W YDR023W YDR502C YER043C YER052C YER055C YFL018C YGL125W YGR155W YIL074C YJR016C YKL029C YLL018C YLR438W YMR083W YNL037C YNL239W YNL277W
carbohydrate metabolic process,13,106,0.0029754958688622325,FALSE,YBR145W YBR196C YCL040W YCR012W YFR015C YFR053C YGL062W YGR032W YGR240C YJL052W YJR009C YKL060C YLR258W
cellular respiration,8,56,0.007491077163486985,FALSE,YBL045C YEL024W YFR033C YGL187C YHR001W-A YJR048W YKL085W YOR065W
tRNA processing,11,104,0.01777803605732247,FALSE,YAL043C YDL051W YDL112W YDR267C YGR024C YGR200C YLR384C YLR401C YLR405W YNL221C YPL204W
