term,group_count,overall_count,exact_pval,sig,genes
small molecule metabolic process,77,556,1.4026580374983834e-14,TRUE,YAL012W YAL038W YAL060W YAL062W YBL015W YBL036C YBR039W YBR145W YBR196C YBR222C YBR248C YBR249C YCL040W YCR005C YCR012W YDR007W YDR017C YDR023W YDR368W YDR481C YDR502C YDR530C YEL046C YEL071W YER052C YER055C YER062C YER072W YER091C YFL004W YFL018C YFR049W YFR053C YGL062W YGL125W YGR087C YGR155W YIL074C YIR034C YJL012C YJL060W YJL167W YJR009C YJR010W YJR121W YJR137C YJR139C YKL001C YKL016C YKL029C YKL088W YKR072C YLR174W YLR303W YLR354C YLR410W YML054C YML123C YMR083W YMR217W YMR271C YNL037C YNL220W YNL239W YNL241C YNL277W YNR001C YNR013C YNR033W YOL064C YOR025W YOR054C YOR163W YOR184W YOR270C YOR317W YPL262W
sulfur compound metabolic process,22,81,3.087028542730912e-10,TRUE,YAL012W YBR213W YDL120W YDR502C YER052C YER091C YFR030W YGL125W YGR155W YHR112C YJR010W YJR137C YJR139C YKL001C YLR303W YMR301C YNL239W YNL277W YNR001C YOL064C YOR317W YPR167C
amino acid metabolic process,27,173,1.0883867414258995e-6,TRUE,YAL012W YAL062W YBR145W YBR248C YDR007W YDR023W YDR502C YEL046C YER052C YER055C YER091C YFL018C YGL125W YGR087C YGR155W YIL074C YIR034C YJR139C YKL029C YLR303W YMR083W YNL037C YNL239W YNL277W YNR033W YOL064C YOR184W
nucleobase-containing small molecule metabolic process,25,172,1.0239193194238893e-5,TRUE,YAL038W YBR039W YBR145W YBR196C YCL040W YCR012W YDR481C YDR530C YFR053C YJR009C YJR121W YKL016C YKL088W YKR072C YLR354C YMR083W YMR217W YMR271C YNL220W YNL241C YNR001C YOR054C YOR163W YOR184W YOR317W
biosynthetic process,81,973,1.3674126078229887e-4,TRUE,YAL001C YAL003W YAL012W YAL060W YAL062W YBL068W YBR039W YBR089C-A YBR145W YBR196C YBR213W YBR248C YBR249C YCR012W YCR093W YDL052C YDL059C YDR007W YDR017C YDR041W YDR072C YDR208W YDR382W YDR502C YEL046C YEL071W YER019W YER052C YER055C YER062C YER072W YER091C YER099C YER177W YFL018C YFR019W YGL062W YGL125W YGR032W YGR046W YGR087C YGR155W YHR133C YIL074C YIR034C YJL012C YJL060W YJL100W YJL101C YJL167W YJR009C YJR121W YJR137C YJR139C YKL016C YKL056C YKL088W YKR069W YKR072C YLR048W YLR150W YLR249W YLR258W YLR303W YLR410W YLR448W YMR083W YMR217W YMR271C YNL037C YNL096C YNL220W YNL277W YNR033W YOL064C YOR025W YOR054C YOR184W YPL190C YPR023C YPR102C
generation of precursor metabolites and energy,16,115,6.799629126541067e-4,TRUE,YAL038W YBR145W YBR196C YCL040W YCR012W YEL024W YFR033C YFR053C YGL187C YHR001W-A YJR009C YKL085W YLR258W YLR354C YNL241C YOR065W
monocarboxylic acid metabolic process,14,105,0.00220058324744196,FALSE,YAL038W YBL015W YBR196C YCL040W YCR012W YEL071W YFL018C YFR053C YJL060W YJR009C YKL029C YML054C YNR033W YOR025W
carbohydrate metabolic process,13,106,0.006467761444648757,FALSE,YAL038W YBR145W YBR196C YCL040W YCR012W YDR368W YER062C YFR053C YGL062W YGR032W YJR009C YLR258W YLR300W
catabolic process,49,615,0.00826005545602584,FALSE,YAL038W YBR082C YBR133C YBR145W YBR196C YBR222C YCL040W YCR012W YCR093W YDL095W YDL097C YDL113C YDL160C YDR054C YDR368W YDR481C YDR530C YEL046C YER019W YER021W YER072W YER094C YFL004W YFL009W YFL018C YFL038C YFR053C YGL115W YGR087C YGR223C YHR001W YIL046W YJL012C YJL151C YJR009C YKR068C YMR083W YMR197C YNL064C YNL223W YNL232W YNL239W YNR001C YOL064C YOR163W YPL190C YPL206C YPL250C YPR103W
response to oxidative stress,10,78,0.011909150267690844,FALSE,YCL035C YDR368W YDR513W YJL101C YJR138W YLR109W YML007W YNL036W YNL080C YNL241C
nucleobase-containing compound catabolic process,16,165,0.023889353178065828,FALSE,YAL038W YBR196C YCL040W YCR012W YCR093W YDL160C YDR481C YDR530C YFL038C YFR053C YJR009C YNL232W YNR001C YOL064C YOR163W YPL190C
response to chemical,24,281,0.027734379586364644,FALSE,YCL035C YCR093W YDL095W YDR169C YDR207C YDR213W YDR368W YDR513W YGL035C YGL252C YIL046W YJL101C YJR138W YKR034W YLR109W YML007W YNL036W YNL064C YNL080C YNL239W YNL241C YOR153W YOR270C YPL026C
growth,10,89,0.027931786798147618,FALSE,YBL085W YCR093W YDL159W YDL160C YDR207C YEL071W YER114C YER124C YER177W YPL026C
pseudohyphal growth,6,48,0.05185813939355631,FALSE,YCR093W YDL159W YDL160C YDR207C YER177W YPL026C
vacuolar transport,8,79,0.07686603245403766,FALSE,YER072W YFL004W YHR001W YJL012C YJR001W YLR170C YMR197C YOL100W
cellular respiration,6,56,0.0948563800697264,FALSE,YEL024W YFR033C YGL187C YHR001W-A YKL085W YOR065W
transmembrane transport,15,195,0.13949260182144843,FALSE,YCL040W YCR011C YFR053C YHL036W YIR034C YJL143W YJR001W YML123C YMR301C YNL065W YNR013C YOR153W YOR316C YPL094C YPR024W
amino acid transport,4,40,0.18823262644680377,FALSE,YHL036W YIL088C YJR001W YNL065W
response to osmotic stress,5,54,0.18857919921328947,FALSE,YER062C YKR072C YOL064C YOR270C YPL152W
organelle fusion,6,71,0.21217910503406465,FALSE,YBL085W YER072W YER114C YFL004W YJL012C YMR197C
carbohydrate transport,2,16,0.2281725848073336,FALSE,YCL040W YFR053C
ribosome biogenesis,2,16,0.2281725848073336,FALSE,YMR131C YNL096C
protein glycosylation,5,58,0.22959201601627313,FALSE,YDL095W YGR199W YJL186W YNL080C YPL053C
anatomical structure formation involved in morphogenesis,6,73,0.23068825680984592,FALSE,YDR208W YDR512C YER177W YGR032W YKR031C YML052W
translational elongation,3,31,0.25483931368685336,FALSE,YAL003W YLR150W YLR249W
protein phosphorylation,2,18,0.2710459113473802,FALSE,YJR059W YPL026C
regulation of organelle organization,14,205,0.27226803006348743,FALSE,YAL003W YCR088W YCR093W YDL160C YDR254W YDR309C YER019W YGR113W YIL033C YIL118W YJR138W YMR308C YOL100W YPL236C
vacuole organization,5,63,0.28399493210127713,FALSE,YER072W YFL004W YJL012C YMR197C YPL250C
anatomical structure development,3,33,0.2861373149649609,FALSE,YDR512C YER177W YML052W
membrane fusion,3,34,0.30190871311517053,FALSE,YBL085W YER114C YMR197C
lipid metabolic process,16,249,0.338115543849892,FALSE,YDL052C YDR072C YDR208W YDR503C YER019W YFR019W YGR046W YHR001W YHR133C YJL100W YJL167W YKR031C YNL094W YOR025W YOR317W YPL206C
meiotic cell cycle,2,22,0.3560927403336691,FALSE,YFL009W YGR230W
tRNA processing,7,104,0.3750977601365464,FALSE,YDL051W YDL112W YGR200C YLR384C YLR401C YLR405W YPL190C
response to stress,30,503,0.42006411031559593,FALSE,YCL035C YCR092C YDL059C YDL095W YDL159W YDR213W YDR368W YDR513W YER062C YER177W YFL024C YFL031W YHR099W YJL101C YJR138W YKR072C YLR109W YML007W YNL036W YNL064C YNL080C YNL241C YOL034W YOL064C YOL100W YOR023C YOR025W YOR270C YPL152W YPR023C
cytoplasmic translation,6,96,0.46282960445391086,FALSE,YDR382W YKL056C YLR048W YLR448W YNL096C YPR102C
vesicle organization,4,63,0.48168868553873334,FALSE,YBL085W YER114C YFL038C YMR197C
RNA modification,6,98,0.4830108885601595,FALSE,YDL112W YGR200C YHR089C YLR384C YLR401C YLR405W
sporulation,3,46,0.48736741052154287,FALSE,YDR512C YER177W YML052W
proteolysis involved in protein catabolic process,11,186,0.48760157056368414,FALSE,YBR082C YDL095W YDL097C YDR054C YER021W YER094C YFL009W YIL046W YNL064C YPR024W YPR103W
regulation of transport,5,82,0.49903201432457667,FALSE,YER107C YIL118W YNR013C YPL026C YPR115W
cell morphogenesis,1,12,0.5031658824458345,FALSE,YKR031C
regulation of cell cycle,12,209,0.5258757786811172,FALSE,YBR133C YBR135W YCR093W YDR253C YDR254W YDR309C YER019W YER177W YGR113W YGR155W YKR072C YMR308C
cell cycle,2,31,0.5306286856881801,FALSE,YFL009W YGR230W
tRNA metabolic process,10,179,0.5665797970931439,FALSE,YDL051W YDL112W YDR023W YGR200C YLR384C YLR401C YLR405W YNL232W YOL064C YPL190C
cytoskeleton organization,7,127,0.5857977377340524,FALSE,YCR088W YDR309C YDR379W YER107C YFL037W YIL118W YPL152W
translational initiation,2,36,0.6128294528715625,FALSE,YDL083C YKL139W
endosomal transport,4,75,0.6211999117438937,FALSE,YDL113C YFL038C YJL151C YOL100W
organelle assembly,4,76,0.6317185609803846,FALSE,YDL160C YDR254W YFL037W YPL250C
cell wall organization or biogenesis,6,114,0.6330807503616265,FALSE,YBL068W YER099C YGR032W YJL158C YLR300W YPL053C
protein targeting,7,133,0.6351470246259363,FALSE,YDL113C YFL038C YKR068C YLR301W YNL064C YNL223W YPL250C
invasive growth in response to glucose limitation,2,38,0.6424964722608228,FALSE,YDL159W YER124C
telomere organization,3,58,0.6460078155031104,FALSE,YDL059C YER092W YLR150W
intracellular monoatomic ion homeostasis,6,116,0.6499853235228588,FALSE,YDL120W YJR059W YOR054C YOR153W YOR270C YOR316C
cellular nitrogen compound metabolic process,77,1386,0.663753095939817,FALSE,YAL001C YAL038W YAL062W YBL036C YBR039W YBR089C-A YBR145W YBR196C YBR213W YCL040W YCR012W YCR057C YCR092C YCR093W YDL051W YDL059C YDL083C YDL112W YDL160C YDR007W YDR023W YDR041W YDR382W YDR481C YDR530C YER019W YER092W YFL024C YFL038C YFR053C YGL252C YGR087C YGR200C YHR089C YHR099W YJL101C YJL109C YJR009C YJR121W YKL016C YKL056C YKL088W YKL139W YKR057W YKR069W YKR072C YLL008W YLR048W YLR150W YLR354C YLR384C YLR401C YLR405W YLR409C YLR448W YMR083W YMR217W YMR271C YNL037C YNL096C YNL220W YNL224C YNL232W YNL241C YNR001C YOL034W YOL064C YOR023C YOR025W YOR054C YOR163W YOR184W YOR317W YPL093W YPL190C YPR023C YPR102C
DNA recombination,6,118,0.6664116573416732,FALSE,YCR092C YDL059C YER092W YOL034W YOR023C YOR025W
protein modification by small protein conjugation or removal,5,99,0.6680404418829445,FALSE,YBR082C YDR054C YFL009W YGR200C YIL046W
regulation of translation,5,99,0.6680404418829445,FALSE,YAL003W YDL160C YKL139W YLR150W YPL052W
peroxisome organization,2,40,0.6703473661806916,FALSE,YGL115W YIR034C
protein-RNA complex assembly,6,120,0.6823481257025602,FALSE,YDR190C YLL008W YLR048W YLR448W YPL093W YPR102C
regulation of DNA metabolic process,5,106,0.7257235472241987,FALSE,YCR092C YDL020C YDL059C YER129W YPR023C
cell death,1,23,0.7387490426897125,FALSE,YJR009C
RNA catabolic process,6,128,0.7410529547499618,FALSE,YCR093W YDL160C YFL038C YNL232W YOL064C YPL190C
protein folding,4,91,0.7663234811984827,FALSE,YCL043C YHR176W YNL064C YPR024W
monoatomic ion transport,3,71,0.775060753244293,FALSE,YML123C YMR301C YOR316C
signal transduction,10,215,0.786947500224457,FALSE,YDL159W YDR254W YDR309C YDR379W YER177W YFL031W YGL252C YIL047C YLR150W YOL100W
nuclear transport,7,156,0.7900468633398994,FALSE,YER107C YGL252C YLR048W YMR308C YNL064C YOR230W YPL093W
nucleocytoplasmic transport,7,156,0.7900468633398994,FALSE,YER107C YGL252C YLR048W YMR308C YNL064C YOR230W YPL093W
regulation of protein modification process,2,52,0.8022709018968122,FALSE,YER177W YMR308C
exocytosis,1,28,0.8050362602674522,FALSE,YHR001W
transcription by RNA polymerase III,1,28,0.8050362602674522,FALSE,YAL001C
