term,group_count,overall_count,exact_pval,sig,genes
generation of precursor metabolites and energy,3,115,0.005772255333200275,FALSE,YBL045C YFR053C YPL061W
response to osmotic stress,2,54,0.013157344428578351,FALSE,YFL014W YPL061W
lipid transport,2,57,0.014590450726540307,FALSE,YKL187C YOR317W
nucleobase-containing small molecule metabolic process,3,172,0.0173676656178115,FALSE,YFR053C YOR317W YPL061W
plasma membrane organization,1,7,0.022823558390449694,FALSE,YFL014W
sulfur compound metabolic process,2,81,0.0282921271427173,FALSE,YOR317W YPL135W
cell adhesion,1,12,0.03882610308987755,FALSE,YFL014W
monocarboxylic acid metabolic process,2,105,0.04554576668551613,FALSE,YFR053C YPL061W
carbohydrate metabolic process,2,106,0.046333376525689314,FALSE,YFR053C YKR097W
carbohydrate transport,1,16,0.051450894891514665,FALSE,YFR053C
protein phosphorylation,1,18,0.057704833069577965,FALSE,YPL026C
cell death,1,23,0.07317097620476454,FALSE,YHR049W
response to heat,1,30,0.09442412129084121,FALSE,YFL014W
translational elongation,1,31,0.09742271691570592,FALSE,YEL034W
small molecule metabolic process,4,556,0.10124281003128016,FALSE,YFR053C YKR097W YOR317W YPL061W
pseudohyphal growth,1,48,0.1469961394650663,FALSE,YPL026C
cellular respiration,1,56,0.1694307927701153,FALSE,YBL045C
vacuole organization,1,63,0.18860615294951488,FALSE,YOR246C
chromosome segregation,1,64,0.19131136269171267,FALSE,YGR140W
organelle assembly,1,76,0.2231212214526096,FALSE,YGR140W
protein maturation,1,78,0.2283074218719069,FALSE,YOR246C
response to oxidative stress,1,78,0.2283074218719069,FALSE,YFL014W
response to chemical,2,281,0.23561204580886727,FALSE,YFL014W YPL026C
regulation of transport,1,82,0.2385825990323065,FALSE,YPL026C
growth,1,89,0.25625616771492854,FALSE,YPL026C
cytoplasmic translation,1,96,0.27354458742048104,FALSE,YJR145C
RNA modification,1,98,0.2784144958621454,FALSE,YPL135W
regulation of translation,1,99,0.2808379568332211,FALSE,YEL034W
tRNA processing,1,104,0.2928412273317853,FALSE,YPL135W
intracellular monoatomic ion homeostasis,1,116,0.32088719819875755,FALSE,YPL135W
cytoskeleton organization,1,127,0.3456767641658193,FALSE,YGR140W
membrane organization,1,146,0.38650798847252366,FALSE,YFL014W
biosynthetic process,4,973,0.40285548198807597,FALSE,YEL034W YJR145C YKR097W YPL061W
nucleobase-containing compound catabolic process,1,165,0.42494109637276856,FALSE,YFR053C
tRNA metabolic process,1,179,0.45180300564441234,FALSE,YPL135W
homeostatic process,1,184,0.461108064846774,FALSE,YPL135W
translation,1,189,0.4702648945815795,FALSE,YJR145C
transmembrane transport,1,195,0.4810605315709835,FALSE,YFR053C
cellular nitrogen compound metabolic process,5,1386,0.49800681920867396,FALSE,YFR053C YJR145C YOR317W YPL061W YPL135W
response to stress,2,503,0.5044790901000552,FALSE,YFL014W YPL061W
cellular component assembly,2,534,0.538170789024238,FALSE,YGR140W YPL135W
lipid metabolic process,1,249,0.5693582302817528,FALSE,YOR317W
transport,3,874,0.5694619570923243,FALSE,YFR053C YKL187C YOR317W
protein-containing complex assembly,1,375,0.72371327303813,FALSE,YGR140W
catabolic process,1,615,0.8855222270769362,FALSE,YFR053C
