term,group_count,overall_count,exact_pval,sig,genes
amino acid transport,4,40,5.009577786519831e-4,TRUE,YDL210W YEL063C YKR039W YNL101W
transmembrane transport,5,195,0.03575484386443783,FALSE,YDL210W YEL063C YJL210W YNL101W YNL142W
ribosomal large subunit biogenesis,2,46,0.06972683712193808,FALSE,YER002W YNL002C
amino acid metabolic process,4,173,0.0796289793123365,FALSE,YAL012W YJL088W YJR109C YLR142W
cell adhesion,1,12,0.10792393800903277,FALSE,YLR110C
ribosome biogenesis,1,16,0.14129937477864274,FALSE,YMR128W
DNA-templated transcription initiation,1,18,0.1575258672117098,FALSE,YMR228W
rRNA processing,4,233,0.17705230024832225,FALSE,YLR048W YMR128W YNL002C YPL217C
transport,11,874,0.19340768573511763,FALSE,YDL210W YDR246W YEL063C YIR005W YJL210W YJL212C YJR152W YKR039W YLR048W YNL101W YNL142W
transcription by RNA polymerase III,1,28,0.23426422870195063,FALSE,YOR110W
protein modification by small protein conjugation or removal,2,99,0.24061937482299456,FALSE,YGR072W YJL210W
response to chemical,4,281,0.27440224654750844,FALSE,YFL021W YHR183W YJL110C YKR034W
protein lipidation,1,34,0.27697893152586905,FALSE,YNL038W
reproduction,1,37,0.29745315647957804,FALSE,YLR110C
protein-RNA complex assembly,2,120,0.31476937239759417,FALSE,YIR005W YLR048W
peroxisome organization,1,40,0.3173598542364542,FALSE,YJL210W
RNA catabolic process,2,128,0.34276938890064,FALSE,YGR072W YNL001W
pseudohyphal growth,1,48,0.36778556486015845,FALSE,YNL142W
ribosomal subunit export from nucleus,1,58,0.4257158930906212,FALSE,YLR048W
small molecule metabolic process,6,556,0.4334022562582409,FALSE,YAL012W YDL238C YHR183W YJL088W YJR109C YLR142W
nuclear transport,2,156,0.43753200460327524,FALSE,YIR005W YLR048W
nucleocytoplasmic transport,2,156,0.43753200460327524,FALSE,YIR005W YLR048W
chromosome segregation,1,64,0.4579463025445737,FALSE,YDR254W
nucleobase-containing compound catabolic process,2,165,0.4665248059365964,FALSE,YGR072W YNL001W
nucleobase-containing small molecule metabolic process,2,172,0.4884859231484018,FALSE,YDL238C YHR183W
chromosome organization,2,181,0.5159165334048557,FALSE,YDR246W YDR254W
organelle assembly,1,76,0.5171873406739906,FALSE,YDR254W
homeostatic process,2,184,0.524851504822099,FALSE,YLR023C YNL142W
response to oxidative stress,1,78,0.52642467853305,FALSE,YHR183W
catabolic process,6,615,0.5355987721506426,FALSE,YDL238C YEL012W YGR072W YIR029W YLR142W YNL001W
translation,2,189,0.5395055533525075,FALSE,YDR041W YLR048W
sulfur compound metabolic process,1,81,0.539957373865217,FALSE,YAL012W
RNA splicing,1,82,0.5443836363212304,FALSE,YIR005W
growth,1,89,0.5742219626510343,FALSE,YNL142W
cellular nitrogen compound metabolic process,13,1386,0.5749453994474201,FALSE,YAL019W YDL238C YDR041W YGR072W YHR183W YIR005W YLR048W YMR128W YMR228W YNL001W YNL002C YOR110W YPL217C
protein folding,1,91,0.5823901766202131,FALSE,YOR154W
mitochondrial translation,1,93,0.5904050323834611,FALSE,YDR041W
regulation of cell cycle,2,209,0.5950711117586431,FALSE,YDR253C YDR254W
cytoplasmic translation,1,96,0.6021459166163391,FALSE,YLR048W
signal transduction,2,215,0.6107717718685357,FALSE,YDR254W YHR029C
regulation of translation,1,99,0.6135573633885077,FALSE,YNL001W
DNA-templated transcription,1,103,0.6282757638559282,FALSE,YOR110W
regulation of DNA metabolic process,1,106,0.638953275312443,FALSE,YAL013W
mRNA processing,1,113,0.6627141728811237,FALSE,YIR005W
cell wall organization or biogenesis,1,114,0.6659812076352758,FALSE,YLR110C
generation of precursor metabolites and energy,1,115,0.6692172784964335,FALSE,YHR183W
intracellular monoatomic ion homeostasis,1,116,0.672422672469293,FALSE,YLR023C
nucleobase-containing compound transport,1,117,0.6755976739582126,FALSE,YIR005W
DNA recombination,1,118,0.67874256479023,FALSE,YGR072W
protein-containing complex assembly,3,375,0.7007424855049132,FALSE,YDR254W YIR005W YLR048W
biosynthetic process,8,973,0.7301051090597614,FALSE,YAL012W YDR041W YJL088W YJR109C YLR048W YMR228W YNL038W YOR110W
Golgi vesicle transport,1,169,0.8050662472094368,FALSE,YDR246W
DNA metabolic process,2,321,0.8177954586812357,FALSE,YAL019W YGR072W
proteolysis involved in protein catabolic process,1,186,0.8351692717906672,FALSE,YEL012W
regulation of organelle organization,1,205,0.8634463702562951,FALSE,YDR254W
chromatin organization,1,216,0.8775863831696173,FALSE,YAL019W
cellular component assembly,3,534,0.894972124808314,FALSE,YDR254W YIR005W YLR048W
lipid metabolic process,1,249,0.9119501722872425,FALSE,YNL038W
vesicle-mediated transport,1,317,0.9556819304996497,FALSE,YDR246W
response to stress,2,503,0.9591804015854762,FALSE,YHR029C YHR183W
