term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,43,173,5.083905984795886e-36,TRUE,YBR115C YBR145W YBR248C YCL009C YDL066W YDL131W YDL171C YDL182W YDR158W YDR354W YER052C YER069W YER086W YER090W YER091C YFR055W YGL026C YGL202W YGR124W YHR018C YHR019C YHR020W YIL116W YIR034C YJL088W YJR025C YJR109C YKL029C YKL211C YLR303W YLR355C YMR062C YNL104C YNL277W YNR050C YOL058W YOL140W YOR130C YOR202W YOR303W YPL111W YPL273W YPR145W
small molecule metabolic process,57,556,6.2980123291872206e-27,TRUE,YBL015W YBR115C YBR145W YBR218C YBR248C YBR249C YBR256C YCL009C YDL066W YDL131W YDL171C YDL182W YDR035W YDR127W YDR158W YDR354W YDR481C YDR487C YER052C YER069W YER086W YER090W YER091C YFR055W YGL012W YGL026C YGL062W YGL202W YGL224C YGR124W YHR018C YHR019C YHR020W YIL116W YIR034C YJL088W YJR025C YJR109C YKL029C YKL211C YLR058C YLR303W YLR355C YML123C YMR062C YNL104C YNL277W YNR050C YOL058W YOL140W YOR130C YOR202W YOR303W YPL111W YPL188W YPL273W YPR145W
biosynthetic process,55,973,2.442835081141719e-13,TRUE,YBR115C YBR145W YBR218C YBR248C YBR249C YBR256C YCL009C YCL017C YDL066W YDL131W YDL171C YDL182W YDL205C YDR035W YDR127W YDR158W YDR354W YDR487C YER052C YER069W YER086W YER090W YER091C YFL034C-A YGL012W YGL026C YGL062W YGL202W YGR124W YHR018C YIL116W YIR034C YJL088W YJR025C YJR109C YKL211C YLR029C YLR303W YLR355C YLR388W YMR062C YNL104C YNL178W YNL277W YNR050C YOL058W YOL140W YOR130C YOR202W YOR298W YOR303W YPL188W YPL273W YPR058W YPR145W
sulfur compound metabolic process,12,81,1.2729106581953929e-7,TRUE,YCL017C YDR158W YER052C YER091C YFR030W YFR055W YHR122W YLR303W YNL277W YPL135W YPL188W YPL273W
amino acid transport,5,40,0.0016124203626337508,FALSE,YBR043C YDR508C YEL063C YOR130C YPR058W
response to oxidative stress,6,78,0.0067502064842829695,FALSE,YBR046C YDR453C YGR029W YGR088W YNL036W YPL188W
transmembrane transport,10,195,0.009648640385553561,FALSE,YBR043C YDL198C YDR508C YEL063C YGR029W YIR034C YML123C YNL142W YOR130C YPR058W
homeostatic process,9,184,0.018403617153832603,FALSE,YBR043C YCL017C YDL171C YDL198C YDR453C YDR508C YGR029W YNL142W YPL135W
vitamin metabolic process,2,32,0.15348090583780497,FALSE,YBR256C YDR487C
cytoplasmic translation,4,96,0.15660830577569027,FALSE,YFL034C-A YLR029C YLR388W YNL178W
nucleobase-containing small molecule metabolic process,6,172,0.17227180549581708,FALSE,YBR145W YDR481C YGL224C YJR025C YPL188W YPL273W
tRNA aminoacylation for protein translation,2,36,0.18464289295736191,FALSE,YHR019C YHR020W
anatomical structure formation involved in morphogenesis,3,73,0.21259029673250326,FALSE,YBR043C YDR512C YOR298W
intracellular monoatomic ion homeostasis,4,116,0.24654103023215965,FALSE,YCL017C YDL198C YGR029W YPL135W
tRNA metabolic process,5,179,0.3520824839731075,FALSE,YCL017C YHR019C YHR020W YNL221C YPL135W
tRNA processing,3,104,0.3970366207455738,FALSE,YCL017C YNL221C YPL135W
