term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,55,173,1.6633304189173474e-28,TRUE,YAL044C YBL076C YBR145W YBR248C YCL009C YCR053W YDL066W YDL171C YDR158W YDR341C YER052C YER055C YER069W YER090W YFL018C YFL030W YGL009C YGL026C YGL125W YGL148W YGR094W YGR124W YGR155W YHR018C YHR019C YHR020W YHR025W YHR208W YIL074C YIL078W YJL088W YJL130C YJR016C YJR025C YJR109C YJR130C YKL029C YLL018C YLR027C YLR355C YMR083W YMR108W YNL037C YNL104C YNL239W YOL058W YOR108W YOR202W YOR303W YOR375C YPL111W YPL160W YPL273W YPR035W YPR145W
small molecule metabolic process,96,556,1.4976026705649736e-26,TRUE,YAL044C YAL054C YBL015W YBL076C YBR035C YBR145W YBR248C YBR249C YBR256C YCL009C YCR005C YCR053W YDL066W YDL085W YDL171C YDR127W YDR158W YDR341C YDR530C YDR533C YEL071W YER024W YER052C YER055C YER065C YER069W YER073W YER090W YER170W YFL018C YFL030W YFR049W YGL009C YGL026C YGL062W YGL125W YGL148W YGR061C YGR094W YGR124W YGR155W YGR192C YGR204W YHR018C YHR019C YHR020W YHR025W YHR208W YIL053W YIL074C YIL078W YJL088W YJL130C YJR016C YJR025C YJR105W YJR109C YJR130C YKL016C YKL024C YKL029C YKL060C YKR097W YLL018C YLL027W YLR027C YLR153C YLR355C YMR083W YMR096W YMR108W YMR120C YMR202W YNL037C YNL103W YNL104C YNL117W YNL239W YOL058W YOL059W YOL126C YOR100C YOR108W YOR202W YOR236W YOR303W YOR317W YOR374W YOR375C YPL061W YPL111W YPL160W YPL273W YPR001W YPR035W YPR145W
biosynthetic process,89,973,4.0731957061825506e-7,TRUE,YAL003W YAL005C YAL053W YAL054C YBR035C YBR145W YBR248C YBR249C YBR256C YCL009C YCR053W YDL066W YDL171C YDL205C YDR041W YDR099W YDR127W YDR158W YDR527W YEL071W YER052C YER055C YER069W YER073W YER090W YFL018C YFL030W YGL009C YGL026C YGL040C YGL062W YGL125W YGL148W YGL150C YGR061C YGR124W YGR155W YGR192C YGR204W YHR018C YHR025W YHR208W YIL053W YIL074C YJL011C YJL088W YJL130C YJR016C YJR025C YJR109C YKL016C YKL024C YKL060C YKR043C YKR058W YKR067W YKR097W YLL027W YLR027C YLR032W YLR075W YLR153C YLR355C YML091C YML098W YMR041C YMR083W YMR096W YMR108W YMR120C YMR188C YMR202W YNL037C YNL104C YNL231C YNL251C YOL058W YOL126C YOR108W YOR202W YOR236W YOR303W YOR374W YOR375C YPL057C YPL061W YPL273W YPR035W YPR145W
transmembrane transport,27,195,8.048904874407354e-6,TRUE,YAL005C YAL053W YBR043C YBR104W YBR147W YBR296C YCR010C YDR244W YDR277C YDR384C YEL063C YER056C YGL255W YGR029W YGR082W YGR121C YGR239C YGR243W YHR096C YHR162W YJL210W YKL146W YKL217W YNL142W YOL027C YOL126C YOR316C
nucleobase-containing small molecule metabolic process,22,172,1.8854730872526677e-4,TRUE,YAL054C YBR145W YDL085W YDR530C YER170W YGR061C YGR192C YGR204W YJL130C YJR025C YJR105W YKL016C YKL024C YKL060C YLR153C YMR083W YMR120C YOL059W YOR317W YOR374W YPL061W YPL273W
monocarboxylic acid metabolic process,16,105,1.9241718138698278e-4,TRUE,YAL054C YBL015W YDR533C YEL071W YER065C YER073W YFL018C YGR192C YKL029C YKL060C YLL027W YNL117W YOR100C YOR374W YPL061W YPR001W
sulfur compound metabolic process,13,81,4.561184552421902e-4,TRUE,YAL054C YDR158W YER052C YGL125W YGR155W YJR130C YLL027W YLR153C YNL103W YNL239W YOR317W YPL135W YPL273W
tRNA aminoacylation for protein translation,8,36,6.377672359684492e-4,TRUE,YBL076C YDR341C YGR094W YHR019C YHR020W YIL078W YLL018C YPL160W
carbohydrate metabolic process,14,106,0.0020290174019911233,FALSE,YBR145W YDL085W YER065C YGL062W YGR192C YHR047C YIL053W YKL060C YKR058W YKR097W YNL117W YOL059W YOL126C YPR026W
generation of precursor metabolites and energy,14,115,0.004355976224874367,FALSE,YAL054C YBL045C YBR145W YDL067C YDL085W YGR183C YGR192C YHR047C YKL060C YKL148C YKR058W YNL052W YOR374W YPL061W
homeostatic process,19,184,0.006345976085964414,FALSE,YAL053W YBR043C YCR010C YDL171C YDR011W YDR353W YDR384C YDR492W YGR029W YGR121C YJR104C YLR023C YMR243C YNL142W YOL027C YOL060C YOR228C YOR316C YPL135W
amino acid transport,6,40,0.021736177920877855,FALSE,YBR043C YBR147W YEL063C YKL146W YNL268W YOL020W
peroxisome organization,6,40,0.021736177920877855,FALSE,YDR216W YDR233C YDR244W YGR239C YJL210W YOL126C
transport,61,874,0.035031820241259136,FALSE,YAL005C YAL053W YBL101C YBL102W YBR043C YBR104W YBR147W YBR296C YCR010C YCR032W YDR244W YDR277C YDR384C YDR490C YEL063C YER056C YFL042C YGL186C YGL255W YGR029W YGR081C YGR082W YGR121C YGR192C YGR197C YGR239C YGR241C YGR243W YHR096C YHR161C YHR162W YIL023C YJL079C YJL210W YJL212C YJR095W YKL120W YKL146W YKL164C YKL187C YKL217W YKR014C YLL048C YLR074C YLR168C YLR193C YNL142W YNL154C YNL231C YNL268W YOL020W YOL027C YOL126C YOR222W YOR230W YOR316C YOR317W YPL092W YPL274W YPR026W YPR149W
lipid transport,7,57,0.037111912061071534,FALSE,YFL042C YJL079C YKL187C YLR168C YLR193C YNL231C YOR317W
plasma membrane organization,2,7,0.053628413217540534,FALSE,YMR251W-A YPR149W
carbohydrate transport,3,16,0.055486028868133676,FALSE,YDR277C YHR096C YPR026W
response to chemical,22,281,0.06429070070724227,FALSE,YAL053W YBL103C YBR046C YDL047W YDR216W YDR353W YDR533C YER040W YFL021W YGR029W YGR043C YHL027W YJL089W YKR066C YLR057W YNL036W YNL103W YNL154C YNL231C YNL239W YOR363C YPL026C
response to oxidative stress,8,78,0.06654554833563282,FALSE,YBR046C YDL047W YDR353W YDR533C YGR029W YGR043C YKR066C YNL036W
tRNA metabolic process,15,179,0.07213018070480803,FALSE,YBL076C YDL047W YDR341C YGR094W YHR019C YHR020W YIL078W YJL011C YLL018C YML091C YNL221C YNL251C YOL021C YPL135W YPL160W
vitamin metabolic process,4,32,0.09893296113832471,FALSE,YBR035C YBR256C YLL027W YMR096W
intracellular monoatomic ion homeostasis,10,116,0.10987547239753301,FALSE,YDR011W YDR492W YGR029W YJR104C YLR023C YMR243C YOL027C YOL060C YOR316C YPL135W
endocytosis,7,82,0.16946207347617978,FALSE,YBL101C YCR032W YDR490C YGR241C YHR161C YKR014C YNL154C
cellular respiration,5,56,0.19846549923337778,FALSE,YBL045C YDL067C YGR183C YKL148C YNL052W
anatomical structure development,3,33,0.2767320502372623,FALSE,YDR099W YHL027W YPR036W-A
sno(s)RNA processing,3,37,0.33871981967726794,FALSE,YGR280C YNL221C YNL251C
monoatomic ion transport,5,71,0.36010264288345556,FALSE,YGL255W YGR192C YIL023C YOL027C YOR316C
mitochondrion organization,10,160,0.39886784580155976,FALSE,YBL103C YDR258C YLR168C YLR355C YML091C YMR302C YOL027C YOL060C YOR228C YPR185W
cell wall organization or biogenesis,7,114,0.44997749882780236,FALSE,YAL053W YBR043C YCR032W YHL027W YIL119C YJR104C YKL164C
sporulation,3,46,0.47499724101605845,FALSE,YDR099W YHL027W YPR036W-A
cell morphogenesis,1,12,0.49662006807280235,FALSE,YNL154C
pseudohyphal growth,3,48,0.503655558457637,FALSE,YDR099W YNL142W YPL026C
protein folding,5,91,0.5765129691138997,FALSE,YAL005C YAL053W YDR188W YDR258C YDR533C
response to osmotic stress,3,54,0.5844400431903916,FALSE,YAL053W YIL053W YPL061W
anatomical structure formation involved in morphogenesis,4,73,0.5847995452334714,FALSE,YBR043C YDR099W YHL027W YPR036W-A
transcription by RNA polymerase II,3,55,0.5970705420839051,FALSE,YDR527W YGL150C YML098W
oligosaccharide metabolic process,1,16,0.5997243546539646,FALSE,YPR026W
DNA-templated transcription initiation,1,18,0.6430896933946004,FALSE,YJL011C
protein phosphorylation,1,18,0.6430896933946004,FALSE,YPL026C
vesicle organization,3,63,0.6888587514885041,FALSE,YKR014C YNL086W YPR185W
tRNA processing,5,104,0.6944997672307813,FALSE,YDL047W YML091C YNL221C YNL251C YPL135W
nucleobase-containing compound catabolic process,8,165,0.7075545496978499,FALSE,YDR530C YGL014W YGR192C YKL060C YNL118C YNL221C YNL251C YOL021C
meiotic cell cycle,1,22,0.716276425431525,FALSE,YHL027W
cell death,1,23,0.7321039802111714,FALSE,YGR192C
cellular nitrogen compound metabolic process,74,1386,0.7376244865749432,FALSE,YAL005C YAL054C YAR035W YBL076C YBR035C YBR145W YBR256C YDL047W YDL066W YDL085W YDL171C YDL205C YDR041W YDR099W YDR341C YDR527W YDR530C YER024W YER090W YER170W YGL014W YGL026C YGL040C YGL150C YGR061C YGR081C YGR094W YGR192C YGR204W YGR280C YHR019C YHR020W YHR086W YIL019W YIL078W YJL011C YJL130C YJR025C YJR105W YKL016C YKL024C YKL060C YKL114C YLL018C YLL027W YLR032W YLR075W YLR153C YML042W YML091C YML098W YMR083W YMR096W YMR120C YMR188C YMR229C YNL037C YNL075W YNL118C YNL221C YNL251C YOL021C YOL059W YOR189W YOR236W YOR317W YOR319W YOR374W YOR375C YPL061W YPL135W YPL160W YPL211W YPL273W
growth,4,89,0.7377483767864721,FALSE,YDR099W YEL071W YNL142W YPL026C
ribosomal small subunit biogenesis,1,25,0.7611682678720941,FALSE,YNL075W
mRNA processing,5,113,0.7618427862557806,FALSE,YHR086W YML091C YNL251C YOL021C YOR319W
signal transduction,10,215,0.7676123977821261,FALSE,YBL103C YDL047W YDR099W YDR277C YDR490C YHR029C YIL119C YLR310C YNL154C YOR101W
regulation of protein modification process,2,52,0.7937383423923398,FALSE,YDR099W YPR149W
endosomal transport,3,75,0.7958231153528286,FALSE,YBL102W YDR490C YKR014C
transcription by RNA polymerase III,1,28,0.7989792583232267,FALSE,YJL011C
organelle assembly,3,76,0.8031770017407976,FALSE,YKR014C YNL118C YPR185W
protein modification by small protein conjugation or removal,4,99,0.8093443745841056,FALSE,YAL005C YDR059C YJL210W YLR032W
regulation of translation,4,99,0.8093443745841056,FALSE,YAL003W YGL014W YLR027C YOL027C
response to heat,1,30,0.8208100970232245,FALSE,YDR258C
lipid metabolic process,11,249,0.8290907495691329,FALSE,YAL053W YGR110W YKR067W YLR168C YLR193C YMR202W YNL231C YOR100C YOR317W YPL057C YPR001W
cell cycle,1,31,0.8308227778600891,FALSE,YHL027W
translational elongation,1,31,0.8308227778600891,FALSE,YAL003W
membrane organization,6,146,0.8310282481053627,FALSE,YGR197C YLR168C YLR193C YMR251W-A YOL027C YPR149W
DNA-templated transcription,4,103,0.8331615752323661,FALSE,YDR527W YGL150C YJL011C YML098W
ribosomal subunit export from nucleus,2,58,0.8413203352798538,FALSE,YGR081C YLR074C
telomere organization,2,58,0.8413203352798538,FALSE,YGL150C YOR189W
regulation of transport,3,82,0.842773235298126,FALSE,YGR197C YPL026C YPR149W
RNA catabolic process,5,128,0.8483548863886159,FALSE,YGL014W YNL118C YNL221C YNL251C YOL021C
protein lipidation,1,34,0.8576376910580432,FALSE,YCR032W
vacuole organization,2,63,0.8731427118712245,FALSE,YPR149W YPR185W
DNA-templated transcription termination,1,38,0.8869185747063082,FALSE,YNL251C
nucleobase-containing compound transport,4,117,0.8978462900591121,FALSE,YAL053W YER056C YGR082W YGR197C
protein-RNA complex assembly,4,120,0.9084385488706199,FALSE,YHR086W YLR075W YMR229C YPL211W
cytoplasmic translation,3,96,0.9093702320210272,FALSE,YAL005C YLR075W YML091C
response to stress,22,503,0.9143885139471242,FALSE,YAL053W YBR046C YDL047W YDR099W YDR233C YDR258C YDR353W YDR490C YDR533C YGL150C YGR029W YGR043C YHL027W YHR029C YIL053W YKL114C YKR066C YLR032W YLR057W YNL036W YOR189W YPL061W
ribosomal large subunit biogenesis,1,46,0.9286937696407694,FALSE,YPL211W
nucleus organization,1,48,0.9364657325183203,FALSE,YDR233C
protein maturation,2,78,0.9366926651923237,FALSE,YAL044C YLL027W
vacuolar transport,2,79,0.9396246764640975,FALSE,YDR490C YKR014C
peptidyl-amino acid modification,1,49,0.9400291417871307,FALSE,YAL044C
protein targeting,4,133,0.9439124030955447,FALSE,YAL005C YKL103C YKR014C YPR185W
RNA splicing,2,82,0.9476683056320597,FALSE,YHR086W YOR319W
organelle inheritance,1,53,0.9523990553255419,FALSE,YDR233C
mitochondrial translation,2,93,0.9692795635750959,FALSE,YDR041W YMR188C
catabolic process,25,615,0.971663108046086,FALSE,YAL005C YAL044C YBL103C YBR145W YDR530C YDR533C YFL018C YGL014W YGR192C YHR208W YKL060C YLR057W YLR211C YMR083W YMR135C YNL118C YNL153C YNL221C YNL239W YNL251C YOL021C YPL111W YPR001W YPR026W YPR185W
chromosome segregation,1,64,0.9748070437540193,FALSE,YJR112W
RNA modification,2,98,0.9759804616881544,FALSE,YDL047W YPL135W
nuclear transport,4,156,0.9776809755099507,FALSE,YAL005C YGR081C YLR074C YOR230W
nucleocytoplasmic transport,4,156,0.9776809755099507,FALSE,YAL005C YGR081C YLR074C YOR230W
rRNA processing,7,233,0.9787590592822948,FALSE,YGR081C YIL019W YMR229C YNL075W YNL221C YOL021C YPL211W
regulation of cell cycle,6,209,0.9791687668759221,FALSE,YDR099W YGR155W YHL027W YLR310C YMR135C YNL231C
translation,5,189,0.9830368784776041,FALSE,YAL005C YDR041W YLR075W YML091C YMR188C
organelle fusion,1,71,0.9832085227979912,FALSE,YPR149W
protein-containing complex assembly,12,375,0.9904475878879379,FALSE,YDR099W YDR233C YDR493W YGR183C YHR086W YKL206C YLR032W YLR075W YML098W YMR229C YNL153C YPL211W
cellular component assembly,19,534,0.9910829067029515,FALSE,YBR043C YDR099W YDR233C YDR493W YGR183C YHR086W YKL206C YKR014C YLL027W YLR032W YLR075W YML098W YMR229C YNL118C YNL153C YPL135W YPL211W YPR149W YPR185W
regulation of organelle organization,5,205,0.9911083218839486,FALSE,YAL003W YDL047W YDR490C YGL059W YGR280C
DNA recombination,2,118,0.9912063150647813,FALSE,YGL150C YOR189W
proteolysis involved in protein catabolic process,4,186,0.9938320149391868,FALSE,YAL005C YLR057W YMR135C YNL153C
DNA damage response,6,249,0.9956127603372296,FALSE,YDL047W YDR099W YGL150C YKL114C YLR032W YOR189W
vesicle-mediated transport,8,317,0.9976375157071526,FALSE,YBL101C YBL102W YCR032W YDR490C YGR241C YHR161C YKR014C YNL154C
