term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,17,173,1.5622043624266381e-16,TRUE,YCL009C YCL030C YDL170W YER052C YER055C YGL125W YGL184C YHR018C YIL116W YJL088W YJR025C YJR109C YLR027C YLR355C YMR062C YOL058W YOL064C
small molecule metabolic process,19,556,3.622711235298209e-10,TRUE,YBR218C YCL009C YCL030C YDL170W YDR127W YER052C YER055C YGL125W YGL184C YHR018C YIL116W YJL088W YJR025C YJR109C YLR027C YLR355C YMR062C YOL058W YOL064C
biosynthetic process,19,973,4.08974827966627e-6,TRUE,YBR218C YCL009C YCL030C YDR127W YER052C YER055C YGL125W YGL184C YHR018C YIL116W YJL088W YJR025C YJR109C YLR027C YLR355C YMR062C YOL058W YOL064C YOR337W
sulfur compound metabolic process,4,81,0.0022724786646754077,FALSE,YER052C YGL125W YGL184C YOL064C
mitochondrion organization,4,160,0.024343905863256486,FALSE,YDL198C YGL180W YLR355C YPL250C
vacuole organization,2,63,0.07115650599982244,FALSE,YGL180W YPL250C
organelle assembly,2,76,0.09822534166711162,FALSE,YGL180W YPL250C
protein phosphorylation,1,18,0.1188597329940968,FALSE,YGL180W
transmembrane transport,3,195,0.1541768345926962,FALSE,YDL198C YEL063C YJL210W
response to starvation,1,26,0.16717295404438626,FALSE,YGL180W
anatomical structure development,1,33,0.20732985693436567,FALSE,YPR036W-A
protein targeting,2,133,0.23809599846476787,FALSE,YGL180W YPL250C
amino acid transport,1,40,0.24560476050043267,FALSE,YEL063C
peroxisome organization,1,40,0.24560476050043267,FALSE,YJL210W
sporulation,1,46,0.2769789315258685,FALSE,YPR036W-A
peptidyl-amino acid modification,1,49,0.2921873679644953,FALSE,YGL180W
response to osmotic stress,1,54,0.3168473936181204,FALSE,YOL064C
cellular respiration,1,56,0.3264761213323196,FALSE,YBL045C
DNA-templated transcription elongation,1,61,0.3499752428243592,FALSE,YOR337W
homeostatic process,2,184,0.3708233175014729,FALSE,YDL170W YDL198C
anatomical structure formation involved in morphogenesis,1,73,0.403172812592531,FALSE,YPR036W-A
catabolic process,5,615,0.4343475153483233,FALSE,YDL170W YGL180W YIR027C YOL064C YPL250C
protein modification by small protein conjugation or removal,1,99,0.5043388358329524,FALSE,YJL210W
regulation of translation,1,99,0.5043388358329524,FALSE,YLR027C
monocarboxylic acid metabolic process,1,105,0.5252035680855556,FALSE,YDL170W
carbohydrate metabolic process,1,106,0.5285971099575529,FALSE,YBR218C
generation of precursor metabolites and energy,1,115,0.5580981969468364,FALSE,YBL045C
intracellular monoatomic ion homeostasis,1,116,0.561263282538538,FALSE,YDL198C
nucleobase-containing compound transport,1,117,0.5644063605818774,FALSE,YDL198C
transport,6,874,0.5913625003124063,FALSE,YDL198C YEL063C YJL210W YJL212C YJR152W YOR222W
RNA catabolic process,1,128,0.5975694826940634,FALSE,YOL064C
nucleobase-containing compound catabolic process,1,165,0.6920912821393355,FALSE,YOL064C
nucleobase-containing small molecule metabolic process,1,172,0.7073680096000214,FALSE,YJR025C
tRNA metabolic process,1,179,0.7219080033285135,FALSE,YOL064C
lipid metabolic process,1,249,0.8336544089053236,FALSE,YJR110W
response to chemical,1,281,0.8688244124788532,FALSE,YDL170W
response to stress,2,503,0.8808054031119631,FALSE,YGL180W YOL064C
cellular component assembly,2,534,0.901412518849997,FALSE,YGL180W YPL250C
cellular nitrogen compound metabolic process,3,1386,0.998887725629855,FALSE,YJR025C YOL064C YOR337W
