term,group_count,overall_count,exact_pval,sig,genes
carbohydrate metabolic process,11,106,4.060550612729827e-16,TRUE,YAL038W YBR196C YCR012W YGR192C YGR254W YHR174W YIL053W YJR009C YKL152C YLR044C YOL086C
nucleobase-containing small molecule metabolic process,11,172,9.776276904279979e-14,TRUE,YAL038W YBR196C YCR012W YDL022W YEL021W YGR192C YGR254W YHR174W YJR009C YKL152C YOL086C
generation of precursor metabolites and energy,10,115,1.0242555078225905e-13,TRUE,YAL038W YBR196C YCR012W YGR192C YGR254W YHR174W YJR009C YKL152C YLR044C YOL086C
monocarboxylic acid metabolic process,9,105,3.2995563599988922e-12,TRUE,YAL038W YBR196C YCR012W YGR192C YGR254W YHR174W YJR009C YKL152C YLR044C
small molecule metabolic process,13,556,4.390604180186397e-11,TRUE,YAL038W YBR196C YCR012W YDL022W YEL021W YGR192C YGR254W YHR174W YIL053W YJR009C YKL152C YLR044C YOL086C
nucleobase-containing compound catabolic process,8,165,7.903282660478547e-9,TRUE,YAL038W YBR196C YCR012W YGR192C YGR254W YHR174W YJR009C YKL152C
catabolic process,10,615,1.6482530480710177e-6,TRUE,YAL038W YBR196C YCR012W YGR192C YGR254W YHR174W YJR009C YKL152C YLR044C YOL086C
cellular nitrogen compound metabolic process,12,1386,5.2392172577420456e-5,TRUE,YAL038W YBR196C YCR012W YDL022W YEL021W YGR192C YGR254W YHR174W YJR009C YKL152C YLR044C YOL086C
biosynthetic process,10,973,1.1249560556672036e-4,TRUE,YBR196C YCR012W YEL021W YER177W YGR192C YIL053W YJR009C YKL152C YLR044C YOL086C
cell death,2,23,0.0021662462007915064,FALSE,YGR192C YJR009C
anatomical structure development,1,33,0.09724575030684757,FALSE,YER177W
amino acid metabolic process,2,173,0.0976629217009878,FALSE,YLR044C YOL086C
peroxisome organization,1,40,0.11670491224746604,FALSE,YDL022W
regulation of organelle organization,2,205,0.12975859159293257,FALSE,YGR254W YHR174W
sporulation,1,46,0.13307187451615932,FALSE,YER177W
pseudohyphal growth,1,48,0.13846432339803594,FALSE,YER177W
regulation of protein modification process,1,52,0.1491554335527776,FALSE,YER177W
response to osmotic stress,1,54,0.1544544319329969,FALSE,YIL053W
monoatomic ion transport,1,71,0.19826845095889734,FALSE,YGR192C
anatomical structure formation involved in morphogenesis,1,73,0.20328134962074562,FALSE,YER177W
growth,1,89,0.24234418766588006,FALSE,YER177W
cell wall organization or biogenesis,1,114,0.29981840518701164,FALSE,YOL109W
homeostatic process,1,184,0.4398436179095674,FALSE,YDL022W
transmembrane transport,1,195,0.4593079098290105,FALSE,YDL022W
response to stress,2,503,0.4696109507327292,FALSE,YER177W YIL053W
regulation of cell cycle,1,209,0.4831680766957406,FALSE,YER177W
signal transduction,1,215,0.49308989345561105,FALSE,YER177W
DNA damage response,1,249,0.5460372645010128,FALSE,YER177W
transport,2,874,0.7811261792592061,FALSE,YDL022W YGR192C
cellular component assembly,1,534,0.8258494685773278,FALSE,YER177W
