term,group_count,overall_count,exact_pval,sig,genes
monocarboxylic acid metabolic process,13,105,1.0896295026703031e-20,TRUE,YBR196C YCL040W YCR012W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
carbohydrate metabolic process,13,106,1.2414579385794359e-20,TRUE,YBR196C YCL040W YCR012W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
generation of precursor metabolites and energy,13,115,3.798169049188461e-20,TRUE,YBR196C YCL040W YCR012W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
nucleobase-containing small molecule metabolic process,13,172,8.842631962907111e-18,TRUE,YBR196C YCL040W YCR012W YDL022W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YMR205C
nucleobase-containing compound catabolic process,12,165,6.718377247579952e-16,TRUE,YBR196C YCL040W YCR012W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YMR205C
small molecule metabolic process,14,556,7.87965454931824e-13,TRUE,YBR196C YCL040W YCR012W YDL022W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
catabolic process,13,615,1.6099487314811457e-10,TRUE,YBR196C YCL040W YCR012W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
cellular nitrogen compound metabolic process,14,1386,2.5560799258212505e-7,TRUE,YBR196C YCL040W YCR012W YDL022W YDR050C YGR192C YGR240C YGR254W YHR174W YJR009C YKL060C YKL152C YLR044C YMR205C
cell death,2,23,0.0021662462007915064,FALSE,YGR192C YJR009C
homeostatic process,3,184,0.017356421874859727,FALSE,YDL022W YGR240C YMR205C
biosynthetic process,7,973,0.018078572951129013,FALSE,YBR196C YCR012W YGR192C YJR009C YKL060C YKL152C YLR044C
carbohydrate transport,1,16,0.04830935366159539,FALSE,YCL040W
intracellular monoatomic ion homeostasis,2,116,0.04841499524407678,FALSE,YGR240C YMR205C
peroxisome organization,1,40,0.11670491224746604,FALSE,YDL022W
transmembrane transport,2,195,0.1194552390949289,FALSE,YCL040W YDL022W
regulation of organelle organization,2,205,0.12975859159293257,FALSE,YGR254W YHR174W
monoatomic ion transport,1,71,0.19826845095889734,FALSE,YGR192C
amino acid metabolic process,1,173,0.4197269075226193,FALSE,YLR044C
chromatin organization,1,216,0.49472614299255224,FALSE,YPL075W
transport,3,874,0.5229822553161241,FALSE,YCL040W YDL022W YGR192C
response to chemical,1,281,0.5911127545054804,FALSE,YPL075W
protein-containing complex assembly,1,375,0.7005452223648962,FALSE,YMR205C
cellular component assembly,1,534,0.8258494685773278,FALSE,YMR205C
