term,group_count,overall_count,exact_pval,sig,genes
amino acid metabolic process,11,173,3.931672162967824e-9,TRUE,YBR006W YDL066W YDL171C YHR018C YJL088W YJR109C YLR355C YOL058W YOR202W YPL111W YPR145W
small molecule metabolic process,15,556,3.3782048502714534e-7,TRUE,YBR006W YDL066W YDL171C YGL062W YHR018C YJL088W YJR009C YJR109C YLR355C YML123C YNL141W YOL058W YOR202W YPL111W YPR145W
biosynthetic process,17,973,1.853159772193224e-5,TRUE,YDL066W YDL171C YGL062W YGR173W YHL033C YHR018C YJL088W YJR009C YJR109C YJR145C YLR048W YLR355C YNL067W YNL141W YOL058W YOR202W YPR145W
cytoplasmic translation,5,96,3.0692960019073284e-4,TRUE,YGR173W YHL033C YJR145C YLR048W YNL067W
translation,5,189,0.006297886669715596,FALSE,YGR173W YHL033C YJR145C YLR048W YNL067W
amino acid transport,2,40,0.026415096730934933,FALSE,YDR508C YMR088C
homeostatic process,4,184,0.028161164800704092,FALSE,YDL171C YDL198C YDR508C YNL142W
transmembrane transport,4,195,0.033899783289690885,FALSE,YDL198C YDR508C YML123C YNL142W
cell death,1,23,0.13709607864832385,FALSE,YJR009C
monocarboxylic acid metabolic process,2,105,0.14366148481505697,FALSE,YBR006W YJR009C
carbohydrate metabolic process,2,106,0.14586450546702298,FALSE,YGL062W YJR009C
transport,8,874,0.18099722619368477,FALSE,YDL091C YDL198C YDR508C YKR092C YLR048W YML123C YMR088C YNL142W
rRNA processing,3,233,0.1839869817925611,FALSE,YHL015W YHL033C YLR048W
nuclear transport,2,156,0.2622394377111491,FALSE,YKR092C YLR048W
nucleocytoplasmic transport,2,156,0.2622394377111491,FALSE,YKR092C YLR048W
pseudohyphal growth,1,48,0.26547061306228004,FALSE,YNL142W
mitochondrion organization,2,160,0.27180946265051786,FALSE,YDL198C YLR355C
nucleobase-containing small molecule metabolic process,2,172,0.3005144043332668,FALSE,YJR009C YNL141W
ribosomal subunit export from nucleus,1,58,0.31146538547193314,FALSE,YLR048W
monoatomic ion transport,1,71,0.3671080616463799,FALSE,YML123C
cellular nitrogen compound metabolic process,10,1386,0.388282272819103,FALSE,YDL066W YDL171C YGR173W YHL015W YHL033C YJR009C YJR145C YLR048W YNL067W YNL141W
response to oxidative stress,1,78,0.3952405991637369,FALSE,YBR006W
endocytosis,1,82,0.4107689190607313,FALSE,YDL091C
growth,1,89,0.4370198378889807,FALSE,YNL142W
generation of precursor metabolites and energy,1,115,0.5249688650208812,FALSE,YJR009C
intracellular monoatomic ion homeostasis,1,116,0.5280710274780862,FALSE,YDL198C
nucleobase-containing compound transport,1,117,0.5311535808173569,FALSE,YDL198C
protein-RNA complex assembly,1,120,0.5402847810446287,FALSE,YLR048W
catabolic process,4,615,0.56452439028467,FALSE,YBR006W YJR009C YNL141W YPL111W
protein targeting,1,133,0.5779032573175633,FALSE,YKL103C
nucleobase-containing compound catabolic process,1,165,0.6582500697025584,FALSE,YJR009C
signal transduction,1,215,0.7550038365343295,FALSE,YHR029C
chromatin organization,1,216,0.7566381987179827,FALSE,YIR033W
response to chemical,1,281,0.8429830264696636,FALSE,YBR006W
response to stress,2,503,0.8459657599576059,FALSE,YBR006W YHR029C
vesicle-mediated transport,1,317,0.8771493862265114,FALSE,YDL091C
protein-containing complex assembly,1,375,0.9176074348083432,FALSE,YLR048W
cellular component assembly,1,534,0.9731778514426036,FALSE,YLR048W
